Stove type: Laser 530,,Latitude of the PUMA device location,[64.91823],Longitude of the PUMA device location,[-147.868],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1544011095.0,-1,-1,0,0.0,0.0,70.6,9.11,61.49
1544011540.0,-1,-1,0,0.0,0.0,66.37,9.04,57.33
1544011839.0,-1,-1,0,0.0,0.0,64.67,8.95,55.72
1544012139.0,-1,-1,0,0.0,0.0,63.44,8.86,54.58
1544012439.0,-1,-1,0,0.0,0.0,65.16,8.77,56.39
1544012677.0,1,1711,3,8.721e-06,0.00013191428571428574,71.97,8.7,63.27
1544013001.0,2,4359,0,0.0,0.0,70.14,8.6,61.54
1544013373.0,-1,-1,2648,0.007697735999999999,0.0744942193548387,69.68,8.49,61.19
1544013673.0,-1,-1,0,0.0,0.0,70.37,8.4,61.97
1544013972.0,-1,-1,0,0.0,0.0,70.14,8.31,61.83
1544014272.0,-1,-1,0,0.0,0.0,70.6,8.22,62.38
1544014572.0,-1,-1,0,0.0,0.0,70.83,8.13,62.7
1544014872.0,-1,-1,0,0.0,0.0,70.6,8.1,62.5
1544015172.0,-1,-1,0,0.0,0.0,71.06,8.28,62.78
1544015471.0,-1,-1,0,0.0,0.0,71.29,8.46,62.83
1544015771.0,-1,-1,0,0.0,0.0,71.06,8.64,62.42
1544016071.0,-1,-1,0,0.0,0.0,70.14,8.82,61.32
1544016371.0,-1,-1,0,0.0,0.0,70.83,9.0,61.83
1544016671.0,-1,-1,0,0.0,0.0,71.52,9.18,62.34
1544016954.0,4,29351,0,0.0,0.0,71.06,9.35,61.71
1544017311.0,-1,-1,0,0.0,0.0,71.29,9.57,61.72
1544017610.0,-1,-1,24992,0.07265174399999999,0.8747367170568561,74.42,9.75,64.67
1544017910.0,-1,-1,0,0.0,0.0,73.54,9.93,63.61
1544018209.0,-1,-1,0,0.0,0.0,71.97,10.11,61.86
1544018427.0,1,29354,0,0.0,0.0,71.52,10.24,61.28
1544018747.0,4,31975,0,0.0,0.0,69.91,10.46,59.45
1544018820.0,2,32432,0,0.0,0.0,70.83,10.51,60.32
1544019191.0,-1,-1,3,8.721e-06,8.462425876010782e-05,69.68,10.77,58.91
1544019491.0,-1,-1,0,0.0,0.0,70.6,10.98,59.62
1544019791.0,-1,-1,2621,0.007619247,0.091430964,70.37,11.19,59.18
1544019863.0,4,38744,0,0.0,0.0,70.6,11.24,59.36
1544020236.0,-1,-1,457,0.001328499,0.012821974262734584,73.98,11.51,62.47
1544020535.0,-1,-1,0,0.0,0.0,74.21,11.71,62.5
1544020835.0,-1,-1,0,0.0,0.0,72.65,11.92,60.73
1544021044.0,1,38744,0,0.0,0.0,70.83,12.07,58.76
1544021363.0,2,41336,0,0.0,0.0,71.06,12.29,58.77
1544021735.0,-1,-1,6312,0.018348984,0.1775708129032258,70.6,12.55,58.05
1544022034.0,-1,-1,0,0.0,0.0,70.14,12.76,57.38
1544022334.0,-1,-1,0,0.0,0.0,70.37,12.91,57.46
1544022634.0,-1,-1,0,0.0,0.0,71.06,13.06,58.0
1544022697.0,4,49767,0,0.0,0.0,71.29,13.09,58.2
1544023053.0,-1,-1,0,0.0,0.0,71.52,13.27,58.25
1544023352.0,-1,-1,2592,0.007534944,0.09072173377926421,74.21,13.42,60.79
1544023652.0,-1,-1,0,0.0,0.0,72.65,13.57,59.08
1544023936.0,1,49770,0,0.0,0.0,71.52,13.71,57.81
1544024253.0,4,52353,0,0.0,0.0,69.45,13.87,55.58
1544024325.0,2,52810,0,0.0,0.0,68.98,13.9,55.08
1544024697.0,-1,-1,0,0.0,0.0,69.45,14.09,55.36
1544024997.0,-1,-1,8431,0.024508916999999998,0.294107004,70.37,14.24,56.13
1544025297.0,-1,-1,0,0.0,0.0,70.14,14.39,55.75
1544025596.0,-1,-1,0,0.0,0.0,70.37,14.54,55.83
1544025896.0,-1,-1,0,0.0,0.0,70.37,14.73,55.64
1544026196.0,-1,-1,0,0.0,0.0,70.83,14.93,55.9
1544026496.0,-1,-1,3,8.721e-06,0.000104652,70.83,15.12,55.71
1544026796.0,-1,-1,0,0.0,0.0,70.83,15.32,55.51
1544027095.0,-1,-1,2583,0.007508781,0.09040672775919732,71.06,15.51,55.55
1544027395.0,-1,-1,0,0.0,0.0,70.83,15.71,55.12
1544027694.0,-1,-1,457,0.001328499,0.01599530568561873,70.6,15.9,54.7
1544027994.0,-1,-1,0,0.0,0.0,71.06,16.1,54.96
1544028294.0,-1,-1,0,0.0,0.0,70.83,16.29,54.54
1544028594.0,-1,-1,0,0.0,0.0,71.29,16.49,54.8
1544028894.0,-1,-1,0,0.0,0.0,72.19,16.68,55.51
1544029193.0,-1,-1,0,0.0,0.0,71.52,16.88,54.64
1544029493.0,-1,-1,0,0.0,0.0,71.52,17.06,54.46
1544029793.0,-1,-1,0,0.0,0.0,71.29,17.24,54.05
1544030093.0,-1,-1,0,0.0,0.0,71.29,17.42,53.87
1544030283.0,4,90467,0,0.0,0.0,71.74,17.53,54.21
1544030655.0,-1,-1,0,0.0,0.0,73.32,17.75,55.57
1544030955.0,-1,-1,0,0.0,0.0,73.76,17.93,55.83
1544031254.0,-1,-1,0,0.0,0.0,72.42,18.11,54.31
1544031554.0,-1,-1,0,0.0,0.0,71.06,18.29,52.77
1544031683.0,1,90469,0,0.0,0.0,70.14,18.37,51.77
1544032003.0,4,93085,0,0.0,0.0,69.91,18.56,51.35
1544032059.0,2,93442,0,0.0,0.0,69.91,18.6,51.31
1544032415.0,-1,-1,0,0.0,0.0,70.37,18.81,51.56
1544032715.0,-1,-1,0,0.0,0.0,70.6,18.99,51.61
1544033015.0,-1,-1,0,0.0,0.0,71.52,19.15,52.37
1544033315.0,-1,-1,0,0.0,0.0,71.06,19.3,51.76
1544033614.0,-1,-1,37657,0.109468899,1.3180201886287626,70.83,19.45,51.38
1544033914.0,-1,-1,0,0.0,0.0,70.6,19.6,51.0
1544034214.0,-1,-1,0,0.0,0.0,71.29,19.75,51.54
1544034514.0,-1,-1,0,0.0,0.0,71.52,19.9,51.62
1544034814.0,-1,-1,0,0.0,0.0,71.74,20.05,51.69
1544035113.0,-1,-1,0,0.0,0.0,71.52,20.2,51.32
1544035413.0,-1,-1,2,5.814e-06,6.9768e-05,71.52,20.35,51.17
1544035713.0,-1,-1,0,0.0,0.0,71.06,20.5,50.56
1544036013.0,-1,-1,2616,0.007604712,0.091256544,71.74,20.65,51.09
1544036183.0,4,119508,0,0.0,0.0,71.74,20.73,51.01
1544036540.0,-1,-1,357,0.001037799,0.010465200000000001,71.74,20.87,50.87
1544036839.0,-1,-1,0,0.0,0.0,72.87,20.93,51.94
1544037139.0,-1,-1,0,0.0,0.0,71.97,20.99,50.98
1544037213.0,1,119509,0,0.0,0.0,71.52,21.0,50.52
1544037528.0,4,122075,0,0.0,0.0,70.6,21.07,49.53
1544037601.0,2,122533,0,0.0,0.0,70.37,21.08,49.29
1544037973.0,-1,-1,0,0.0,0.0,70.6,21.15,49.45
1544038273.0,-1,-1,0,0.0,0.0,71.06,21.21,49.85
1544038573.0,-1,-1,0,0.0,0.0,71.29,21.27,50.02
1544038872.0,-1,-1,0,0.0,0.0,71.52,21.33,50.19
1544039172.0,-1,-1,0,0.0,0.0,71.06,21.39,49.67
