Stove Type,Laser 56/560,Latitude,64.90049,Longitude,-147.773,Square Footage,672,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,F,F,F
1543318812.0,4,256,65.89,9.97,55.92
1543320081.0,2,782,65.16,9.3,55.86
1543320861.0,4,5075,73.32,9.1,64.22
1543322798.0,1,5082,67.33,8.62,58.71
1543322864.0,2,5664,67.57,8.6,58.97
1543323622.0,4,9830,73.32,8.42,64.9
1543325685.0,1,9832,66.37,8.0,58.37
1543325741.0,2,10357,67.09,7.99,59.1
1543326451.0,4,14158,72.87,7.85,65.02
1543328561.0,1,14158,68.04,7.9,60.14
1543328617.0,2,14683,68.75,7.91,60.84
1543329327.0,4,18560,73.32,8.02,65.3
1543331464.0,1,18560,67.8,8.11,59.69
1543331521.0,2,19095,68.51,8.1,60.41
1543332230.0,4,22821,72.42,7.95,64.47
1543334540.0,1,23053,66.85,7.48,59.37
1543334594.0,2,23464,66.61,7.46,59.15
1543335243.0,4,27037,73.76,7.27,66.49
1543337906.0,1,27043,67.57,6.47,61.1
1543337961.0,2,27563,66.85,6.45,60.4
1543338756.0,4,31940,73.09,6.59,66.5
1543340692.0,1,31943,66.37,6.98,59.39
1543340746.0,2,32459,67.57,6.99,60.58
1543341469.0,4,36435,72.87,7.13,65.74
1543343501.0,1,36439,68.04,6.68,61.36
1543343557.0,2,36964,66.85,6.67,60.18
1543344286.0,4,40973,75.3,6.49,68.81
1543347558.0,1,40976,68.75,7.09,61.66
1543347614.0,2,41507,67.33,7.1,60.23
1543348340.0,4,45499,75.08,7.36,67.72
1543356989.0,1,45504,68.98,14.47,54.51
1543357046.0,2,46044,67.57,14.46,53.11
1543357757.0,4,49870,75.74,14.28,61.46
1543362367.0,1,49878,68.28,12.3,55.98
1543362421.0,2,50409,69.21,12.27,56.94
1543363182.0,4,54595,76.18,11.85,64.33
1543365874.0,1,54600,66.85,10.1,56.75
1543365928.0,2,55120,68.04,10.07,57.97
1543366701.0,4,59371,75.74,9.56,66.18
1543369018.0,1,59373,68.28,8.83,59.45
1543369072.0,2,59894,68.51,8.82,59.69
1543369808.0,4,63946,73.98,8.6,65.38
1543372326.0,1,63947,67.33,8.32,59.01
1543372381.0,2,64463,66.13,8.32,57.81
1543373152.0,4,68702,74.87,8.28,66.59
1543375276.0,1,68702,66.85,7.54,59.31
1543375330.0,2,69223,68.51,7.51,61.0
1543376082.0,4,73360,75.52,7.09,68.43
1543378221.0,1,73364,66.13,6.04,60.09
1543378276.0,2,73880,68.28,6.02,62.26
1543379036.0,4,78059,74.21,5.76,68.45
1543381130.0,1,78062,68.98,5.02,63.96
1543381185.0,2,78583,67.8,5.01,62.79
1543381924.0,4,82652,73.98,4.89,69.09
1543383945.0,1,82658,67.57,4.59,62.98
1543383999.0,2,83168,67.8,4.58,63.22
1543384747.0,4,87280,74.42,4.47,69.95
1543386908.0,1,87291,67.8,3.83,63.97
1543386962.0,2,87812,67.09,3.81,63.28
1543387706.0,4,91903,73.76,3.59,70.17
1543389614.0,1,92142,68.28,3.08,65.2
1543389670.0,2,92545,67.57,3.06,64.51
1543390447.0,4,96818,76.18,2.87,73.31
1543392289.0,1,96821,67.33,2.51,64.82
1543392345.0,2,97351,67.57,2.51,65.06
1543393114.0,4,101581,73.98,2.59,71.39
1543394855.0,1,101643,68.28,2.77,65.51
1543394897.0,4,102079,67.33,2.77,64.56
1543394922.0,2,102222,64.92,2.77,62.15
1543395659.0,4,106273,74.65,2.83,71.82
1543397256.0,2,106743,67.57,2.51,65.06
1543398120.0,4,111492,74.42,2.34,72.08
1543399645.0,1,111496,66.85,2.05,64.8
1543399686.0,4,111932,66.61,2.05,64.56
1543399712.0,2,112075,65.65,2.04,63.61
1543400605.0,4,116983,74.42,1.91,72.51
1543402123.0,1,116985,68.51,1.68,66.83
1543402165.0,2,117422,67.33,1.68,65.65
1543403115.0,4,122561,73.54,1.63,71.91
1543404539.0,1,122561,67.09,1.84,65.25
1543404580.0,4,122997,64.67,1.85,62.82
1543404606.0,2,123140,67.33,1.85,65.48
1543405587.0,4,128457,73.32,2.0,71.32
1543406971.0,1,128460,65.89,1.98,63.91
1543407043.0,2,129057,67.09,1.96,65.13
1543408054.0,4,134360,69.91,1.71,68.2
1543409398.0,1,134469,66.13,1.37,64.76
1543409470.0,2,135016,66.61,1.35,65.26
1543410513.0,4,140697,71.74,1.32,70.42
1543411841.0,1,140732,66.13,1.59,64.54
1543411912.0,2,141318,66.37,1.6,64.77
1543412956.0,4,146788,69.68,1.81,67.87
1543414267.0,1,147101,67.33,2.21,65.12
1543414339.0,2,147551,68.51,2.24,66.27
1543415367.0,4,153148,72.87,2.65,70.22
1543416695.0,1,153446,67.09,3.18,63.91
1543416767.0,2,153907,67.33,3.21,64.12
1543417848.0,4,159854,72.65,3.09,69.56
1543419182.0,1,159860,66.61,2.49,64.12
1543419253.0,2,160457,66.37,2.46,63.91
1543420397.0,4,166746,71.52,1.94,69.58
1543421659.0,1,166749,65.16,2.4,62.76
1543421731.0,2,167337,66.13,2.46,63.67
1543422828.0,4,173364,74.42,3.28,71.14
1543424155.0,1,173477,65.89,4.28,61.61
1543424227.0,2,174017,66.61,4.33,62.28
1543425270.0,4,179715,72.19,4.98,67.21
1543426509.0,1,179715,65.16,5.73,59.43
1543426565.0,2,180220,66.13,5.76,60.37
1543427698.0,4,186446,74.42,6.44,67.98
1543429038.0,1,186447,65.65,6.36,59.29
1543429110.0,2,187040,66.85,6.34,60.51
1543430170.0,4,192865,73.54,6.08,67.46
1543431481.0,1,193253,64.92,5.75,59.17
1543431537.0,2,193574,67.33,5.74,61.59
1543432659.0,4,199741,73.09,5.83,67.26
1543434002.0,2,200271,68.75,5.96,62.79
1543435178.0,4,206735,73.09,6.08,67.01
1543436421.0,1,206738,64.92,6.51,58.41
1543436476.0,2,207232,65.16,6.53,58.63
1543437653.0,4,213697,72.65,6.94,65.71
1543438980.0,1,213907,65.89,7.38,58.51
1543439036.0,2,214304,64.67,7.4,57.27
