Stove Type,Laser 73/730,Latitude,64.8496,Longitude,-147.715,Square Footage,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,F,F,F
1543414116.0,4,0,73.09,2.15,70.94
1543429271.0,1,488,75.74,6.3,69.44
1543429529.0,2,4148,90.13,6.24,83.89
1543429585.0,4,4317,76.4,6.22,70.18
1543430026.0,1,4317,68.51,6.11,62.4
1543431481.0,2,23822,72.42,5.75,66.67
1543431834.0,1,26645,70.14,5.74,64.4
1543432301.0,2,33279,71.29,5.79,65.5
1543432717.0,1,36825,70.14,5.83,64.31
1543433001.0,2,40861,72.65,5.86,66.79
1543433412.0,1,44249,68.51,5.9,62.61
1543433727.0,2,48728,71.97,5.93,66.04
1543434142.0,1,52292,70.14,5.97,64.17
1543434465.0,4,56896,73.32,6.01,67.31
1543434522.0,2,57347,72.19,6.01,66.18
1543434871.0,1,60134,69.91,6.05,63.86
1543435647.0,1,68486,69.91,6.24,63.67
1543435965.0,2,73011,71.74,6.35,65.39
1543436382.0,1,76333,69.45,6.49,62.96
1543436667.0,2,80389,72.87,6.59,66.28
1543437081.0,1,83701,69.68,6.74,62.94
1543437359.0,2,87666,72.65,6.84,65.81
1543437784.0,1,91052,69.45,6.98,62.47
1543438100.0,2,95548,72.42,7.09,65.33
1543438542.0,1,99073,69.91,7.25,62.66
1543438848.0,2,103426,72.87,7.35,65.52
1543439310.0,1,107110,69.21,7.47,61.74
1543439625.0,2,111592,72.19,7.55,64.64
1543440096.0,1,115350,69.91,7.66,62.25
1543440409.0,2,119804,74.87,7.74,67.13
1543440904.0,1,123750,70.37,7.87,62.5
1543441181.0,2,127703,72.65,7.94,64.71
1543441675.0,1,131643,70.37,8.06,62.31
1543441931.0,2,135273,72.87,8.12,64.75
1543442432.0,1,139274,70.14,8.25,61.89
1543442673.0,2,142703,71.74,8.31,63.43
1543443133.0,1,146365,69.21,8.42,60.79
1543443379.0,2,149864,72.65,8.48,64.17
1543443851.0,1,153629,69.91,8.6,61.31
1543444093.0,2,157084,72.19,8.66,63.53
1543444565.0,1,160847,69.91,8.78,61.13
1543444800.0,2,164190,72.42,8.84,63.58
1543445280.0,1,168018,70.14,8.96,61.18
1543445528.0,4,171548,72.42,9.02,63.4
1543445588.0,2,172024,72.19,9.04,63.15
1543446001.0,1,175320,70.37,9.14,61.23
1543446276.0,2,179245,72.19,9.21,62.98
1543446787.0,1,183315,69.91,9.34,60.57
1543446985.0,2,186146,73.09,9.39,63.7
1543447042.0,4,186559,71.52,9.4,62.12
1543447099.0,2,186992,70.6,9.41,61.19
1543447160.0,4,187476,70.6,9.43,61.17
1543447219.0,2,187943,70.14,9.44,60.7
1543447365.0,4,189108,69.21,9.48,59.73
1543447422.0,2,189559,69.68,9.5,60.18
1543447478.0,1,190220,70.37,9.51,60.86
1543447556.0,4,191315,71.97,9.53,62.44
1543447613.0,1,192040,71.74,9.54,62.2
1543447669.0,4,192613,73.09,9.56,63.53
1543447753.0,2,192857,72.19,9.58,62.61
1543447809.0,4,192997,71.29,9.59,61.7
1543447874.0,2,193206,71.06,9.61,61.45
1543447930.0,4,193409,70.6,9.62,60.98
1543447989.0,2,193640,70.6,9.64,60.96
1543448045.0,4,193874,70.37,9.65,60.72
1543448113.0,2,194170,69.91,9.67,60.24
1543448172.0,1,194514,69.45,9.68,59.77
1543448228.0,4,195127,70.83,9.7,61.13
1543448286.0,2,195482,71.97,9.71,62.26
1543448343.0,4,195684,72.42,9.73,62.69
1545410012.0,4,195684,65.89,-23.74,89.63
1548751974.0,4,199261,69.45,22.32,47.13
