Stove Type,Laser 73/730,Latitude,64.8496,Longitude,-147.715,Square Footage,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Thermistor resistance of the indoor thermistor
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Thermistor resistance (ohms)
978393628.0,2,199285,11251
978393751.0,1,200272,11506
978394093.0,-1,-1,10825
978394229.0,2,207063,10535
978394585.0,-1,-1,11126
978394885.0,-1,-1,11251
978394929.0,1,212699,11377
978395270.0,-1,-1,11004
978395371.0,2,218996,10367
978395711.0,-1,-1,11188
978396011.0,-1,-1,11314
978396051.0,1,224444,11314
978396408.0,-1,-1,10766
978396451.0,2,230044,10707
978396795.0,-1,-1,11377
978397008.0,4,234486,11251
978397066.0,2,234941,11506
978397112.0,4,235302,11571
978397154.0,1,235706,11314
978397201.0,4,236354,11314
978397241.0,1,236788,10884
978397280.0,4,237083,11065
978397638.0,-1,-1,10825
978397938.0,-1,-1,11126
978398239.0,-1,-1,11571
978398539.0,-1,-1,10944
978398839.0,-1,-1,10650
978399139.0,-1,-1,11188
978399440.0,-1,-1,11441
978399740.0,-1,-1,10884
978400040.0,-1,-1,10944
978400341.0,-1,-1,11251
978400641.0,-1,-1,11188
978400941.0,-1,-1,10825
978401242.0,-1,-1,10707
978401542.0,-1,-1,11065
978401842.0,-1,-1,11314
978402143.0,-1,-1,10944
978402443.0,-1,-1,11004
978402743.0,-1,-1,11188
978403043.0,-1,-1,11188
978403343.0,-1,-1,10650
978403643.0,-1,-1,11126
978403944.0,-1,-1,11251
978404244.0,-1,-1,11377
978404545.0,-1,-1,10766
978404845.0,-1,-1,11126
978405145.0,-1,-1,11314
978405446.0,-1,-1,10884
978405746.0,-1,-1,10707
978406046.0,-1,-1,11251
978406346.0,-1,-1,11441
978406647.0,-1,-1,10766
978406947.0,-1,-1,11004
978407247.0,-1,-1,11314
978407547.0,-1,-1,11441
978407848.0,-1,-1,10766
978408148.0,-1,-1,10944
978408448.0,-1,-1,11441
978408749.0,-1,-1,11314
978409049.0,-1,-1,10944
978409349.0,-1,-1,11251
978409650.0,-1,-1,11188
978409950.0,-1,-1,10944
978410251.0,-1,-1,10766
978410551.0,-1,-1,11126
978410851.0,-1,-1,11441
978411152.0,-1,-1,11251
978411452.0,-1,-1,10535
978411752.0,-1,-1,11188
978412053.0,-1,-1,11188
978412353.0,-1,-1,11188
978412653.0,-1,-1,10707
978412953.0,-1,-1,11188
978413253.0,-1,-1,11126
978413554.0,-1,-1,10944
978413854.0,-1,-1,11314
978414154.0,-1,-1,11065
978414454.0,-1,-1,11065
978414755.0,-1,-1,10535
978415055.0,-1,-1,11314
978415355.0,-1,-1,11377
978415656.0,-1,-1,10707
978415956.0,-1,-1,10650
978416256.0,-1,-1,11126
978416556.0,-1,-1,11251
978416857.0,-1,-1,10707
978417157.0,-1,-1,11004
978417458.0,-1,-1,11188
978417758.0,-1,-1,11314
978418059.0,-1,-1,11004
978418359.0,-1,-1,11004
978418659.0,-1,-1,11004
978418959.0,-1,-1,12045
978419260.0,-1,-1,11506
978419560.0,-1,-1,11065
978419860.0,-1,-1,11188
978420160.0,-1,-1,10944
978420460.0,-1,-1,11065
978420761.0,-1,-1,11188
978421061.0,-1,-1,10884
978421361.0,-1,-1,10825
978421661.0,-1,-1,11314
978421962.0,-1,-1,11506
978422262.0,-1,-1,10766
978422562.0,-1,-1,10944
978422862.0,-1,-1,11251
978423163.0,-1,-1,10884
978423463.0,-1,-1,10825
978423763.0,-1,-1,11004
978424064.0,-1,-1,11506
978424364.0,-1,-1,10884
978424664.0,-1,-1,10825
978424965.0,-1,-1,11251
978425265.0,-1,-1,11314
978425565.0,-1,-1,10884
