Stove type: Laser 73/730,,Latitude of the PUMA device location,[64.57072],Longitude of the PUMA device location,[-147.045],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543493493.0,4,0,0,0.0,0.0,65.89,18.71,47.18
1543493876.0,-1,-1,0,0.0,0.0,80.85,18.73,62.12
1543494176.0,-1,-1,0,0.0,0.0,69.91,18.75,51.16
1543494476.0,-1,-1,0,0.0,0.0,68.75,18.76,49.99
1543494663.0,1,0,0,0.0,0.0,68.28,18.77,49.51
1543494735.0,2,773,773,0.002603464,0.1301732,68.51,18.78,49.73
1543494876.0,1,1908,1135,0.00382268,0.09760034042553192,68.51,18.78,49.73
1543495079.0,2,4967,3059,0.010302712,0.18270819310344827,71.52,18.79,52.73
1543495452.0,-1,-1,0,0.0,0.0,71.29,18.81,52.48
1543495752.0,-1,-1,0,0.0,0.0,71.74,18.83,52.91
1543496052.0,-1,-1,0,0.0,0.0,71.52,18.84,52.68
1543496352.0,-1,-1,0,0.0,0.0,71.74,18.86,52.88
1543496651.0,-1,-1,0,0.0,0.0,71.74,18.87,52.87
1543496951.0,-1,-1,0,0.0,0.0,72.19,18.89,53.3
1543497251.0,-1,-1,0,0.0,0.0,71.97,18.9,53.07
1543497550.0,-1,-1,0,0.0,0.0,72.19,18.92,53.27
1543497850.0,-1,-1,0,0.0,0.0,72.65,18.93,53.72
1543498150.0,-1,-1,0,0.0,0.0,72.19,18.95,53.24
1543498449.0,-1,-1,0,0.0,0.0,72.65,18.96,53.69
1543498749.0,-1,-1,0,0.0,0.0,72.42,18.98,53.44
1543499049.0,-1,-1,0,0.0,0.0,72.42,18.99,53.43
1543499348.0,-1,-1,0,0.0,0.0,72.65,19.01,53.64
1543499648.0,-1,-1,0,0.0,0.0,73.09,19.02,54.07
1543499948.0,-1,-1,0,0.0,0.0,72.87,19.04,53.83
1543500248.0,-1,-1,0,0.0,0.0,72.87,19.05,53.82
1543500548.0,-1,-1,0,0.0,0.0,73.09,19.07,54.02
1543500847.0,-1,-1,0,0.0,0.0,73.54,19.08,54.46
1543501147.0,-1,-1,0,0.0,0.0,73.32,19.1,54.22
1543501393.0,4,55645,50678,0.170683504,2.4978073756097565,72.87,19.11,53.76
1543501765.0,-1,-1,0,0.0,0.0,73.32,19.13,54.19
1543502065.0,-1,-1,0,0.0,0.0,70.14,19.14,51.0
1543502365.0,-1,-1,0,0.0,0.0,69.21,19.16,50.05
1543502665.0,-1,-1,0,0.0,0.0,68.75,19.17,49.58
1543502965.0,-1,-1,0,0.0,0.0,67.8,19.19,48.61
1543503265.0,-1,-1,0,0.0,0.0,67.57,19.2,48.37
1543503564.0,-1,-1,0,0.0,0.0,67.33,19.22,48.11
1543503864.0,-1,-1,0,0.0,0.0,66.13,19.22,46.91
1543504164.0,-1,-1,0,0.0,0.0,66.13,19.22,46.91
1543504463.0,-1,-1,0,0.0,0.0,65.89,19.22,46.67
1543504763.0,-1,-1,0,0.0,0.0,65.65,19.22,46.43
1543505063.0,-1,-1,0,0.0,0.0,65.16,19.22,45.94
1543505363.0,-1,-1,0,0.0,0.0,64.67,19.22,45.45
1543505663.0,-1,-1,0,0.0,0.0,64.92,19.22,45.7
1543505962.0,-1,-1,0,0.0,0.0,64.43,19.22,45.21
1543506262.0,-1,-1,0,0.0,0.0,64.18,19.22,44.96
1543506562.0,-1,-1,0,0.0,0.0,63.19,19.22,43.97
1543506862.0,-1,-1,0,0.0,0.0,63.93,19.22,44.71
1543507162.0,-1,-1,0,0.0,0.0,63.44,19.22,44.22
1543507463.0,-1,-1,0,0.0,0.0,63.44,19.25,44.19
1543507763.0,-1,-1,0,0.0,0.0,62.94,19.28,43.66
1543508063.0,-1,-1,0,0.0,0.0,62.69,19.31,43.38
1543508363.0,-1,-1,0,0.0,0.0,62.69,19.34,43.35
1543508663.0,-1,-1,0,0.0,0.0,62.18,19.37,42.81
1543508963.0,-1,-1,0,0.0,0.0,62.18,19.4,42.78
1543509263.0,-1,-1,0,0.0,0.0,62.18,19.43,42.75
1543509563.0,-1,-1,0,0.0,0.0,61.67,19.46,42.21
1543509862.0,-1,-1,0,0.0,0.0,61.67,19.49,42.18
1543510162.0,-1,-1,0,0.0,0.0,61.67,19.52,42.15
1543510462.0,-1,-1,0,0.0,0.0,61.42,19.55,41.87
1543510762.0,-1,-1,0,0.0,0.0,61.16,19.58,41.58
1543511062.0,-1,-1,0,0.0,0.0,61.42,19.61,41.81
1543511148.0,1,55648,3,1.0104e-05,0.0004229581395348837,61.42,19.61,41.81
1543511220.0,2,56480,832,0.002802176,0.1401088,61.42,19.62,41.8
1543511369.0,1,57675,1195,0.0040247600000000005,0.0972425234899329,62.94,19.64,43.3
1543511549.0,0,60392,2717,0.009150856,0.18301712000000003,64.43,19.65,44.78
1543511905.0,-1,-1,0,0.0,0.0,70.6,19.69,50.91
1543511961.0,1,68612,8220,0.02768496,1.7797474285714288,71.29,19.7,51.59
1543512058.0,2,70082,1470,0.00495096,0.18374696907216495,71.74,19.71,52.03
1543512414.0,-1,-1,0,0.0,0.0,68.98,19.74,49.24
1543512507.0,1,73686,3604,0.012138272,0.4698685935483871,68.98,19.75,49.23
1543512706.0,2,76683,2997,0.010093896,0.18260314371859296,71.06,19.77,51.29
1543513078.0,-1,-1,0,0.0,0.0,69.21,19.81,49.4
1543513205.0,1,80686,4003,0.013482104,0.38216987716535433,68.75,19.82,48.93
1543513364.0,2,83076,2390,0.008049520000000001,0.18225328301886795,71.29,19.84,51.45
1543513720.0,-1,-1,0,0.0,0.0,69.91,19.87,50.04
1543514020.0,-1,-1,0,0.0,0.0,69.21,19.9,49.31
1543514211.0,1,89877,6801,0.022905768,0.43173175287958115,68.75,19.92,48.83
1543514352.0,2,92010,2133,0.007183944,0.18341984680851064,70.83,19.94,50.89
1543514708.0,-1,-1,0,0.0,0.0,69.68,19.97,49.71
1543515007.0,-1,-1,0,0.0,0.0,69.45,20.0,49.45
1543515307.0,-1,-1,0,0.0,0.0,69.21,20.03,49.18
1543515607.0,-1,-1,0,0.0,0.0,69.21,20.06,49.15
1543515906.0,-1,-1,0,0.0,0.0,69.45,20.09,49.36
1543516206.0,-1,-1,0,0.0,0.0,69.45,20.12,49.33
1543516506.0,-1,-1,0,0.0,0.0,69.45,20.15,49.3
1543516806.0,-1,-1,0,0.0,0.0,69.91,20.18,49.73
1543517105.0,-1,-1,0,0.0,0.0,69.91,20.21,49.7
1543517405.0,-1,-1,0,0.0,0.0,69.68,20.24,49.44
1543517705.0,-1,-1,0,0.0,0.0,69.91,20.27,49.64
1543518005.0,-1,-1,0,0.0,0.0,69.45,20.3,49.15
1543518304.0,-1,-1,0,0.0,0.0,70.14,20.33,49.81
1543518604.0,-1,-1,0,0.0,0.0,69.91,20.36,49.55
1543518904.0,-1,-1,0,0.0,0.0,70.14,20.39,49.75
1543519203.0,-1,-1,0,0.0,0.0,70.14,20.42,49.72
1543519503.0,-1,-1,0,0.0,0.0,69.91,20.45,49.46
1543519803.0,-1,-1,0,0.0,0.0,70.14,20.48,49.66
1543520103.0,-1,-1,0,0.0,0.0,70.37,20.51,49.86
1543520402.0,-1,-1,0,0.0,0.0,70.37,20.54,49.83
