Stove Type,Laser 73/730,Latitude,64.78514,Longitude,-148.034,Square Footage,1512,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Thermistor resistance of the indoor thermistor
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Thermistor resistance (ohms)
1543589995.0,1,0,9585
1543590066.0,2,845,8341
1543590432.0,-1,-1,11065
1543590488.0,1,4223,11126
1543590751.0,2,7963,10312
1543591122.0,-1,-1,11188
1543591202.0,1,11873,11126
1543591386.0,2,14491,10203
1543591753.0,-1,-1,11065
1543591823.0,1,18312,10944
1543591997.0,2,20794,10203
1543592368.0,-1,-1,10944
1543592434.0,1,24285,11126
1543592656.0,2,27440,10149
1543593022.0,-1,-1,11065
1543593141.0,1,31309,11004
1543593360.0,2,34428,10203
1543593731.0,-1,-1,11004
1543593858.0,1,38402,11251
1543594081.0,2,41577,10203
1543594456.0,-1,-1,10825
1543594602.0,1,45728,11065
1543594819.0,2,48818,10257
1543595190.0,-1,-1,11004
1543595315.0,1,52773,11188
1543595521.0,2,55705,10312
1543595892.0,-1,-1,10944
1543596042.0,1,59863,11004
1543596245.0,2,62750,10257
1543596612.0,-1,-1,11065
1543596770.0,1,66941,11004
1543596988.0,2,70044,10043
1543597345.0,-1,-1,10944
1543597606.0,1,74971,11004
1543597808.0,2,77847,10257
1543598165.0,-1,-1,11004
1543598387.0,1,82467,10944
1543598613.0,2,85673,10149
1543598969.0,-1,-1,11065
1543599269.0,-1,-1,11004
1543599326.0,1,91587,11065
1543599498.0,2,94038,10257
1543599854.0,-1,-1,11065
1543600105.0,1,98882,11065
1543600308.0,2,101773,10312
1543600664.0,-1,-1,11065
1543600829.0,1,105927,11251
1543601029.0,2,108774,10203
1543601396.0,-1,-1,11004
1543601536.0,1,112818,11065
1543601733.0,2,115624,9938
1543602090.0,-1,-1,11065
1543602302.0,1,120162,11065
1543602512.0,2,123153,10149
1543602869.0,-1,-1,11126
1543603046.0,1,127413,11188
1543603242.0,2,130203,10203
1543603599.0,-1,-1,10944
1543603788.0,1,134550,11004
1543603988.0,2,137409,10203
1543604345.0,-1,-1,11004
1543604520.0,1,141653,11188
1543604728.0,2,144604,10043
1543605109.0,-1,-1,11188
1543605289.0,1,149079,11065
1543605490.0,2,151941,10312
1543605846.0,-1,-1,11188
1543606007.0,1,156065,11004
1543606196.0,2,158756,10479
1543606553.0,-1,-1,11004
1543606706.0,1,162825,11004
1543606904.0,2,165643,10149
1543607261.0,-1,-1,10944
1543607476.0,1,170203,11065
1543607687.0,4,173209,10257
1543607744.0,2,173660,10312
1543608100.0,-1,-1,11065
1543608296.0,1,178067,11065
1543608437.0,0,180061,11377
1543608807.0,-1,-1,13664
1543609107.0,-1,-1,13330
1543609407.0,-1,-1,13330
1543609707.0,-1,-1,13330
1543610007.0,-1,-1,12852
1543610307.0,-1,-1,12852
1543610607.0,-1,-1,12775
1543610907.0,-1,-1,12624
1543611207.0,-1,-1,12475
1543611507.0,-1,-1,12329
1543611807.0,-1,-1,12475
1543612107.0,-1,-1,12257
1543612407.0,-1,-1,12185
1543612707.0,-1,-1,11975
1543612893.0,1,271457,9343
1543612949.0,4,271756,9249
1543613144.0,1,271756,12115
1543613501.0,-1,-1,12045
1543613753.0,0,280479,12624
1543614109.0,-1,-1,12257
1543614409.0,-1,-1,12257
1543614709.0,-1,-1,11975
1543615009.0,-1,-1,12045
1543615309.0,-1,-1,11770
1543615609.0,-1,-1,11637
1543615745.0,1,321329,9203
1543615819.0,4,321806,7485
1543616191.0,-1,-1,9020
1543616491.0,-1,-1,9391
1543616791.0,-1,-1,9990
1543617091.0,-1,-1,10149
1543617391.0,-1,-1,10367
1543617692.0,-1,-1,10367
1543617992.0,-1,-1,10707
1543618292.0,-1,-1,10825
1543618592.0,-1,-1,12115
1543618659.0,1,321935,12115
1543619033.0,-1,-1,12852
1543619266.0,0,330636,12699
1543619622.0,-1,-1,12475
1543619922.0,-1,-1,12549
1543620129.0,1,348337,9249
1543620185.0,4,348934,8381
1543620542.0,-1,-1,9249
1543620843.0,-1,-1,9938
1543621143.0,-1,-1,9938
1543621443.0,-1,-1,10312
1543621743.0,-1,-1,10592
1543622043.0,-1,-1,10766
1543622343.0,-1,-1,11126
1543622556.0,1,350156,10766
1543622758.0,2,352224,9938
1543622880.0,4,353195,9634
1543623237.0,-1,-1,10367
1543623537.0,-1,-1,10650
1543623838.0,-1,-1,10944
1543623970.0,1,353197,11065
1543624286.0,2,356496,9990
1543624643.0,-1,-1,10043
1543624943.0,-1,-1,10203
1543625194.0,4,363738,9990
1543625552.0,-1,-1,10149
1543625852.0,-1,-1,10766
1543626152.0,-1,-1,10944
1543626242.0,1,363740,11126
1543626558.0,2,367034,10149
1543626915.0,-1,-1,10203
1543627215.0,-1,-1,10096
1543627515.0,-1,-1,10096
1543627816.0,-1,-1,10096
1543627872.0,4,377310,10043
1543628229.0,-1,-1,10535
1543628529.0,-1,-1,11065
1543628829.0,-1,-1,11004
1543628886.0,1,377858,11126
1543629154.0,4,380607,10096
1543629211.0,2,381059,9887
1543629581.0,-1,-1,10203
1543629881.0,-1,-1,10257
1543630181.0,-1,-1,10043
1543630482.0,-1,-1,9990
1543630618.0,4,392282,10043
1543630985.0,-1,-1,10650
1543631285.0,-1,-1,10707
1543631560.0,1,392285,11065
1543631875.0,4,395585,9990
1543631946.0,2,396150,10149
1543632313.0,-1,-1,10149
1543632613.0,-1,-1,10149
1543632913.0,-1,-1,10149
1543633213.0,-1,-1,10149
1543633514.0,-1,-1,10257
1543633592.0,4,409280,10096
1543633950.0,-1,-1,10479
1543634250.0,-1,-1,11065
1543634550.0,1,409280,10766
1543634866.0,2,412572,10257
1543635222.0,-1,-1,10367
1543635522.0,-1,-1,10203
1543635823.0,-1,-1,10203
1543636123.0,-1,-1,10312
1543636423.0,-1,-1,10043
1543636724.0,-1,-1,10043
1543637024.0,-1,-1,10257
1543637310.0,4,432068,9938
1543637681.0,-1,-1,10203
1543637982.0,-1,-1,10650
1543638282.0,-1,-1,11065
1543638349.0,1,432735,11126
1543638606.0,4,435368,10096
1543638662.0,2,435819,9784
1543639019.0,-1,-1,10149
1543639319.0,-1,-1,10312
1543639619.0,-1,-1,10043
1543639920.0,-1,-1,10096
1543640220.0,-1,-1,9990
1543640520.0,-1,-1,10149
1543640820.0,-1,-1,10203
1543641120.0,-1,-1,10149
1543641329.0,4,457094,10043
1543641701.0,-1,-1,10367
1543642001.0,-1,-1,10825
1543642287.0,1,457096,11126
1543642603.0,4,460393,10257
1543642674.0,2,460958,10096
1543643030.0,-1,-1,10257
1543643331.0,-1,-1,10203
1543643631.0,-1,-1,9990
1543643931.0,-1,-1,10203
1543644231.0,-1,-1,10203
1543644531.0,-1,-1,10203
1543644832.0,-1,-1,10312
1543645132.0,-1,-1,10096
1543645432.0,-1,-1,10203
1543645568.0,4,484043,9887
1543645926.0,-1,-1,10367
1543646226.0,-1,-1,10944
1543646526.0,-1,-1,11251
1543646593.0,1,484593,11188
1543646862.0,2,487350,10149
1543647243.0,-1,-1,10096
1543647543.0,-1,-1,10257
1543647843.0,-1,-1,10312
1543648143.0,-1,-1,10096
1543648444.0,-1,-1,9887
1543648543.0,4,500761,9990
1543648919.0,-1,-1,10423
1543649219.0,-1,-1,11004
1543649447.0,1,500761,11188
1543649763.0,4,504058,10592
1543649819.0,2,504508,10367
1543650190.0,-1,-1,10650
1543650490.0,-1,-1,10423
1543650790.0,-1,-1,10650
1543651091.0,-1,-1,10650
1543651391.0,-1,-1,10479
1543651691.0,-1,-1,10367
1543651992.0,-1,-1,10367
1543652292.0,-1,-1,10423
1543652592.0,-1,-1,10592
1543652892.0,-1,-1,10312
1543653193.0,-1,-1,10367
1543653493.0,-1,-1,10203
1543653793.0,-1,-1,9990
1543654094.0,-1,-1,10149
1543654394.0,-1,-1,10096
1543654474.0,4,541356,10203
1543654842.0,-1,-1,10367
1543655142.0,-1,-1,10825
1543655420.0,1,541356,11065
1543655737.0,2,544658,9938
1543656103.0,-1,-1,10312
1543656404.0,-1,-1,10149
1543656704.0,-1,-1,10203
1543657004.0,-1,-1,10203
1543657304.0,-1,-1,10149
1543657592.0,4,559455,9990
1543657949.0,-1,-1,10257
1543658249.0,-1,-1,11004
1543658549.0,-1,-1,11188
1543658606.0,1,559872,11004
1543658887.0,4,562754,10043
1543658944.0,2,563205,9990
1543659300.0,-1,-1,10257
1543659600.0,-1,-1,10203
1543659900.0,-1,-1,10257
1543660200.0,-1,-1,10043
1543660500.0,-1,-1,10149
1543660801.0,-1,-1,9990
1543660884.0,4,578684,9938
1543661260.0,-1,-1,10423
1543661560.0,-1,-1,10884
1543661860.0,-1,-1,11004
1543661917.0,1,579170,10884
1543662192.0,4,581987,10312
1543662248.0,2,582438,9990
1543662605.0,-1,-1,10312
1543662905.0,-1,-1,10312
1543663205.0,-1,-1,10149
1543663505.0,-1,-1,9990
1543663733.0,4,594278,10096
1543664090.0,-1,-1,10367
1543664390.0,-1,-1,11004
1543664690.0,-1,-1,11188
1543664746.0,1,594553,11126
1543665041.0,4,597570,9835
1543665097.0,2,598020,9887
1543665454.0,-1,-1,10149
1543665754.0,-1,-1,10096
1543666054.0,-1,-1,10203
1543666354.0,-1,-1,9990
1543666430.0,4,608654,10203
1543666788.0,-1,-1,10312
1543667088.0,-1,-1,10884
1543667388.0,-1,-1,11251
1543667445.0,1,608942,11251
1543667738.0,4,611954,10043
1543667813.0,2,612551,9938
1543668170.0,-1,-1,10203
1543668470.0,-1,-1,10312
1543668770.0,-1,-1,10149
1543669070.0,-1,-1,9887
1543669126.0,4,622774,9990
1543669484.0,-1,-1,10312
1543669784.0,-1,-1,11065
1543670084.0,-1,-1,11065
1543670155.0,1,623287,11251
1543670427.0,2,626068,9990
1543670783.0,-1,-1,10257
1543671084.0,-1,-1,10203
1543671384.0,-1,-1,10043
1543671478.0,4,634458,9990
1543671850.0,-1,-1,10479
1543672150.0,-1,-1,10825
1543672450.0,-1,-1,11004
1543672507.0,1,634633,10944
1543672810.0,2,637749,10367
1543673181.0,-1,-1,10423
1543673481.0,-1,-1,10535
