Stove Type,M422,Latitude,64.83723,Longitude,-148.027,Square Footage,,
Timestamp of the clicks per interval,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,State of the stove per interval of clicks,Indoor temperature per interval,Outdoor temperature per interval,Temperature difference per interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Number of clicks,Integer units corresponding to power states; -1 indicates powered off,F,F,F,US gallons,US gallons per hour
1549882964.0,325,3,9.94,20.495,-10.555,0.001415375,0.12738375
1549883175.0,-330,3,41.18,20.52,20.66,-0.0014371499999999999,-0.013543821989528793
1549883405.0,573,4,72.645,20.54,52.105,0.002495415,0.11517300000000001
1549884457.0,3,2,70.22,20.645,49.575,1.3065e-05,2.3215202369200394e-05
1549885620.0,2740,3,68.51,20.765,47.745,0.0119327,0.1431924
1549885838.5,1013,4,70.485,20.785,49.7,0.004411615,0.1159256496350365
1549915809.5,108281,2,69.305,22.975,46.33,0.471563755,0.028386080060195638
1549945862.0,2740,4,68.73,25.16,43.57,0.0119327,0.1431924
1549946027.0,220,3,70.485,25.16,45.325,0.0009580999999999999,0.11497199999999998
1549946093.0,757,4,71.17,25.16,46.01,0.003296735,0.11635535294117647
1549947051.5,2,2,69.655,25.205,44.45,8.71e-06,1.727603305785124e-05
1549948109.0,2740,4,68.855,25.285,43.57,0.0119327,0.1431924
1549948274.0,220,3,70.255,25.325,44.93,0.0009580999999999999,0.11497199999999998
1549948349.5,893,4,70.83,25.345,45.485,0.003889015,0.11570623140495868
1549949307.5,3,2,69.19,25.585,43.605,1.3065e-05,2.6202785515320332e-05
1549950355.5,2744,3,68.5,25.85,42.65,0.01195012,0.14292502325581397
1549950591.0,1253,4,70.825,25.91,44.915,0.005456814999999999,0.11555608235294117
1549951582.5,4,2,69.535,25.9,43.635,1.742e-05,3.459018201875345e-05
1549952639.0,2740,4,68.85,25.845,43.005,0.0119327,0.1431924
1549952860.5,1053,4,71.055,25.81,45.245,0.004585815,0.11544709090909092
1549953758.0,0,2,69.535,25.675,43.86,0.0,0.0
1549954734.5,2744,3,68.62,25.535,43.085,0.01195012,0.14292502325581397
1549954956.0,1045,4,70.715,25.515,45.2,0.004550975,0.11537683098591547
1549955870.0,2,2,69.425,25.465,43.96,8.71e-06,1.8597864768683272e-05
1549956863.0,2740,4,68.735,25.415,43.32,0.0119327,0.1431924
1549957028.0,221,3,70.37,25.41,44.96,0.000962455,0.1154946
1549957095.5,777,4,70.715,25.405,45.31,0.003383835,0.1160172
1549958038.0,447,2,68.96,25.37,43.59,0.0019466849999999999,0.003937115730337079
1549959086.5,2777,3,68.96,25.34,43.62,0.012093834999999999,0.13734323659305991
1549959294.5,642,4,71.285,25.34,45.945,0.00279591,0.10166945454545455
1549960169.5,0,2,69.655,25.34,44.315,0.0,0.0
1549961145.5,2744,3,68.97,25.34,43.63,0.01195012,0.14292502325581397
1549961358.5,925,4,70.945,25.34,45.605,0.004028375,0.1160172
1549962219.0,2,2,69.425,25.29,44.135,8.71e-06,1.9646616541353383e-05
1549963167.0,2740,4,68.965,25.225,43.74,0.0119327,0.1431924
1549963332.0,221,3,70.6,25.21,45.39,0.000962455,0.1154946
1549963398.5,761,4,70.945,25.205,45.74,0.003314155,0.11583454368932038
1549964298.5,2,2,69.43,25.115,44.315,8.71e-06,1.847731290512669e-05
1549965297.0,2744,3,68.97,25.015,43.955,0.01195012,0.14340144
1549965523.0,1117,4,70.945,24.99,45.955,0.004864535,0.11521267105263157
1549966446.5,5,2,69.78,24.94,44.84,2.1775e-05,4.624778761061947e-05
1549967444.0,2740,4,69.09,24.89,44.2,0.0119327,0.1431924
1549967609.0,220,3,70.485,24.88,45.605,0.0009580999999999999,0.11497199999999998
1549967671.5,701,4,71.175,24.875,46.3,0.0030528549999999997,0.11568713684210526
1549968430.5,3,2,69.9,24.835,45.065,1.3065e-05,3.305270555165144e-05
1549969292.0,2740,4,69.095,24.8,44.295,0.0119327,0.1431924
1549969457.0,221,3,70.37,24.8,45.57,0.000962455,0.1154946
1549969518.0,685,4,71.285,24.8,46.485,0.002983175,0.11673293478260868
1549970425.5,5,2,69.415,24.8,44.615,2.1775e-05,4.54962275101567e-05
1549971437.0,2740,3,68.615,24.8,43.815,0.0119327,0.1431924
1549971663.0,1121,4,70.83,24.8,46.03,0.0048819549999999995,0.11562524999999998
1549972585.0,43,2,69.425,24.755,44.67,0.000187265,0.0003984361702127659
1549973578.5,2700,4,68.735,24.685,44.05,0.0117585,0.1434935593220339
1549973762.0,530,3,70.37,24.655,45.715,0.0023081499999999997,0.11540749999999998
1549973831.5,493,4,70.945,24.645,46.3,0.002147015,0.115362
1549974811.0,3,2,69.43,24.5,44.93,1.3065e-05,2.4859408033826637e-05
1549975907.0,2740,4,68.97,24.335,44.635,0.0119327,0.1431924
1549976072.0,220,3,70.255,24.31,45.945,0.0009580999999999999,0.11497199999999998
1549976142.5,821,4,71.055,24.3,46.755,0.003575455,0.11596070270270271
