Stove Type,M422,Latitude,64.83723,Longitude,-148.027,Square Footage,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,F,F,F
1549882944.0,2,79714,9.94,20.49,-10.55
1549882984.0,3,80039,9.94,20.5,-10.56
1549883366.0,3,79709,72.42,20.54,51.88
1549883444.0,4,80282,72.87,20.54,52.33
1549885470.0,2,80285,67.57,20.75,46.82
1549885770.0,3,83025,69.45,20.78,48.67
1549885907.0,4,84038,71.52,20.79,50.73
1549945712.0,2,192319,67.09,25.16,41.93
1549946012.0,4,195059,70.37,25.16,45.21
1549946042.0,3,195279,70.6,25.16,45.44
1549946144.0,4,196036,71.74,25.16,46.58
1549947959.0,2,196038,67.57,25.25,42.32
1549948259.0,4,198778,70.14,25.32,44.82
1549948289.0,3,198998,70.37,25.33,45.04
1549948410.0,4,199891,71.29,25.36,45.93
1549950205.0,2,199894,67.09,25.81,41.28
1549950506.0,3,202638,69.91,25.89,44.02
1549950676.0,4,203891,71.74,25.93,45.81
1549952489.0,2,203895,67.33,25.87,41.46
1549952789.0,4,206635,70.37,25.82,44.55
1549952932.0,4,207688,71.74,25.8,45.94
1549954584.0,2,207688,67.33,25.55,41.78
1549954885.0,3,210432,69.91,25.52,44.39
1549955027.0,4,211477,71.52,25.51,46.01
1549956713.0,2,211479,67.33,25.42,41.91
1549957013.0,4,214219,70.14,25.41,44.73
1549957043.0,3,214440,70.6,25.41,45.19
1549957148.0,4,215217,70.83,25.4,45.43
1549958928.0,2,215664,67.09,25.34,41.75
1549959245.0,3,218441,70.83,25.34,45.49
1549959344.0,4,219083,71.74,25.34,46.4
1549960995.0,2,219083,67.57,25.34,42.23
1549961296.0,3,221827,70.37,25.34,45.03
1549961421.0,4,222752,71.52,25.34,46.18
1549963017.0,2,222754,67.33,25.24,42.09
1549963317.0,4,225494,70.6,25.21,45.39
1549963347.0,3,225715,70.6,25.21,45.39
1549963450.0,4,226476,71.29,25.2,46.09
1549965147.0,2,226478,67.57,25.03,42.54
1549965447.0,3,229222,70.37,25.0,45.37
1549965599.0,4,230339,71.52,24.98,46.54
1549967294.0,2,230344,68.04,24.9,43.14
1549967594.0,4,233084,70.14,24.88,45.26
1549967624.0,3,233304,70.83,24.88,45.95
1549967719.0,4,234005,71.52,24.87,46.65
1549969142.0,2,234008,68.28,24.8,43.48
1549969442.0,4,236748,69.91,24.8,45.11
1549969472.0,3,236969,70.83,24.8,46.03
1549969564.0,4,237654,71.74,24.8,46.94
1549971287.0,2,237659,67.09,24.8,42.29
1549971587.0,3,240399,70.14,24.8,45.34
1549971739.0,4,241520,71.52,24.8,46.72
1549973431.0,2,241563,67.33,24.71,42.62
1549973726.0,4,244263,70.14,24.66,45.48
1549973798.0,3,244793,70.6,24.65,45.95
1549973865.0,4,245286,71.29,24.64,46.65
1549975757.0,2,245289,67.57,24.36,43.21
1549976057.0,4,248029,70.37,24.31,46.06
1549976087.0,3,248249,70.14,24.31,45.83
1549976198.0,4,249070,71.97,24.29,47.68
1549977815.0,2,249070,67.09,24.19,42.9
1549978115.0,3,251814,70.6,24.17,46.43
1549978247.0,4,252783,71.06,24.17,46.89
1549979941.0,2,252784,67.09,24.08,43.01
1549980241.0,4,255524,70.37,24.02,46.35
1549980281.0,3,255818,70.37,24.01,46.36
1549980406.0,4,256739,71.52,23.98,47.54
1549982107.0,2,256743,67.33,23.55,43.78
1549982407.0,3,259483,70.83,23.48,47.35
1549982539.0,4,260456,71.52,23.45,48.07
1549984648.0,2,260459,66.37,22.97,43.4
1549984947.0,4,263199,70.6,22.91,47.69
1549984977.0,3,263419,71.06,22.9,48.16
1549985023.0,4,263758,71.74,22.9,48.84
1549986725.0,2,263760,67.57,22.55,45.02
1549987024.0,4,266500,70.14,22.5,47.64
1549987064.0,3,266795,71.29,22.49,48.8
1549987127.0,4,267258,71.29,22.47,48.82
1549988836.0,2,267261,66.85,22.71,44.14
1549989137.0,3,270005,70.14,22.75,47.39
1549989232.0,4,270704,71.06,22.76,48.3
1549991267.0,2,270708,67.09,23.09,44.0
1549991567.0,3,273452,69.45,23.15,46.3
1549991734.0,4,274681,71.52,23.19,48.33
1549993675.0,2,274681,67.09,23.57,43.52
1549993976.0,3,277425,70.6,23.64,46.96
1549994071.0,4,278126,71.97,23.65,48.32
1549995500.0,2,278129,64.67,24.21,40.46
1549995800.0,3,280873,70.83,24.35,46.48
1549995889.0,4,281528,71.74,24.39,47.35
1549997309.0,2,281531,67.09,25.03,42.06
1549997609.0,3,284275,70.83,25.16,45.67
1549997708.0,4,284998,71.52,25.21,46.31
1549999232.0,2,284999,67.09,27.06,40.03
1549999532.0,3,287743,70.37,27.48,42.89
1549999642.0,4,288552,71.06,27.64,43.42
1550001157.0,2,288552,67.33,29.76,37.57
1550001457.0,3,291296,69.91,30.18,39.73
1550001561.0,4,292061,71.52,30.33,41.19
1550003178.0,2,292064,67.09,30.62,36.47
1550003477.0,3,294804,70.14,30.66,39.48
1550003583.0,4,295581,71.29,30.68,40.61
1550004981.0,2,295586,67.33,30.89,36.44
1550005280.0,4,298326,69.91,30.92,38.99
1550005310.0,3,298546,70.6,30.91,39.69
1550005397.0,4,299187,71.52,30.91,40.61
1550006851.0,2,299187,67.8,30.84,36.96
1550007151.0,4,301927,69.68,30.82,38.86
1550007197.0,3,302266,70.37,30.82,39.55
1550007267.0,4,302779,71.52,30.82,40.7
1550008713.0,2,302781,67.33,30.74,36.59
1550009012.0,4,305521,69.68,30.71,38.97
1550009064.0,3,305904,70.83,30.7,40.13
1550009127.0,4,306363,71.52,30.69,40.83
1550010611.0,2,306365,67.33,30.47,36.86
1550010911.0,3,309109,70.14,30.42,39.72
1550011026.0,4,309954,71.29,30.41,40.88
1550012471.0,2,309958,66.85,30.17,36.68
1550012770.0,4,312698,69.91,30.05,39.86
1550012800.0,3,312919,70.6,30.04,40.56
1550012914.0,4,313754,70.83,29.99,40.84
1550014512.0,2,313957,67.33,29.36,37.97
1550014790.0,3,316501,70.14,29.24,40.9
1550014912.0,4,317400,71.97,29.2,42.77
1550016351.0,2,317403,66.85,28.58,38.27
1550016652.0,4,320145,69.91,28.43,41.48
1550016682.0,3,320365,70.37,28.42,41.95
1550016784.0,4,321120,71.74,28.37,43.37
1550018284.0,2,321122,67.33,27.62,39.71
1550018584.0,4,323862,69.68,27.47,42.21
1550018624.0,3,324157,71.06,27.45,43.61
1550018680.0,4,324568,71.74,27.42,44.32
1550020143.0,2,324569,67.09,26.85,40.24
1550020444.0,3,327313,70.37,26.79,43.58
1550020572.0,4,328256,71.74,26.77,44.97
1550022016.0,2,328257,66.37,26.48,39.89
1550022316.0,4,330997,69.91,26.42,43.49
1550022356.0,3,331292,70.83,26.41,44.42
1550022425.0,4,331803,71.74,26.39,45.35
1550023792.0,2,331805,67.33,26.12,41.21
1550024092.0,4,334545,69.91,26.06,43.85
1550024132.0,3,334839,71.06,26.05,45.01
1550024209.0,4,335410,71.29,26.04,45.25
1550025736.0,2,335411,67.57,25.73,41.84
1550026036.0,4,338151,70.6,25.67,44.93
1550026076.0,3,338446,70.6,25.66,44.94
1550026143.0,4,338939,71.06,25.65,45.41
1550027571.0,2,338939,67.09,25.37,41.72
1550027871.0,4,341679,70.14,25.31,44.83
1550027911.0,3,341974,70.37,25.3,45.07
1550028000.0,4,342627,71.52,25.28,46.24
1550029429.0,2,342630,67.33,24.99,42.34
1550029729.0,3,345374,69.68,24.93,44.75
1550029888.0,4,346541,71.74,24.9,46.84
1550031262.0,2,346544,66.85,24.63,42.22
1550031563.0,3,349288,69.68,24.57,45.11
1550031702.0,4,350311,71.97,24.54,47.43
1550033022.0,2,350312,67.57,24.28,43.29
1550033321.0,4,353053,70.37,24.22,46.15
1550033367.0,3,353391,71.06,24.21,46.85
1550033434.0,4,353882,71.74,24.19,47.55
1550034787.0,2,353882,67.8,24.0,43.8
1550035087.0,3,356626,69.45,23.97,45.48
1550035211.0,4,357541,71.97,23.96,48.01
1550036558.0,2,357544,67.09,23.82,43.27
1550036857.0,3,360284,69.91,23.79,46.12
1550036969.0,4,361103,71.52,23.78,47.74
1550038258.0,2,361104,67.09,23.59,43.5
1550038558.0,3,363848,69.68,23.53,46.15
1550038679.0,4,364739,71.52,23.5,48.02
1550039934.0,2,364739,66.85,23.25,43.6
1550040234.0,4,367479,69.91,23.19,46.72
1550040274.0,3,367774,70.83,23.19,47.64
1550040385.0,4,368593,71.52,23.16,48.36
1550041597.0,2,368594,66.85,22.98,43.87
1550041897.0,4,371334,69.91,22.97,46.94
1550041937.0,3,371629,70.37,22.96,47.41
1550042039.0,4,372380,71.06,22.96,48.1
1550043243.0,2,372383,66.85,22.9,43.95
1550043543.0,4,375123,70.14,22.88,47.26
1550043583.0,3,375418,71.06,22.88,48.18
1550043684.0,4,376161,71.52,22.88,48.64
1550044923.0,2,376165,67.33,22.81,44.52
1550045222.0,3,378905,69.91,22.8,47.11
1550045386.0,4,380112,71.52,22.79,48.73
1550046668.0,2,380315,67.33,22.73,44.6
1550046946.0,4,382855,69.68,22.71,46.97
1550046986.0,3,383149,70.37,22.71,47.66
1550047135.0,4,384252,71.06,22.7,48.36
