Stove Type,Laser 73/730,Latitude,64.81606,Longitude,-148.002,Square Footage,,
Timestamp of the clicks per interval,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,State of the stove per interval of clicks,Indoor temperature per interval,Outdoor temperature per interval,Temperature difference per interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Number of clicks,Integer units corresponding to power states; -1 indicates powered off,F,F,F,US gallons,US gallons per hour
1544116928.0,0,1,73.985,14.475,59.51,0.0,0.0
1544117161.0,3354,2,75.51,14.46,61.05,0.011296272000000001,0.12708306
1544117828.0,7908,4,78.535,14.425,64.11,0.026634144000000002,0.09455909112426036
1544127392.0,0,1,76.45,12.055,64.395,0.0,0.0
1544136609.0,3360,2,74.745,9.74,65.005,0.01131648,0.12731040000000002
1544137176.5,6493,4,77.79,9.815,67.975,0.021868424,0.09659671950920246
1544144253.5,0,1,75.8,13.225,62.575,0.0,0.0
1544151083.5,3368,2,74.41,16.7,57.71,0.011343424000000001,0.12721597009345795
1544152014.5,12276,4,77.895,17.2,60.695,0.041345568,0.09658925684620376
1544157745.0,2,1,76.02,18.935,57.085,6.736e-06,2.4445161290322584e-06
1544162865.0,3345,4,74.415,20.275,54.14,0.01126596,0.12674205000000002
1544163053.0,451,2,76.395,20.27,56.125,0.001518968,0.09764794285714286
1544163618.0,8560,4,78.105,20.24,57.865,0.02883008,0.09663713966480447
1544168909.5,0,1,76.235,19.975,56.26,0.0,0.0
1544173824.5,3361,4,74.415,19.73,54.685,0.011319848,0.1269515663551402
1544174013.0,451,2,77.145,19.72,57.425,0.001518968,0.09764794285714286
1544174456.5,6621,4,78.755,19.7,59.055,0.022299528000000002,0.0966044534296029
1544182158.5,1,1,76.25,21.755,54.495,3.368e-06,8.320043916832499e-07
1544189604.5,3356,4,75.18,23.885,51.295,0.011303008,0.12755745705329155
1544189792.5,451,2,77.04,23.95,53.09,0.001518968,0.09593482105263158
1544190072.0,3997,4,77.895,24.045,53.85,0.013461896000000001,0.09653949322709164
1544194694.5,0,1,76.035,23.34,52.695,0.0,0.0
1544199225.5,3338,4,75.29,22.49,52.8,0.011242384000000001,0.12687329905956116
1544199413.5,450,2,77.045,22.415,54.63,0.0015156000000000002,0.09572210526315791
1544199656.0,3415,4,77.47,22.315,55.155,0.01150172,0.09674343925233644
1544201657.5,0,4,77.145,21.84,55.305,0.0,0.0
1544203517.5,0,1,76.29,21.455,54.835,0.0,0.0
1544203729.5,2934,4,77.575,21.465,56.11,0.009881712,0.1275059612903226
1544230760.5,2,1,75.7,23.445,52.255,6.736e-06,4.508785303906439e-07
1544257812.5,3366,4,74.525,25.43,49.095,0.011336688000000001,0.12714042616822432
1544258001.5,451,2,76.72,25.44,51.28,0.001518968,0.09593482105263158
1544258806.0,12374,4,78.53,25.48,53.05,0.041675632000000004,0.09667028041237113
1544268559.5,2,1,76.335,23.0,53.335,6.736e-06,1.350576441102757e-06
1544277698.0,3369,2,74.195,20.465,53.73,0.011346792000000001,0.1268585440993789
1544278386.5,8410,4,77.35,20.4,56.95,0.02832488,0.09665361895734598
1544282614.0,0,1,76.47,20.35,56.12,0.0,0.0
1544286474.0,3361,2,74.75,20.375,54.375,0.011319848,0.12734829
1544287090.5,7276,4,77.455,20.465,56.99,0.024505568000000002,0.09662655509309967
1544293008.0,142,1,76.13,20.755,55.375,0.00047825600000000004,0.0001576379417689068
1544298624.5,3227,4,74.415,20.99,53.425,0.010868536,0.12580941993569134
1544298808.5,452,2,75.85,21.0,54.85,0.001522336,0.09614753684210527
1544299418.0,9262,4,77.35,21.03,56.32,0.031194416000000003,0.09664362960413082
1544305815.0,3,1,75.69,19.795,55.895,1.0104e-05,3.1270976616231088e-06
1544311791.0,3355,2,74.3,18.5,55.8,0.011299640000000001,0.12712095000000004
1544312481.5,8459,4,77.255,18.365,58.89,0.028489912000000003,0.09666699641847314
1544318969.5,0,1,75.71,16.335,59.375,0.0,0.0
1544325087.0,3357,2,74.305,14.425,59.88,0.011306376,0.12719673
1544325922.0,10758,4,77.665,14.51,63.155,0.036232944,0.09662118400000001
