Stove Type,Laser 73/730,Latitude,64.81606,Longitude,-148.002,Square Footage,,
Timestamp of each PUMA device reading,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",F,F,F
1543968147.0,77,8,68
1543968447.0,76,9,67
1543968747.0,76,9,66
1543969047.0,75,9,65
1543969347.0,75,10,65
1543969647.0,75,10,65
1543969947.0,75,10,64
1543970247.0,75,11,64
1543970547.0,75,11,63
1543970848.0,75,11,63
1543971148.0,75,12,63
1543971448.0,75,12,62
1543971748.0,75,12,62
1543972048.0,76,12,63
1543972348.0,76,13,63
1543972648.0,75,13,62
1543972948.0,76,13,63
1543973248.0,76,13,63
1543973548.0,76,13,63
1543973848.0,76,13,62
1543974148.0,75,14,61
1543974448.0,76,14,62
1543974748.0,76,14,62
1543975048.0,76,14,62
1543975348.0,75,14,60
1543975648.0,76,14,61
1543975948.0,76,14,61
1543976248.0,76,14,61
1543976548.0,76,14,61
1543976848.0,75,15,60
1543977149.0,76,15,61
1543977449.0,75,15,60
1543977749.0,75,15,60
1543978049.0,75,15,60
1543978349.0,75,15,60
1543978649.0,74,15,59
1543978949.0,75,15,59
1543979249.0,75,15,60
1543979549.0,74,15,59
1543979849.0,75,14,60
1543980149.0,75,14,61
1543980449.0,75,14,61
1543980749.0,76,14,61
1543981049.0,75,14,61
1543981349.0,75,14,61
1543981649.0,75,14,61
1543981949.0,75,14,61
1543982249.0,74,13,60
1543982549.0,74,13,61
1543982849.0,75,13,61
1543983149.0,75,13,62
1543983450.0,75,13,62
1543983750.0,75,12,62
1543984050.0,75,12,62
1543984350.0,75,12,62
1543984650.0,74,12,62
1543984950.0,75,11,63
1543985250.0,75,11,64
1543985550.0,75,11,64
1543985850.0,76,11,65
1543986150.0,75,11,64
1543986450.0,74,11,63
1543986750.0,75,11,64
1543987050.0,75,11,63
1543987350.0,74,11,62
1543987650.0,75,11,63
1543987950.0,74,11,62
1543988250.0,74,12,62
1543988550.0,75,12,63
1543988850.0,75,12,63
1543989150.0,75,12,63
1543989451.0,74,12,62
1543989751.0,75,12,62
1543990051.0,75,12,62
1543990351.0,75,12,62
1543990651.0,74,12,61
1543990951.0,75,12,62
1543991251.0,75,13,62
1543991551.0,76,13,63
1543991851.0,75,13,62
1543992151.0,75,13,61
1543992451.0,75,13,62
1543992751.0,75,13,62
1543993051.0,75,13,62
1543993351.0,75,13,62
1543993651.0,74,13,61
1543993951.0,75,13,62
1543994251.0,75,13,62
1543994551.0,75,12,62
1543994851.0,75,12,62
1543995151.0,75,12,62
1543995451.0,75,12,62
1543995751.0,74,12,62
1543996051.0,74,12,62
1543996352.0,75,11,63
1543996652.0,75,11,63
1543996952.0,75,11,63
1543997252.0,75,11,64
1543997552.0,74,11,63
1543997852.0,75,11,64
1543998152.0,75,11,63
1543998452.0,75,11,64
1543998752.0,75,10,64
1543999052.0,75,10,65
1543999352.0,75,10,64
1543999652.0,75,10,64
1543999952.0,75,10,64
1544000252.0,75,10,65
1544000552.0,75,10,64
1544000852.0,75,10,65
1544001152.0,75,9,66
1544001452.0,75,9,65
1544001752.0,74,9,65
1544002052.0,75,9,65
1544002352.0,75,9,66
1544002652.0,75,9,66
1544002952.0,75,8,66
1544003252.0,76,8,67
1544003552.0,75,8,66
1544003852.0,75,8,67
1544004152.0,75,8,67
1544004452.0,75,8,67
1544004752.0,75,8,67
1544005052.0,75,8,67
1544005352.0,75,8,67
