Stove Type,M441,Latitude,64.87386,Longitude,-147.813,Square Footage,1080,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,F,F,F
1543682551.0,3,128,59.87,17.35,42.52
1543682817.0,4,1327,81.89,17.55,64.34
1543685033.0,2,1330,68.28,18.35,49.93
1543685446.0,3,3458,71.52,18.42,53.1
1543686461.0,4,7792,73.76,18.57,55.19
1543688398.0,2,7795,68.98,19.1,49.88
1543688808.0,3,9912,70.6,19.24,51.36
1543689751.0,4,14157,74.21,19.57,54.64
1543692780.0,2,14158,68.51,19.94,48.57
1543693192.0,3,16262,71.06,19.94,51.12
1543694222.0,4,20897,73.54,19.94,53.6
1543697066.0,2,20900,68.98,19.94,49.04
1543697478.0,3,23004,71.06,19.94,51.12
1543698531.0,4,27745,73.09,19.81,53.28
1543701059.0,2,27746,68.04,19.18,48.86
1543701472.0,3,29872,71.29,19.07,52.22
1543702339.0,4,33777,72.65,18.49,54.16
1543704849.0,2,33830,67.8,16.6,51.2
1543705170.0,3,35494,69.91,16.36,53.55
1543706182.0,4,39816,73.09,16.39,56.7
1543708879.0,2,39990,67.8,16.52,51.28
1543709291.0,3,42113,70.37,16.52,53.85
1543710172.0,4,46081,73.54,16.52,57.02
1543712774.0,2,46084,67.57,16.76,50.81
1543713103.0,4,47796,70.14,16.98,53.16
1543713160.0,3,48050,71.06,17.01,54.05
1543713963.0,4,51664,73.09,17.54,55.55
1543716395.0,2,51667,68.04,18.98,49.06
1543716807.0,3,53771,70.14,19.1,51.04
1543717544.0,4,57089,73.76,19.32,54.44
1543719984.0,2,57092,68.75,20.09,48.66
1543720396.0,3,59216,70.6,20.26,50.34
1543721233.0,4,62984,73.76,20.59,53.17
1543723552.0,2,62988,68.28,21.08,47.2
1543723964.0,3,65113,71.52,20.73,50.79
1543724872.0,4,69198,74.65,19.96,54.69
1543727476.0,2,69199,67.33,18.96,48.37
1543727888.0,3,71323,70.37,19.35,51.02
1543729025.0,4,76439,73.32,20.43,52.89
1543731670.0,2,76444,69.45,22.44,47.01
1543732120.0,3,78780,71.52,22.69,48.83
1543733271.0,4,83962,72.19,23.32,48.87
1543735839.0,2,83963,68.98,27.31,41.67
1543736168.0,4,85674,70.37,27.95,42.42
1543736225.0,3,85928,69.21,28.06,41.15
1543737919.0,4,93556,72.87,30.64,42.23
1543740795.0,2,93561,67.57,29.78,37.79
1543741124.0,4,95270,69.68,29.68,40.0
1543741180.0,3,95524,70.14,29.67,40.47
1543742356.0,4,100818,73.98,29.26,44.72
1543745074.0,2,100822,68.04,28.11,39.93
1543745486.0,3,102926,70.37,27.68,42.69
1543746902.0,4,109301,72.42,26.19,46.23
1543749199.0,2,109305,67.8,23.9,43.9
1543749528.0,4,111013,69.68,23.6,46.08
1543749587.0,3,111279,70.83,23.55,47.28
1543750791.0,4,116698,73.76,22.47,51.29
1543753334.0,2,116811,68.51,19.91,48.6
1543753746.0,3,118922,70.83,19.46,51.37
1543755149.0,4,125236,73.09,17.92,55.17
