Stove Type,M441,Latitude,64.87386,Longitude,-147.813,Square Footage,1080,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Thermistor resistance of the indoor thermistor
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Thermistor resistance (ohms)
1543682551.0,3,128,15351
1543682817.0,4,1327,8887
1543683174.0,-1,-1,11770
1543683474.0,-1,-1,11838
1543683774.0,-1,-1,12115
1543684073.0,-1,-1,12185
1543684373.0,-1,-1,11838
1543684673.0,-1,-1,12401
1543684972.0,-1,-1,12329
1543685033.0,2,1330,12401
1543685389.0,-1,-1,11704
1543685446.0,3,3458,11441
1543685802.0,-1,-1,11126
1543686102.0,-1,-1,11004
1543686402.0,-1,-1,10766
1543686461.0,4,7792,10825
1543686818.0,-1,-1,11506
1543687117.0,-1,-1,11975
1543687418.0,-1,-1,12115
1543687718.0,-1,-1,12115
1543688017.0,-1,-1,12329
1543688317.0,-1,-1,12401
1543688398.0,2,7795,12185
1543688754.0,-1,-1,11838
1543688808.0,3,9912,11704
1543689165.0,-1,-1,10884
1543689465.0,-1,-1,11065
1543689751.0,4,14157,10707
1543690108.0,-1,-1,11377
1543690408.0,-1,-1,11637
1543690707.0,-1,-1,11441
1543691007.0,-1,-1,11770
1543691306.0,-1,-1,11571
1543691606.0,-1,-1,11704
1543691906.0,-1,-1,12185
1543692205.0,-1,-1,12115
1543692505.0,-1,-1,12699
1543692780.0,2,14158,12329
1543693136.0,-1,-1,11770
1543693192.0,3,16262,11571
1543693549.0,-1,-1,11377
1543693849.0,-1,-1,11065
1543694149.0,-1,-1,10944
1543694222.0,4,20897,10884
1543694579.0,-1,-1,11188
1543694878.0,-1,-1,11314
1543695178.0,-1,-1,11770
1543695477.0,-1,-1,11441
1543695777.0,-1,-1,11770
1543696077.0,-1,-1,11704
1543696376.0,-1,-1,12185
1543696676.0,-1,-1,12699
1543696976.0,-1,-1,12475
1543697066.0,2,20900,12185
1543697422.0,-1,-1,11906
1543697478.0,3,23004,11571
1543697837.0,-1,-1,11637
1543698137.0,-1,-1,11251
1543698437.0,-1,-1,10592
1543698531.0,4,27745,11004
1543698888.0,-1,-1,11188
1543699187.0,-1,-1,11441
1543699487.0,-1,-1,11637
1543699787.0,-1,-1,11906
1543700086.0,-1,-1,11637
1543700386.0,-1,-1,11906
1543700686.0,-1,-1,12257
1543700985.0,-1,-1,12185
1543701059.0,2,27746,12475
1543701415.0,-1,-1,11704
1543701472.0,3,29872,11506
1543701828.0,-1,-1,11251
1543702128.0,-1,-1,11188
1543702339.0,4,33777,11126
1543702696.0,-1,-1,11377
1543702995.0,-1,-1,11571
1543703295.0,-1,-1,11704
1543703594.0,-1,-1,12115
1543703894.0,-1,-1,11975
1543704194.0,-1,-1,12115
1543704493.0,-1,-1,12401
1543704793.0,-1,-1,12401
1543704849.0,2,33830,12549
1543705170.0,3,35494,11906
1543705526.0,-1,-1,11441
1543705826.0,-1,-1,11065
1543706126.0,-1,-1,11004
1543706182.0,4,39816,11004
1543706539.0,-1,-1,11637
1543706838.0,-1,-1,11571
1543707138.0,-1,-1,11704
1543707438.0,-1,-1,12115
1543707738.0,-1,-1,11975
1543708038.0,-1,-1,12185
1543708337.0,-1,-1,12257
1543708637.0,-1,-1,12401
1543708879.0,2,39990,12549
1543709235.0,-1,-1,11704
1543709291.0,3,42113,11770
1543709647.0,-1,-1,11314
1543709947.0,-1,-1,11314
1543710172.0,4,46081,10884
1543710529.0,-1,-1,11188
1543710829.0,-1,-1,11571
1543711129.0,-1,-1,11637
1543711428.0,-1,-1,11770
1543711728.0,-1,-1,11975
1543712027.0,-1,-1,12257
1543712327.0,-1,-1,12475
1543712626.0,-1,-1,12475
1543712774.0,2,46084,12624
1543713103.0,4,47796,11838
1543713160.0,3,48050,11571
1543713517.0,-1,-1,11004
1543713817.0,-1,-1,11126
1543713963.0,4,51664,11004
1543714319.0,-1,-1,11441
1543714619.0,-1,-1,11441
1543714918.0,-1,-1,12115
1543715218.0,-1,-1,11770
1543715518.0,-1,-1,12185
1543715817.0,-1,-1,12257
1543716117.0,-1,-1,12475
1543716395.0,2,51667,12475
1543716751.0,-1,-1,11377
1543716807.0,3,53771,11838
1543717164.0,-1,-1,11188
1543717464.0,-1,-1,10825
1543717544.0,4,57089,10825
1543717901.0,-1,-1,11377
1543718200.0,-1,-1,12045
1543718500.0,-1,-1,12045
1543718799.0,-1,-1,12045
1543719099.0,-1,-1,12185
1543719399.0,-1,-1,12185
1543719698.0,-1,-1,12549
1543719984.0,2,57092,12257
1543720340.0,-1,-1,11838
1543720396.0,3,59216,11704
1543720753.0,-1,-1,10944
1543721052.0,-1,-1,11065
1543721233.0,4,62984,10825
1543721590.0,-1,-1,11571
1543721889.0,-1,-1,11838
1543722188.0,-1,-1,11906
1543722488.0,-1,-1,12329
1543722788.0,-1,-1,12329
1543723087.0,-1,-1,12401
1543723388.0,-1,-1,12329
1543723552.0,2,62988,12401
1543723908.0,-1,-1,11906
1543723964.0,3,65113,11441
1543724320.0,-1,-1,11188
1543724620.0,-1,-1,11314
1543724872.0,4,69198,10592
1543725228.0,-1,-1,11188
1543725528.0,-1,-1,11770
1543725827.0,-1,-1,12115
1543726127.0,-1,-1,12115
1543726427.0,-1,-1,12401
1543726726.0,-1,-1,12045
1543727026.0,-1,-1,12045
1543727325.0,-1,-1,12624
1543727476.0,2,69199,12699
1543727832.0,-1,-1,11571
1543727888.0,3,71323,11770
1543728245.0,-1,-1,11441
1543728545.0,-1,-1,11441
1543728845.0,-1,-1,10825
1543729025.0,4,76439,10944
1543729382.0,-1,-1,11188
1543729681.0,-1,-1,11838
1543729981.0,-1,-1,11838
1543730280.0,-1,-1,12045
1543730580.0,-1,-1,11906
1543730879.0,-1,-1,12257
1543731179.0,-1,-1,12475
1543731478.0,-1,-1,12045
1543731670.0,2,76444,12045
1543732026.0,-1,-1,11637
1543732120.0,3,78780,11441
1543732477.0,-1,-1,11188
1543732777.0,-1,-1,11004
1543733076.0,-1,-1,11251
1543733271.0,4,83962,11251
1543733628.0,-1,-1,11314
1543733927.0,-1,-1,11571
1543734228.0,-1,-1,11770
1543734527.0,-1,-1,11975
1543734827.0,-1,-1,11838
1543735127.0,-1,-1,12045
1543735426.0,-1,-1,12475
1543735726.0,-1,-1,12329
1543735839.0,2,83963,12185
1543736168.0,4,85674,11770
1543736225.0,3,85928,12115
1543736581.0,-1,-1,11065
1543736881.0,-1,-1,11004
1543737181.0,-1,-1,10884
1543737481.0,-1,-1,10944
1543737781.0,-1,-1,11004
1543737919.0,4,93556,11065
1543738276.0,-1,-1,11188
1543738576.0,-1,-1,11314
1543738875.0,-1,-1,11251
1543739175.0,-1,-1,11188
1543739475.0,-1,-1,11637
1543739775.0,-1,-1,12257
1543740075.0,-1,-1,12185
1543740374.0,-1,-1,12257
1543740674.0,-1,-1,12329
1543740795.0,2,93561,12624
1543741124.0,4,95270,11975
1543741180.0,3,95524,11838
1543741540.0,-1,-1,11770
1543741840.0,-1,-1,11126
1543742140.0,-1,-1,11004
1543742356.0,4,100818,10766
1543742713.0,-1,-1,11126
1543743013.0,-1,-1,11770
1543743312.0,-1,-1,11441
1543743612.0,-1,-1,11704
1543743911.0,-1,-1,11975
1543744211.0,-1,-1,11975
1543744511.0,-1,-1,12185
1543744810.0,-1,-1,12115
1543745074.0,2,100822,12475
1543745430.0,-1,-1,12045
1543745486.0,3,102926,11770
1543745843.0,-1,-1,11441
1543746143.0,-1,-1,11065
1543746443.0,-1,-1,11126
1543746743.0,-1,-1,10766
1543746902.0,4,109301,11188
1543747259.0,-1,-1,11004
1543747559.0,-1,-1,11571
1543747858.0,-1,-1,11770
1543748158.0,-1,-1,11975
1543748457.0,-1,-1,12475
1543748757.0,-1,-1,12401
1543749057.0,-1,-1,12475
1543749199.0,2,109305,12549
1543749528.0,4,111013,11975
1543749587.0,3,111279,11637
