Stove Type,M422,Latitude,64.87386,Longitude,-147.813,Square Footage,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Thermistor resistance of the indoor thermistor
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Thermistor resistance (ohms)
1543681895.0,4,0,10944
1543682250.0,-1,-1,12115
1543682341.0,2,0,12475
1543682696.0,-1,-1,10257
1543682754.0,3,3674,10479
1543683108.0,-1,-1,9990
1543683409.0,-1,-1,9990
1543683709.0,-1,-1,10825
1543684009.0,-1,-1,11251
1543684310.0,-1,-1,10096
1543684610.0,-1,-1,9938
1543684910.0,-1,-1,10367
1543685211.0,-1,-1,11126
1543685511.0,-1,-1,10312
1543685812.0,-1,-1,10423
1543686112.0,-1,-1,10825
1543686412.0,-1,-1,10592
1543686712.0,-1,-1,10367
1543687013.0,-1,-1,9439
1543687150.0,4,36015,10766
1543687507.0,-1,-1,10592
1543687808.0,-1,-1,10367
1543688108.0,-1,-1,10884
1543688406.0,2,36016,10766
1543688736.0,3,39029,11441
1543692407.0,4,62056,11506
1543692764.0,-1,-1,11314
1543693065.0,-1,-1,11571
1543693351.0,2,62056,10766
1543693707.0,-1,-1,10312
1543693771.0,3,65892,11314
1543694128.0,-1,-1,9938
1543694428.0,-1,-1,10149
1543694728.0,-1,-1,11377
1543695029.0,-1,-1,9536
1543695329.0,-1,-1,10096
1543695629.0,-1,-1,9835
1543695929.0,-1,-1,10257
1543696184.0,4,83641,10479
1543696541.0,-1,-1,10203
1543696842.0,-1,-1,11770
1543697142.0,-1,-1,11571
1543697442.0,-1,-1,11314
1543697602.0,2,83641,10884
1543697932.0,4,86652,11251
1543697988.0,3,87069,10312
1543698345.0,-1,-1,10367
1543698645.0,-1,-1,10944
1543698945.0,-1,-1,10535
1543699246.0,-1,-1,10423
1543699546.0,-1,-1,9634
1543699846.0,-1,-1,9634
1543700031.0,4,102095,9684
1543700386.0,-1,-1,11126
1543700687.0,-1,-1,11065
1543700987.0,-1,-1,11506
1543701287.0,-1,-1,11188
1543701384.0,2,102098,10592
1543701740.0,-1,-1,11441
1543701796.0,3,105822,10479
1543702153.0,-1,-1,10423
1543702453.0,-1,-1,10423
1543702753.0,-1,-1,9835
1543703053.0,-1,-1,10096
1543703354.0,-1,-1,10096
1543703654.0,-1,-1,10312
1543703809.0,4,120625,10312
1543704166.0,-1,-1,11704
1543704466.0,-1,-1,11441
1543704766.0,-1,-1,10766
1543705067.0,-1,-1,11188
1543705204.0,2,120626,11506
1543705560.0,-1,-1,10944
1543705624.0,4,124459,11065
1543705680.0,3,124875,10312
1543706037.0,-1,-1,9536
1543706337.0,-1,-1,9684
1543706637.0,-1,-1,10312
1543706937.0,-1,-1,9684
1543707237.0,-1,-1,9487
1543707537.0,-1,-1,9938
1543707757.0,4,140154,10650
1543708115.0,-1,-1,10592
1543708415.0,-1,-1,11314
1543708715.0,-1,-1,10592
1543709015.0,-1,-1,11126
1543709231.0,2,140156,11506
1543709587.0,-1,-1,11314
1543709651.0,3,143991,11838
1543710009.0,-1,-1,10944
1543710309.0,-1,-1,10043
1543710609.0,-1,-1,10043
1543710909.0,-1,-1,10203
1543711123.0,4,154818,10096
1543711480.0,-1,-1,10707
1543711780.0,-1,-1,10707
1543712080.0,-1,-1,11975
1543712380.0,-1,-1,10766
1543712543.0,2,154820,11188
1543712873.0,3,157832,11506
1543713229.0,-1,-1,10203
1543713530.0,-1,-1,11004
1543713830.0,-1,-1,9887
1543714130.0,-1,-1,10149
1543714399.0,4,169060,9835
1543714756.0,-1,-1,10650
1543715056.0,-1,-1,10825
1543715357.0,-1,-1,11838
1543715657.0,-1,-1,11704
1543715850.0,2,169061,11251
1543716207.0,-1,-1,11004
1543716270.0,3,172894,10423
1543716628.0,-1,-1,10825
1543716929.0,-1,-1,10423
1543717229.0,-1,-1,10257
1543717529.0,-1,-1,11314
1543717754.0,4,183806,9990
1543718111.0,-1,-1,11571
1543718411.0,-1,-1,11506
1543718711.0,-1,-1,10650
1543719011.0,-1,-1,11975
1543719236.0,2,183808,11126
1543719592.0,-1,-1,10766
1543719716.0,4,188189,10650
1543719775.0,3,188621,10312
1543720131.0,-1,-1,9684
1543720431.0,-1,-1,10650
1543720731.0,-1,-1,9835
1543721031.0,-1,-1,9391
1543721087.0,4,198123,10367
1543721445.0,-1,-1,10312
1543721745.0,-1,-1,10423
1543722045.0,-1,-1,10944
1543722345.0,-1,-1,12115
1543722485.0,2,198123,11975
1543722815.0,3,201135,11975
1543723171.0,-1,-1,12045
1543723471.0,-1,-1,11126
1543723771.0,-1,-1,10766
1543724072.0,-1,-1,10257
1543724372.0,-1,-1,10707
1543724672.0,-1,-1,9536
1543724728.0,4,214927,9938
1543725085.0,-1,-1,10766
1543725385.0,-1,-1,11377
1543725685.0,-1,-1,11506
1543725985.0,-1,-1,11126
1543726117.0,2,214927,11506
1543726473.0,-1,-1,10650
1543726529.0,3,218599,10825
1543726888.0,-1,-1,10707
1543727188.0,-1,-1,10650
1543727488.0,-1,-1,11770
1543727788.0,-1,-1,9684
1543728089.0,-1,-1,10312
1543728389.0,-1,-1,10479
1543728592.0,4,233773,11251
1543728949.0,-1,-1,10257
1543729249.0,-1,-1,12475
1543729549.0,-1,-1,10944
1543729850.0,-1,-1,12185
1543730010.0,2,233773,11506
1543730341.0,3,236786,11251
1543730697.0,-1,-1,9887
1543730997.0,-1,-1,9684
1543731298.0,-1,-1,10479
1543731598.0,-1,-1,10367
1543731898.0,-1,-1,11004
1543732199.0,-1,-1,11004
1543732499.0,-1,-1,9734
1543732733.0,4,254387,10312
1543733093.0,-1,-1,10825
1543733393.0,-1,-1,10096
1543733693.0,-1,-1,11065
1543733993.0,-1,-1,11506
1543734179.0,2,254388,11314
1543734509.0,4,257398,10650
1543734566.0,3,257816,10592
1543734922.0,-1,-1,10707
1543735222.0,-1,-1,10707
1543735522.0,-1,-1,10367
1543735822.0,-1,-1,9734
1543736123.0,-1,-1,10707
1543736423.0,-1,-1,10535
1543736723.0,-1,-1,10423
1543736779.0,4,273974,10203
1543737137.0,-1,-1,11251
1543737437.0,-1,-1,11838
1543737738.0,-1,-1,11704
1543738038.0,-1,-1,11506
1543738175.0,2,273974,11506
1543738531.0,-1,-1,11251
1543738588.0,3,277646,10825
1543738944.0,-1,-1,10766
1543739245.0,-1,-1,11188
1543739545.0,-1,-1,10043
1543739845.0,-1,-1,10479
1543739906.0,4,287345,9734
1543740263.0,-1,-1,11126
1543740564.0,-1,-1,11441
1543740865.0,-1,-1,12475
1543741081.0,2,287347,10766
1543741411.0,4,290359,11637
1543741468.0,3,290777,10707
1543741824.0,-1,-1,10707
1543742125.0,-1,-1,11188
1543742425.0,-1,-1,9887
1543742725.0,-1,-1,9887
1543743025.0,-1,-1,9938
1543743326.0,-1,-1,9990
1543743626.0,-1,-1,10825
1543743926.0,-1,-1,10096
1543744226.0,-1,-1,10203
1543744331.0,4,311842,10825
1543744689.0,-1,-1,10650
1543744989.0,-1,-1,10707
1543745290.0,-1,-1,11441
1543745433.0,2,311843,11838
1543745789.0,-1,-1,10825
1543745883.0,3,315951,10203
1543746237.0,-1,-1,10825
1543746538.0,-1,-1,10707
1543746838.0,-1,-1,9938
1543747138.0,-1,-1,10423
1543747438.0,-1,-1,10650
1543747739.0,-1,-1,10650
1543747817.0,4,330182,9784
1543748175.0,-1,-1,10592
1543748475.0,-1,-1,11126
1543748775.0,-1,-1,11377
1543748946.0,2,330183,11571
1543749303.0,-1,-1,11188
1543749359.0,3,333860,10650
1543749716.0,-1,-1,10203
1543750016.0,-1,-1,10367
1543750316.0,-1,-1,9887
1543750616.0,-1,-1,10423
1543750916.0,-1,-1,10707
1543751216.0,-1,-1,11065
1543751516.0,-1,-1,10367
1543751816.0,-1,-1,10766
1543752116.0,-1,-1,9990
1543752417.0,-1,-1,10257
1543752512.0,4,357056,10650
1543752868.0,-1,-1,11251
1543753168.0,-1,-1,11065
1543753469.0,-1,-1,10884
1543753725.0,2,357060,11126
1543754055.0,3,360072,10312
1543754409.0,-1,-1,10825
1543754709.0,-1,-1,10650
1543755010.0,-1,-1,9887
1543755310.0,-1,-1,10149
1543755610.0,-1,-1,9634
1543755773.0,4,372716,10944
1543756129.0,-1,-1,11188
1543756429.0,-1,-1,11441
1543756729.0,-1,-1,10944
1543756928.0,2,372717,11704
1543757283.0,-1,-1,10650
1543757339.0,3,376375,10312
1543757695.0,-1,-1,10312
1543757995.0,-1,-1,10944
1543758296.0,-1,-1,11571
1543758596.0,-1,-1,11251
1543758896.0,-1,-1,10367
1543759141.0,4,389631,10884
1543759496.0,-1,-1,10650
1543759797.0,-1,-1,11377
1543760097.0,-1,-1,11314
1543760383.0,2,389633,11188
1543760740.0,-1,-1,10766
1543760794.0,3,393293,11770
1543761148.0,-1,-1,10203
1543761448.0,-1,-1,10479
1543761748.0,-1,-1,9536
1543762049.0,-1,-1,10650
1543762349.0,-1,-1,9734
1543762649.0,-1,-1,10825
1543762950.0,-1,-1,10766
1543763250.0,-1,-1,9938
1543763550.0,-1,-1,10766
1543763850.0,-1,-1,10043
1543763906.0,4,415989,10479
1543764262.0,-1,-1,11126
1543764562.0,-1,-1,11377
1543764863.0,-1,-1,11314
1543765089.0,2,415989,11188
1543765443.0,-1,-1,11770
1543765498.0,3,419634,11188
1543765852.0,-1,-1,9634
1543766153.0,-1,-1,10707
1543766453.0,-1,-1,10592
1543766753.0,-1,-1,10650
1543767053.0,-1,-1,10257
1543767353.0,-1,-1,9990
1543767653.0,-1,-1,10257
1543767707.0,4,435706,9990
1543768063.0,-1,-1,11571
1543768364.0,-1,-1,10766
1543768664.0,-1,-1,10825
