Stove type: M422,,Latitude of the PUMA device location,[64.87386],Longitude of the PUMA device location,[-147.813],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543681895.0,4,0,0,0.0,0.0,73.32,16.86,56.46
1543682250.0,-1,-1,0,0.0,0.0,69.21,17.13,52.08
1543682341.0,2,0,0,0.0,0.0,68.04,17.2,50.84
1543682696.0,-1,-1,0,0.0,0.0,75.96,17.46,58.5
1543682754.0,3,3674,3674,0.01600027,0.9931202068965517,75.08,17.51,57.57
1543683108.0,-1,-1,0,0.0,0.0,77.04,17.77,59.27
1543683409.0,-1,-1,0,0.0,0.0,77.04,18.0,59.04
1543683709.0,-1,-1,0,0.0,0.0,73.76,18.16,55.6
1543684009.0,-1,-1,0,0.0,0.0,72.19,18.2,53.99
1543684310.0,-1,-1,0,0.0,0.0,76.61,18.25,58.36
1543684610.0,-1,-1,0,0.0,0.0,77.26,18.29,58.97
1543684910.0,-1,-1,0,0.0,0.0,75.52,18.34,57.18
1543685211.0,-1,-1,0,0.0,0.0,72.65,18.38,54.27
1543685511.0,-1,-1,0,0.0,0.0,75.74,18.43,57.31
1543685812.0,-1,-1,0,0.0,0.0,75.3,18.47,56.83
1543686112.0,-1,-1,0,0.0,0.0,73.76,18.52,55.24
1543686412.0,-1,-1,0,0.0,0.0,74.65,18.56,56.09
1543686712.0,-1,-1,0,0.0,0.0,75.52,18.61,56.91
1543687013.0,-1,-1,0,0.0,0.0,79.39,18.65,60.74
1543687150.0,4,36015,32341,0.140845055,3.701037941605839,73.98,18.67,55.31
1543687507.0,-1,-1,0,0.0,0.0,74.65,18.79,55.86
1543687808.0,-1,-1,0,0.0,0.0,75.52,18.89,56.63
1543688108.0,-1,-1,0,0.0,0.0,73.54,19.0,54.54
1543688406.0,2,36016,1,4.355e-06,5.2610738255033555e-05,73.98,19.1,54.88
1543688736.0,3,39029,3013,0.013121615,0.1431448909090909,71.52,19.22,52.3
1543692407.0,4,62056,23027,0.100282585,0.09834304167801688,71.29,19.94,51.35
1543692764.0,-1,-1,0,0.0,0.0,71.97,19.94,52.03
1543693065.0,-1,-1,0,0.0,0.0,71.06,19.94,51.12
1543693351.0,2,62056,0,0.0,0.0,73.98,19.94,54.04
1543693707.0,-1,-1,0,0.0,0.0,75.74,19.94,55.8
1543693771.0,3,65892,3836,0.01670578,0.939700125,71.97,19.94,52.03
1543694128.0,-1,-1,0,0.0,0.0,77.26,19.94,57.32
1543694428.0,-1,-1,0,0.0,0.0,76.4,19.94,56.46
1543694728.0,-1,-1,0,0.0,0.0,71.74,19.94,51.8
1543695029.0,-1,-1,0,0.0,0.0,78.96,19.94,59.02
1543695329.0,-1,-1,0,0.0,0.0,76.61,19.94,56.67
1543695629.0,-1,-1,0,0.0,0.0,77.69,19.94,57.75
1543695929.0,-1,-1,0,0.0,0.0,75.96,19.94,56.02
1543696184.0,4,83641,17749,0.07729689499999999,1.091250282352941,75.08,19.94,55.14
1543696541.0,-1,-1,0,0.0,0.0,76.18,19.94,56.24
1543696842.0,-1,-1,0,0.0,0.0,70.37,19.94,50.43
1543697142.0,-1,-1,0,0.0,0.0,71.06,19.94,51.12
1543697442.0,-1,-1,0,0.0,0.0,71.97,19.94,52.03
1543697602.0,2,83641,0,0.0,0.0,73.54,19.94,53.6
1543697932.0,4,86652,3011,0.013112905,0.14304987272727274,72.19,19.94,52.25
1543697988.0,3,87069,417,0.001816035,0.11674510714285713,75.74,19.94,55.8
1543698345.0,-1,-1,0,0.0,0.0,75.52,19.85,55.67
1543698645.0,-1,-1,0,0.0,0.0,73.32,19.78,53.54
1543698945.0,-1,-1,0,0.0,0.0,74.87,19.7,55.17
1543699246.0,-1,-1,0,0.0,0.0,75.3,19.63,55.67
1543699546.0,-1,-1,0,0.0,0.0,78.54,19.55,58.99
1543699846.0,-1,-1,0,0.0,0.0,78.54,19.48,59.06
1543700031.0,4,102095,15026,0.06543823,1.2733925837837836,78.33,19.43,58.9
1543700386.0,-1,-1,0,0.0,0.0,72.65,19.34,53.31
1543700687.0,-1,-1,0,0.0,0.0,72.87,19.27,53.6
1543700987.0,-1,-1,0,0.0,0.0,71.29,19.19,52.1
1543701287.0,-1,-1,0,0.0,0.0,72.42,19.12,53.3
1543701384.0,2,102098,3,1.3065e-05,0.0004848865979381443,74.65,19.09,55.56
1543701740.0,-1,-1,0,0.0,0.0,71.52,18.93,52.59
1543701796.0,3,105822,3724,0.01621802,1.042587,75.08,18.89,56.19
1543702153.0,-1,-1,0,0.0,0.0,75.3,18.63,56.67
1543702453.0,-1,-1,0,0.0,0.0,75.3,18.4,56.9
1543702753.0,-1,-1,0,0.0,0.0,77.69,18.18,59.51
1543703053.0,-1,-1,0,0.0,0.0,76.61,17.95,58.66
1543703354.0,-1,-1,0,0.0,0.0,76.61,17.72,58.89
1543703654.0,-1,-1,0,0.0,0.0,75.74,17.5,58.24
1543703809.0,4,120625,14803,0.064467065,1.4972995741935484,75.74,17.38,58.36
1543704166.0,-1,-1,0,0.0,0.0,70.6,17.12,53.48
1543704466.0,-1,-1,0,0.0,0.0,71.52,16.89,54.63
1543704766.0,-1,-1,0,0.0,0.0,73.98,16.67,57.31
1543705067.0,-1,-1,0,0.0,0.0,72.42,16.44,55.98
1543705204.0,2,120626,1,4.355e-06,0.00011443795620437957,71.29,16.34,54.95
1543705560.0,-1,-1,0,0.0,0.0,73.32,16.36,56.96
1543705624.0,4,124459,3833,0.016692715,0.93896521875,72.87,16.36,56.51
1543705680.0,3,124875,416,0.00181168,0.11646514285714286,75.74,16.36,59.38
1543706037.0,-1,-1,0,0.0,0.0,78.96,16.38,62.58
1543706337.0,-1,-1,0,0.0,0.0,78.33,16.4,61.93
1543706637.0,-1,-1,0,0.0,0.0,75.74,16.41,59.33
1543706937.0,-1,-1,0,0.0,0.0,78.33,16.43,61.9
1543707237.0,-1,-1,0,0.0,0.0,79.18,16.44,62.74
1543707537.0,-1,-1,0,0.0,0.0,77.26,16.46,60.8
1543707757.0,4,140154,15279,0.06654004499999999,1.0888371,74.42,16.47,57.95
1543708115.0,-1,-1,0,0.0,0.0,74.65,16.49,58.16
1543708415.0,-1,-1,0,0.0,0.0,71.97,16.5,55.47
1543708715.0,-1,-1,0,0.0,0.0,74.65,16.52,58.13
1543709015.0,-1,-1,0,0.0,0.0,72.65,16.52,56.13
1543709231.0,2,140156,2,8.71e-06,0.00014516666666666665,71.29,16.52,54.77
1543709587.0,-1,-1,0,0.0,0.0,71.97,16.52,55.45
1543709651.0,3,143991,3835,0.016701425,0.93945515625,70.14,16.52,53.62
1543710009.0,-1,-1,0,0.0,0.0,73.32,16.52,56.8
1543710309.0,-1,-1,0,0.0,0.0,76.83,16.52,60.31
1543710609.0,-1,-1,0,0.0,0.0,76.83,16.52,60.31
1543710909.0,-1,-1,0,0.0,0.0,76.18,16.52,59.66
1543711123.0,4,154818,10827,0.047151584999999996,0.7932042336448597,76.61,16.52,60.09
1543711480.0,-1,-1,0,0.0,0.0,74.21,16.52,57.69
1543711780.0,-1,-1,0,0.0,0.0,74.21,16.52,57.69
1543712080.0,-1,-1,0,0.0,0.0,69.68,16.52,53.16
1543712380.0,-1,-1,0,0.0,0.0,73.98,16.52,57.46
