Stove Type,Laser 530,Latitude,64.78939,Longitude,-148.07,Square Footage,512,
Timestamp of the clicks per interval,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,State of the stove per interval of clicks,Indoor temperature per interval,Outdoor temperature per interval,Temperature difference per interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Number of clicks,Integer units corresponding to power states; -1 indicates powered off,F,F,F,US gallons,US gallons per hour
1543861351.5,8,1,75.41,23.585,51.825,2.3256e-05,5.916720848056537e-05
1543862218.0,2587,2,75.735,23.495,52.24,0.007520409,0.08513670566037736
1543862535.0,1996,4,77.795,23.465,54.33,0.005802372,0.06610297215189873
1543863362.0,8,1,76.6,23.435,53.165,2.3256e-05,6.257219730941704e-05
1543864189.5,2579,4,75.85,23.445,52.405,0.0074971529999999995,0.08514116971608832
1543864376.5,357,2,76.935,23.475,53.46,0.001037799,0.0655452
1543864555.5,1900,4,77.79,23.505,54.285,0.0055233,0.06605940199335548
1543865340.5,14,1,76.595,23.625,52.97,4.0697999999999996e-05,0.00011545531914893615
1543866133.0,2573,4,75.525,23.74,51.785,0.007479711,0.08521189746835443
1543866319.5,357,2,76.72,23.765,52.955,0.001037799,0.0655452
1543866563.0,2607,4,77.365,23.805,53.56,0.0075785489999999995,0.06344831720930233
1543867284.5,268,1,76.17,23.945,52.225,0.000779076,0.0027686807502467917
1543867934.0,2277,4,75.415,24.085,51.33,0.006619239,0.0833190923076923
1543868112.5,446,2,76.395,24.13,52.265,0.001296522,0.06573914366197184
1543868368.0,2690,4,77.255,24.195,53.06,0.00781983,0.06398042727272728
1543869109.5,0,1,76.055,24.38,51.675,0.0,0.0
1543869788.5,2558,2,75.52,24.55,50.97,0.007436106,0.08498406857142857
1543870302.0,4233,4,77.47,24.675,52.795,0.012305331,0.062217965730337076
1543871169.5,406,1,76.045,24.825,51.22,0.001180242,0.004153344281524926
1543871816.0,2151,2,75.295,24.905,50.39,0.006252957,0.08337276
1543872178.5,2869,4,77.15,24.94,52.21,0.008340183,0.06598826109890109
1543872919.5,221,1,76.17,25.01,51.16,0.000642447,0.0022520050632911393
1543873579.5,2334,4,75.305,25.075,50.23,0.006784938,0.08336442593856655
1543873754.0,356,2,76.395,25.095,51.3,0.001034892,0.06652877142857143
1543874086.5,3840,4,77.365,25.13,52.235,0.01116288,0.06598746798029557
1543874860.0,2,1,76.055,25.185,50.87,5.814e-06,2.2313859275053303e-05
1543875486.0,2550,4,75.305,25.215,50.09,0.0074128499999999995,0.0849880891719745
1543875678.5,446,2,76.615,25.225,51.39,0.001296522,0.06573914366197184
1543876096.0,4820,4,77.26,25.245,52.015,0.01401174,0.0660239057591623
1543876922.0,0,1,76.055,25.285,50.77,0.0,0.0
1543877522.5,2531,4,75.515,25.315,50.2,0.0073576169999999995,0.08462434888178913
1543877707.0,357,2,76.72,25.325,51.395,0.001037799,0.06671565
1543878138.5,5087,4,77.47,25.36,52.11,0.014787909,0.06596836728624536
1543879000.5,5,1,76.045,25.44,50.605,1.4534999999999999e-05,5.706215921483097e-05
1543879616.0,2542,2,75.08,25.505,49.575,0.007389593999999999,0.08472145987261145
