Stove Type,Laser 530,Latitude,64.78939,Longitude,-148.07,Square Footage,512,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Thermistor resistance of the indoor thermistor
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Thermistor resistance (ohms)
1543860644.0,4,1196,10096
1543861000.0,-1,-1,9487
1543861300.0,-1,-1,10149
1543861600.0,-1,-1,10592
1543861900.0,-1,-1,10592
1543862059.0,1,1204,10707
1543862377.0,2,3791,9938
1543862693.0,4,5787,9684
1543863050.0,-1,-1,10096
1543863350.0,-1,-1,10423
1543863649.0,-1,-1,10423
1543863949.0,-1,-1,10650
1543864031.0,1,5795,10535
1543864348.0,4,8374,10043
1543864405.0,2,8731,9990
1543864706.0,4,10631,9634
1543865091.0,-1,-1,10203
1543865390.0,-1,-1,10367
1543865690.0,-1,-1,10592
1543865975.0,1,10645,10592
1543866291.0,4,13218,10149
1543866348.0,2,13575,9990
1543866704.0,-1,-1,9887
1543866778.0,4,16182,9835
1543867135.0,-1,-1,10203
1543867435.0,-1,-1,10423
1543867734.0,-1,-1,10707
1543867791.0,1,16450,10592
1543868077.0,4,18727,10203
1543868148.0,2,19173,10096
1543868532.0,-1,-1,9784
1543868588.0,4,21863,9784
1543868945.0,-1,-1,10096
1543869244.0,-1,-1,10423
1543869544.0,-1,-1,10535
1543869631.0,1,21863,10707
1543869946.0,2,24421,10043
1543870302.0,-1,-1,9835
1543870602.0,-1,-1,9784
1543870658.0,4,28654,9734
1543871015.0,-1,-1,10043
1543871314.0,-1,-1,10423
1543871614.0,-1,-1,10766
1543871681.0,1,29060,10766
1543871951.0,2,31211,10096
1543872307.0,-1,-1,9734
1543872406.0,4,34080,9835
1543872777.0,-1,-1,10096
1543873076.0,-1,-1,10479
1543873376.0,-1,-1,10650
1543873433.0,1,34301,10592
1543873726.0,4,36635,10257
1543873782.0,2,36991,10043
1543874138.0,-1,-1,9990
1543874391.0,4,40831,9784
1543874748.0,-1,-1,10257
1543875047.0,-1,-1,10479
1543875329.0,1,40833,10707
1543875643.0,4,43383,10149
1543875714.0,2,43829,10043
1543876050.0,-1,-1,9887
1543876349.0,-1,-1,9887
1543876478.0,4,48649,9835
1543876835.0,-1,-1,10312
1543877135.0,-1,-1,10479
1543877366.0,1,48649,10650
1543877679.0,4,51180,10096
1543877735.0,2,51537,10043
1543878106.0,-1,-1,9938
1543878406.0,-1,-1,9835
1543878542.0,4,56624,9734
1543878898.0,-1,-1,10043
