Stove Type,Laser 530,Latitude,64.78939,Longitude,-148.07,Square Footage,512,
Timestamp of each PUMA device reading,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",F,F,F
1543860644.0,76,23,52
1543861000.0,79,23,55
1543861300.0,76,23,52
1543861600.0,74,23,51
1543861900.0,74,23,51
1543862059.0,74,23,50
1543862377.0,77,23,53
1543862693.0,78,23,54
1543863050.0,76,23,53
1543863350.0,75,23,51
1543863649.0,75,23,51
1543863949.0,74,23,51
1543864031.0,74,23,51
1543864348.0,76,23,53
1543864405.0,77,23,53
1543864706.0,78,23,55
1543865091.0,76,23,52
1543865390.0,75,23,51
1543865690.0,74,23,50
1543865975.0,74,23,50
1543866291.0,76,23,52
1543866348.0,77,23,53
1543866704.0,77,23,53
1543866778.0,77,23,53
1543867135.0,76,23,52
1543867435.0,75,23,51
1543867734.0,74,24,50
1543867791.0,74,24,50
1543868077.0,76,24,52
1543868148.0,76,24,52
1543868532.0,77,24,53
1543868588.0,77,24,53
1543868945.0,76,24,52
1543869244.0,75,24,50
1543869544.0,74,24,50
1543869631.0,74,24,49
1543869946.0,76,24,52
1543870302.0,77,24,53
1543870602.0,77,24,53
1543870658.0,78,24,53
1543871015.0,76,24,52
1543871314.0,75,24,50
1543871614.0,73,24,49
1543871681.0,73,24,49
1543871951.0,76,24,51
1543872307.0,78,24,53
1543872406.0,77,24,52
1543872777.0,76,25,51
1543873076.0,75,25,50
1543873376.0,74,25,49
1543873433.0,74,25,49
1543873726.0,75,25,50
1543873782.0,76,25,51
1543874138.0,77,25,51
1543874391.0,77,25,52
1543874748.0,75,25,50
1543875047.0,75,25,49
1543875329.0,74,25,49
1543875643.0,76,25,51
1543875714.0,76,25,51
1543876050.0,77,25,52
1543876349.0,77,25,52
1543876478.0,77,25,52
1543876835.0,75,25,50
1543877135.0,75,25,49
1543877366.0,74,25,49
1543877679.0,76,25,51
1543877735.0,76,25,51
1543878106.0,77,25,51
1543878406.0,77,25,52
1543878542.0,78,25,52
1543878898.0,76,25,51
1543879198.0,74,25,49
1543879459.0,73,25,48
1543879773.0,76,25,50
1543880129.0,76,25,51
1543880429.0,77,25,52
1543880730.0,77,25,52
1543880876.0,77,25,52
1543881233.0,76,25,50
1543881532.0,74,25,49
1543881806.0,73,25,48
1543882119.0,76,25,50
1543882175.0,76,25,51
1543882531.0,77,25,52
1543882831.0,77,25,52
1543883095.0,78,25,52
1543883452.0,76,25,51
1543883751.0,74,25,49
1543883964.0,74,25,49
1543884277.0,76,25,51
1543884334.0,76,25,51
1543884690.0,77,25,51
1543884990.0,77,25,52
1543885290.0,77,24,52
1543885466.0,77,25,52
1543885847.0,75,25,50
1543886146.0,75,25,50
