Stove Type,Laser 530,Latitude,64.8388,Longitude,-148.064,Square Footage,900,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,F,F,F
1543918706.0,4,248,71.74,12.31,59.43
1543922163.0,1,249,67.09,10.75,56.34
1543922497.0,2,3013,68.04,10.68,57.36
1543923427.0,4,8880,70.37,10.49,59.88
1544116892.0,4,38608,68.28,14.48,53.8
1544116949.0,1,38620,68.75,14.47,54.28
1544117259.0,4,41124,68.51,14.46,54.05
1544117314.0,2,41470,69.45,14.45,55.0
1544117513.0,4,42722,69.68,14.44,55.24
1544121923.0,1,42727,66.85,13.0,53.85
1544122257.0,2,45500,68.04,12.83,55.21
1544123090.0,4,50754,69.21,12.42,56.79
1544134642.0,1,50757,66.61,9.35,57.26
1544134980.0,2,53570,68.04,9.42,58.62
1544135512.0,4,56925,69.21,9.52,59.69
1544140429.0,1,57347,66.85,9.86,56.99
1544140725.0,4,59704,66.85,9.86,56.99
1544140782.0,2,60061,66.13,9.86,56.27
1544141728.0,4,66030,69.68,10.42,59.26
1544145144.0,1,66093,66.85,12.54,54.31
1544145447.0,2,68510,67.57,12.75,54.82
1544146641.0,4,76048,68.98,13.59,55.39
1544149517.0,1,76049,66.85,15.6,51.25
1544149844.0,4,78748,67.57,15.83,51.74
1544149901.0,2,79107,67.33,15.87,51.46
1544150976.0,4,85890,69.45,16.62,52.83
1544153793.0,1,86362,66.61,18.05,48.56
1544154074.0,4,88601,67.57,18.17,49.4
1544154134.0,2,88977,67.8,18.2,49.6
1544155188.0,4,95629,69.21,18.67,50.54
1544157826.0,1,95629,65.4,19.34,46.06
1544158154.0,2,98327,67.8,19.42,48.38
1544159250.0,4,105242,69.91,19.67,50.24
1544161908.0,1,105245,65.89,20.2,45.69
1544162235.0,4,107940,67.8,20.27,47.53
1544162292.0,2,108296,67.8,20.28,47.52
1544163495.0,4,115886,69.68,20.25,49.43
1544170367.0,1,124256,66.85,20.61,46.24
1544170694.0,4,126955,67.57,20.51,47.06
1544170751.0,2,127313,68.04,20.49,47.55
1544171878.0,4,134424,68.98,20.16,48.82
1544174785.0,1,134426,66.85,19.68,47.17
1544175113.0,4,137133,67.33,19.66,47.67
1544175170.0,2,137490,67.09,19.66,47.43
1544176342.0,4,144888,68.98,19.6,49.38
1544179799.0,1,144890,67.09,20.33,46.76
1544180130.0,2,147634,67.57,20.41,47.16
1544180945.0,4,152774,69.21,20.78,48.43
1544184432.0,1,152816,68.04,22.55,45.49
1544184759.0,2,155514,67.33,22.61,44.72
1544185946.0,4,163000,69.68,22.85,46.83
1544189293.0,1,163002,66.61,23.77,42.84
1544189624.0,4,165740,66.61,23.89,42.72
1544189680.0,2,166097,68.28,23.91,44.37
1544190628.0,4,172074,69.45,24.24,45.21
1544193443.0,1,172612,66.61,24.33,42.28
1544193715.0,4,174776,67.57,24.31,43.26
1544193772.0,2,175134,67.8,24.31,43.49
1544194872.0,4,182074,69.21,24.23,44.98
1544197588.0,1,182074,67.09,23.14,43.95
1544197916.0,2,184776,66.85,23.01,43.84
1544198772.0,4,190172,69.68,22.67,47.01
1544200996.0,1,190207,67.33,21.78,45.55
1544201318.0,4,192838,68.04,21.65,46.39
1544201373.0,2,193185,68.51,21.63,46.88
1544202428.0,4,199843,69.21,21.4,47.81
1544203512.0,4,199843,68.51,21.46,47.05
1544203571.0,1,199843,68.28,21.46,46.82
1544203886.0,4,202397,69.45,21.47,47.98
1544203943.0,2,202753,70.83,21.48,49.35
1544204021.0,4,203248,69.45,21.48,47.97
1544215543.0,1,203400,67.09,23.34,43.75
1544215867.0,2,206054,68.04,23.55,44.49
1544216397.0,4,209399,69.91,23.9,46.01
1544221464.0,1,209404,66.13,25.16,40.97
1544221800.0,4,212199,67.57,25.16,42.41
1544221856.0,2,212556,66.85,25.16,41.69
1544222292.0,4,215302,69.21,25.16,44.05
1544226500.0,1,215303,66.85,25.45,41.4
1544226833.0,4,218061,67.8,25.48,42.32
1544226889.0,2,218418,67.8,25.49,42.31
1544227702.0,4,223547,69.91,25.52,44.39
1544231534.0,1,223548,66.13,25.59,40.54
1544231842.0,4,226024,67.33,25.62,41.71
1544231898.0,2,226381,67.57,25.63,41.94
1544232950.0,4,233019,69.68,25.73,43.95
1544235851.0,1,233021,66.61,26.03,40.58
1544236180.0,4,235733,68.04,26.06,41.98
1544236237.0,2,236090,67.57,26.06,41.51
1544237410.0,4,243494,68.75,26.18,42.57
1544240526.0,1,243944,66.61,26.11,40.5
1544240812.0,4,246219,67.57,26.1,41.47
1544240869.0,2,246577,67.09,26.1,40.99
1544241992.0,4,253666,69.21,26.06,43.15
1544244918.0,1,253671,66.85,26.06,40.79
1544245247.0,4,256393,67.8,26.06,41.74
1544245304.0,2,256750,68.04,26.06,41.98
1544246394.0,4,263632,69.21,26.06,43.15
1544249211.0,1,263956,67.57,26.02,41.55
1544249509.0,2,266335,67.8,25.99,41.81
1544250553.0,4,272919,68.75,25.88,42.87
1544252989.0,1,272919,66.37,25.64,40.73
1544253315.0,4,275598,67.57,25.61,41.96
1544253372.0,2,275955,67.33,25.6,41.73
1544254767.0,4,284756,68.98,25.46,43.52
1544257459.0,1,284760,66.13,25.41,40.72
1544257787.0,4,287458,67.33,25.43,41.9
1544257846.0,2,287830,67.8,25.43,42.37
1544258787.0,4,293771,68.98,25.48,43.5
1544261367.0,1,293772,65.16,23.75,41.41
1544261694.0,4,296463,67.8,23.43,44.37
1544261751.0,2,296822,67.8,23.37,44.43
1544262531.0,4,301747,69.21,22.59,46.62
1544265386.0,1,301752,66.61,21.81,44.8
1544265714.0,4,304463,67.8,21.79,46.01
1544265771.0,2,304820,67.57,21.79,45.78
