Stove Type,Laser 530,Latitude,64.92216,Longitude,-147.931,Square Footage,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,F,F,F
1543924837.0,1,0,70.6,10.22,60.38
1543925083.0,4,2070,93.81,10.19,83.62
1543927896.0,0,2104,68.75,9.91,58.84
1543927951.0,1,2801,70.83,9.9,60.93
1543928240.0,4,5848,73.76,9.88,63.88
1543933460.0,0,5850,67.8,8.59,59.21
1543933517.0,1,6567,68.51,8.56,59.95
1543933837.0,4,9870,73.54,8.4,65.14
1543935665.0,0,9870,69.21,7.5,61.71
1543935721.0,1,10565,68.98,7.48,61.5
1543936043.0,4,13866,73.09,7.39,65.7
1543941433.0,0,13868,67.57,7.11,60.46
1543941489.0,1,14583,68.04,7.13,60.91
1543941759.0,4,17497,73.09,7.21,65.88
1543941816.0,1,17944,72.87,7.22,65.65
1543941872.0,4,18075,71.97,7.24,64.73
1543943710.0,0,18075,69.21,7.61,61.6
1543943766.0,1,18771,68.51,7.62,60.89
1543944033.0,4,21642,71.29,7.64,63.65
1543944090.0,1,22089,72.42,7.65,64.77
1543944148.0,4,22175,73.09,7.65,65.44
1543946084.0,0,22176,67.8,7.85,59.95
1543946140.0,1,22875,68.75,7.85,60.9
1543946407.0,4,25754,73.32,7.88,65.44
1543950215.0,0,26162,68.04,6.13,61.91
1543950271.0,1,26876,68.51,6.15,62.36
1543950589.0,4,30163,73.32,6.23,67.09
1543952805.0,0,30447,68.28,6.78,61.5
1543952863.0,1,31092,68.51,6.8,61.71
1543953110.0,4,33751,72.19,6.86,65.33
1543955369.0,0,33996,68.98,6.1,62.88
1543955425.0,1,34699,69.45,6.07,63.38
1543955693.0,4,37592,72.65,5.93,66.72
1543957907.0,1,38355,69.21,5.36,63.85
1543958200.0,4,41506,71.74,5.43,66.31
1543960208.0,0,41861,69.21,5.93,63.28
1543960265.0,1,42563,69.45,5.95,63.5
1543960590.0,4,45898,72.42,6.03,66.39
1543963869.0,0,45898,68.28,6.39,61.89
1543963926.0,1,46608,67.09,6.39,60.7
1543964195.0,4,49511,72.19,6.42,65.77
1543966109.0,0,50108,68.98,7.47,61.51
1543966165.0,1,50755,69.68,7.5,62.18
1543966454.0,4,53766,72.19,7.67,64.52
1543972155.0,0,53771,68.28,13.05,55.23
1543972212.0,1,54487,67.8,13.08,54.72
