Stove Type,Laser 530,Latitude,64.92216,Longitude,-147.931,Square Footage,,
Timestamp of each PUMA device reading,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",F,F,F
1543924837.0,70,10,60
1543925083.0,93,10,83
1543925440.0,74,10,64
1543925739.0,75,10,64
1543926039.0,72,10,62
1543926339.0,71,10,61
1543926639.0,71,10,61
1543926939.0,70,10,60
1543927239.0,69,9,59
1543927539.0,69,9,59
1543927839.0,69,9,59
1543927896.0,68,9,58
1543927951.0,70,9,60
1543928240.0,73,9,63
1543928603.0,71,9,62
1543928903.0,71,9,61
1543929204.0,71,9,61
1543929504.0,70,9,60
1543929804.0,68,9,58
1543930104.0,69,9,59
1543930404.0,68,9,58
1543930704.0,69,9,60
1543931003.0,70,9,60
1543931303.0,69,9,60
1543931604.0,69,9,60
1543931904.0,68,9,59
1543932204.0,69,9,60
1543932504.0,69,9,60
1543932804.0,68,8,59
1543933103.0,68,8,59
1543933403.0,68,8,60
1543933460.0,67,8,59
1543933517.0,68,8,59
1543933837.0,73,8,65
1543934193.0,70,8,62
1543934493.0,71,8,62
1543934793.0,70,7,62
1543935093.0,69,7,61
1543935393.0,69,7,61
1543935665.0,69,7,61
1543935721.0,68,7,61
1543936043.0,73,7,65
1543936400.0,72,7,64
1543936700.0,72,7,65
1543936999.0,71,7,64
1543937300.0,69,7,62
1543937600.0,69,6,62
1543937900.0,69,6,62
1543938200.0,70,6,63
1543938500.0,68,6,61
1543938800.0,68,6,62
1543939099.0,69,6,62
1543939399.0,69,6,62
1543939699.0,70,6,63
1543939999.0,69,6,62
1543940299.0,70,6,63
1543940599.0,69,6,62
1543940899.0,68,6,61
1543941199.0,68,7,61
1543941433.0,67,7,60
1543941489.0,68,7,60
1543941759.0,73,7,65
1543941816.0,72,7,65
1543941872.0,71,7,64
1543942229.0,71,7,63
1543942529.0,72,7,65
1543942829.0,70,7,62
1543943128.0,68,7,61
1543943428.0,68,7,61
1543943710.0,69,7,61
1543943766.0,68,7,60
1543944033.0,71,7,63
1543944090.0,72,7,64
1543944148.0,73,7,65
1543944505.0,72,7,64
1543944805.0,72,7,64
1543945105.0,71,7,63
1543945405.0,70,7,62
1543945705.0,69,7,61
1543946005.0,69,7,61
1543946084.0,67,7,59
1543946140.0,68,7,60
1543946407.0,73,7,65
1543946764.0,72,7,64
1543947064.0,71,7,64
1543947364.0,70,7,63
1543947664.0,69,7,62
1543947964.0,69,7,62
1543948263.0,69,6,62
1543948563.0,68,6,62
1543948863.0,69,6,63
1543949163.0,69,6,62
1543949463.0,68,6,62
1543949763.0,68,6,62
1543950063.0,68,6,61
1543950215.0,68,6,61
1543950271.0,68,6,62
1543950589.0,73,6,67
1543950949.0,69,6,63
1543951248.0,68,6,62
1543951548.0,69,6,63
1543951848.0,68,6,61
1543952148.0,68,6,61
1543952448.0,68,6,62
1543952748.0,68,6,61
1543952805.0,68,6,61
1543952863.0,68,6,61
1543953110.0,72,6,65
1543953467.0,70,6,63
1543953767.0,71,6,64
1543954067.0,70,6,64
1543954367.0,70,6,63
1543954667.0,69,6,62
1543954966.0,69,6,62
1543955267.0,68,6,62
1543955369.0,68,6,62
1543955425.0,69,6,63
1543955693.0,72,5,66
1543956050.0,71,5,66
1543956350.0,73,5,67
1543956651.0,72,5,66
1543956951.0,71,5,65
1543957251.0,71,5,65
1543957551.0,69,5,63
1543957850.0,69,5,64
1543957907.0,69,5,63
1543958200.0,71,5,66
1543958559.0,71,5,65
1543958859.0,72,5,67
1543959159.0,72,5,66
1543959459.0,71,5,66
1543959758.0,70,5,64
1543960058.0,68,5,62
1543960208.0,69,5,63
1543960265.0,69,5,63
1543960590.0,72,6,66
1543960947.0,72,6,66
1543961247.0,72,6,66
1543961546.0,73,6,66
1543961847.0,71,6,65
1543962147.0,69,6,63
1543962447.0,68,6,62
1543962747.0,70,6,64
1543963047.0,68,6,62
1543963347.0,68,6,62
1543963647.0,68,6,62
1543963869.0,68,6,61
1543963926.0,67,6,60
1543964195.0,72,6,65
1543964552.0,70,6,64
1543964852.0,70,6,64
1543965152.0,70,6,63
1543965452.0,70,7,63
1543965752.0,69,7,62
1543966052.0,69,7,62
1543966109.0,68,7,61
1543966165.0,69,7,62
1543966454.0,72,7,64
1543966811.0,71,7,63
1543967110.0,72,8,64
1543967410.0,72,8,64
1543967710.0,71,8,63
1543968083.0,70,8,61
1543968383.0,69,9,60
1543968683.0,69,9,60
1543968983.0,69,9,59
1543969283.0,69,10,59
1543969583.0,69,10,59
1543969882.0,69,10,58
1543970182.0,69,11,58
1543970482.0,69,11,57
1543970782.0,70,11,58
1543971082.0,68,12,56
1543971383.0,68,12,56
1543971683.0,69,12,56
1543971982.0,67,12,54
1543972155.0,68,13,55
1543972212.0,67,13,54
1543972483.0,71,13,58
1543972540.0,73,13,59
1543972737.0,73,13,60
1543973094.0,72,13,58
1543973394.0,73,13,59
1543973694.0,72,13,58
1543973994.0,69,14,55
1543974292.0,68,14,54
1543974349.0,69,14,55
1543974705.0,73,14,58
1543974836.0,73,14,59
1543975193.0,72,14,57
1543975492.0,73,14,58
1543975792.0,72,14,58
1543976092.0,72,14,57
1543976392.0,71,14,57
1543976692.0,69,15,54
1543976869.0,68,15,53
1543976925.0,68,15,53
1543977281.0,71,15,56
1543977431.0,73,15,58
1543977790.0,74,15,59
1543978089.0,74,15,59
1543978389.0,73,15,58
1543978689.0,69,15,54
1543978989.0,69,15,54
1543979058.0,69,15,54
1543979116.0,69,15,54
1543979472.0,73,15,58
1543979531.0,73,15,58
1543979887.0,73,14,58
1543980187.0,73,14,58
1543980487.0,71,14,57
1543980787.0,70,14,55
1543981087.0,69,14,55
1543981387.0,69,14,55
1543981467.0,69,14,55
1543981523.0,69,14,55
1543981879.0,73,14,59
1543981937.0,74,14,60
1543982296.0,73,13,59
1543982596.0,73,13,59
1543982896.0,72,13,58
1543983196.0,71,13,58
1543983496.0,70,13,57
1543983796.0,69,12,56
1543983852.0,69,12,56
1543983908.0,70,12,57
1543984153.0,72,12,60
1543984510.0,71,12,59
1543984810.0,73,12,61
1543985110.0,72,11,60
1543985410.0,71,11,59
1543985710.0,70,11,59
1543986010.0,70,11,59
1543986309.0,70,11,59
1543986609.0,70,11,58
1543986909.0,71,11,59
1543987209.0,69,11,58
1543987509.0,69,11,57
1543987809.0,69,11,57
1543988109.0,68,11,56
1543988408.0,69,12,57
1543988708.0,68,12,56
1543989008.0,68,12,55
1543989308.0,68,12,55
1543989365.0,68,12,56
1543989643.0,73,12,61
1543990000.0,71,12,59
1543990300.0,71,12,58
1543990600.0,68,12,56
1543990900.0,68,12,55
1543991200.0,69,13,56
1543991500.0,69,13,56
1543991800.0,69,13,55
1543991940.0,69,13,55
1543991996.0,68,13,55
1543992264.0,73,13,60
1543992621.0,71,13,57
1543992921.0,71,13,58
1543993221.0,71,13,57
1543993521.0,69,13,56
1543993821.0,69,13,56
1543994121.0,70,13,57
1543994228.0,68,13,55
1543994285.0,69,13,56
1543994551.0,73,12,60
1543994908.0,71,12,58
1543995208.0,71,12,58
1543995508.0,71,12,59
1543995808.0,69,12,57
1543996108.0,69,12,57
1543996408.0,69,11,57
1543996708.0,68,11,57
1543997009.0,69,11,58
1543997308.0,69,11,57
1543997608.0,68,11,57
1543997908.0,69,11,57
1543998208.0,69,11,58
1543998508.0,68,11,57
1543998808.0,69,10,58
1543999108.0,68,10,57
1543999401.0,68,10,57
1543999457.0,67,10,57
1543999799.0,71,10,61
1544000156.0,71,10,60
1544000456.0,70,10,60
1544000756.0,70,10,59
1544000924.0,68,10,58
1544000980.0,69,10,59
1544001282.0,75,9,65
1544001639.0,71,9,61
1544001938.0,71,9,61
1544002239.0,70,9,61
1544002539.0,70,9,61
1544002691.0,69,9,60
1544002750.0,70,8,61
1544003072.0,73,8,65
1544003429.0,71,8,62
1544003728.0,71,8,63
1544004028.0,70,8,62
1544004328.0,70,8,61
1544004628.0,68,8,60
1544004864.0,70,8,62
1544004920.0,68,8,60
1544005186.0,73,8,65
1544005542.0,72,8,64
1544005842.0,71,8,63
1544006142.0,71,8,63
1544006442.0,71,8,63
1544006742.0,70,8,62
1544007042.0,70,8,62
1544007342.0,70,8,62
1544007642.0,69,8,61
1544007709.0,69,8,61
1544007765.0,70,8,62
1544008033.0,73,8,65
1544008390.0,72,8,64
1544008689.0,71,8,62
1544008989.0,70,8,62
1544009289.0,70,8,62
1544009589.0,71,8,62
1544009849.0,70,8,61
1544009905.0,70,8,62
1544010225.0,74,8,65
1544010582.0,71,8,62
1544010882.0,71,9,62
1544011182.0,69,9,60
1544011482.0,70,9,61
1544011782.0,70,8,61
1544011839.0,70,8,61
1544011895.0,70,8,61
1544012168.0,74,8,65
1544012525.0,72,8,63
1544012825.0,72,8,64
1544013124.0,72,8,63
1544013424.0,71,8,63
1544013724.0,69,8,61
1544014024.0,70,8,61
1544014324.0,69,8,61
1544014624.0,69,8,61
1544014924.0,69,8,61
1544015217.0,70,8,61
1544015273.0,68,8,60
1544015629.0,73,8,65
