Stove Type,M422,Latitude,64.8601,Longitude,-147.895,Square Footage,510,
Timestamp of the clicks per interval,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,State of the stove per interval of clicks,Indoor temperature per interval,Outdoor temperature per interval,Temperature difference per interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Number of clicks,Integer units corresponding to power states; -1 indicates powered off,F,F,F,US gallons,US gallons per hour
1544032371.0,511,0,78.02,18.78,59.24,0.0022254049999999997,0.12921706451612902
1544032457.0,1146,4,76.545,18.835,57.71,0.00499083,0.16333625454545453
1544032540.0,255,3,68.49,18.885,49.605,0.001110525,0.07139089285714285
1544041328.5,78545,4,69.175,20.61,48.565,0.342063475,0.07028300382398266
1544060499.5,1,2,64.475,19.49,44.985,4.355e-06,7.529897699438067e-07
1544071120.0,2176,4,57.745,16.69,41.055,0.009476479999999999,0.08122697142857141
1544071358.0,256,3,58.415,16.725,41.69,0.00111488,0.07167085714285715
1544077749.0,57021,4,63.65,16.15,47.5,0.248326455,0.07024793635077793
1544096421.5,3,2,62.57,15.025,47.545,1.3065e-05,1.9104756488890694e-06
1544108910.5,1863,4,56.665,14.54,42.125,0.008113364999999999,0.08135964902506963
1544109126.5,327,3,57.48,14.615,42.865,0.0014240849999999998,0.07022884931506848
1546273175.0,54569,4,58.55,19.98,38.57,0.237647995,0.00019767283684193987
1548439566.5,1,2,57.045,26.13,30.915,4.355e-06,3.2943895776423618e-06
1548442152.5,2128,3,55.01,26.98,28.03,0.00926744,0.0807815593220339
1548442765.5,3654,4,56.38,27.095,29.285,0.01591317,0.07046422140221402
1548463801.5,0,4,58.285,29.67,28.615,0.0,0.0
1548484618.0,1,2,58.55,32.18,26.37,4.355e-06,4.191978609625668e-05
1548484954.5,1554,1,58.55,32.18,26.37,0.00676767,0.08148365217391304
1548485140.0,682,0,59.21,32.18,27.03,0.0029701099999999998,0.14850549999999998
1548485260.0,1753,1,60.12,32.18,27.94,0.007634315,0.16359246428571428
1548485389.0,729,2,60.77,32.18,28.59,0.003174795,0.1269918
1548485462.5,276,3,61.285,32.18,29.105,0.0012019799999999998,0.07591452631578946
1548486328.0,7527,4,62.555,31.92,30.635,0.032780085,0.0704948064516129
1548488953.0,2,2,61.52,30.455,31.065,8.71e-06,8.768456375838926e-06
1548490905.5,1711,3,60.25,29.06,31.19,0.0074514049999999995,0.08153513069908813
1548491885.5,7263,4,62.17,27.93,34.24,0.031630365,0.06981564316370326
1548494453.5,2,2,61.915,26.705,35.21,8.71e-06,8.94607703281027e-06
1548496421.0,2179,3,60.775,26.42,34.355,0.009489545,0.0794473534883721
1548497410.0,6963,4,62.425,26.145,36.28,0.030323865,0.07052061627906978
1548498594.5,1,2,63.565,25.705,37.86,4.355e-06,1.909622411693057e-05
1548499155.0,1555,1,63.685,25.48,38.205,0.006772025,0.0812643
1548499333.0,515,0,63.685,25.41,38.275,0.002242825,0.14418160714285713
1548499438.0,1608,1,64.18,25.365,38.815,0.00700284,0.16370275324675324
1548499545.0,486,2,64.675,25.32,39.355,0.0021165299999999997,0.1269918
1548499611.0,345,3,64.795,25.295,39.5,0.0015024749999999999,0.07512374999999999
1548501731.5,18745,4,66.365,24.36,42.005,0.081634475,0.07049271048213002
1548505203.0,4,2,66.0,23.14,42.86,1.742e-05,2.260706560922855e-05
1548506812.5,2271,3,64.43,22.795,41.635,0.009890205,0.08001064719101122
1548508348.0,11806,4,65.88,22.9,42.98,0.051415129999999996,0.07048532673267327
1548511079.0,3,2,65.51,23.27,42.24,1.3065e-05,1.658462623413258e-05
1548512677.0,1867,4,64.425,23.51,40.915,0.008130785,0.08130785
1548512893.0,326,3,65.04,23.53,41.51,0.00141973,0.0709865
1548514345.0,12440,4,66.125,23.745,42.38,0.0541762,0.06886805084745763
1548517222.5,1,2,65.63,24.295,41.335,4.355e-06,5.363667464933287e-06
1548518908.5,2332,4,64.545,24.645,39.9,0.01015586,0.0814278307349666
1548519161.5,256,3,65.28,24.66,40.62,0.00111488,0.07041347368421053
1548520261.0,9629,4,66.485,24.715,41.77,0.041934294999999996,0.07047780672268907
1548522959.0,1,2,65.505,24.655,40.85,4.355e-06,4.818070067609097e-06
1548524751.0,1713,3,64.055,24.525,39.53,0.007460115,0.08138307272727273
1548525904.5,8885,4,65.88,23.86,42.02,0.038694175,0.07045980273141123
1548528407.5,2,2,65.51,21.935,43.575,8.71e-06,1.0351931330472101e-05
1548530128.5,2128,3,64.425,20.555,43.87,0.00926744,0.0807815593220339
1548531319.5,8851,4,66.48,19.96,46.52,0.038546105,0.07047535703402742
1548533726.5,158,2,66.235,19.17,47.065,0.0006880899999999999,0.000870693848857645
1548535355.5,2128,3,64.43,18.84,45.59,0.00926744,0.0807815593220339
1548536747.5,10660,4,65.88,19.015,46.865,0.046424299999999995,0.07048818220160269
1548539265.5,2,2,65.26,19.49,45.77,8.71e-06,1.1765853658536585e-05
1548540804.5,2107,3,64.175,19.7,44.475,0.009175985,0.07998437288135592
1548542070.0,9524,4,66.48,19.32,47.16,0.041477019999999996,0.07049918413597733
1548544545.5,164,2,65.745,18.635,47.11,0.00071422,0.0009075863042710907
1548546126.0,1703,4,64.18,18.23,45.95,0.007416565,0.0814013231707317
1548546326.5,327,3,65.16,18.18,46.98,0.0014240849999999998,0.07022884931506848
1548546492.5,1165,4,65.525,18.135,47.39,0.0050735749999999994,0.07052073359073359
1548549341.0,0,2,63.28,17.05,46.23,0.0,0.0
1548552282.5,2272,3,61.415,15.845,45.57,0.00989456,0.0800458786516854
1548552963.0,4116,4,62.43,15.37,47.06,0.01792518,0.0704483056768559
1548555179.0,5,2,61.66,12.74,48.92,2.1775e-05,2.2295221843003415e-05
1548557159.5,2293,3,60.775,10.085,50.69,0.009986014999999999,0.08078573932584268
1548558039.0,5731,4,62.43,9.21,53.22,0.024958505,0.06837946575342466
1548560459.5,0,2,62.04,8.365,53.675,0.0,0.0
1548562388.0,1712,3,60.515,8.0,52.515,0.00745576,0.08133556363636364
1548563234.0,6124,4,62.16,7.75,54.41,0.02667002,0.07049344493392071
1548565527.0,4,2,62.415,7.015,55.4,1.742e-05,1.9451612903225806e-05
1548567303.5,1707,4,61.03,6.425,54.605,0.007433985,0.08134451671732522
1548567496.0,255,3,61.415,6.36,55.055,0.001110525,0.07139089285714285
1548568389.0,7778,4,62.925,6.15,56.775,0.03387319,0.07048756300578034
1548570913.0,0,2,62.41,6.165,56.245,0.0,0.0
1548572737.0,1708,4,60.64,6.495,54.145,0.00743834,0.08114552727272727
1548572938.0,326,3,60.9,6.635,54.265,0.00141973,0.0709865
1548573858.0,7951,4,62.545,7.28,55.265,0.034626605,0.07050666176470588
1548576357.5,313,2,62.16,8.735,53.425,0.001363115,0.001518791086350975
1548578122.5,1554,3,60.645,9.63,51.015,0.00676767,0.08148365217391304
1548579249.5,8788,4,62.54,10.065,52.475,0.03827174,0.07047481534526855
1548581893.0,1,2,62.41,11.155,51.255,4.355e-06,4.705282112845138e-06
1548583724.0,1711,3,60.9,12.055,48.845,0.0074514049999999995,0.08128805454545454
1548584614.5,6525,4,62.175,13.035,49.14,0.028416374999999997,0.070502377670572
1548586914.0,255,2,61.915,14.55,47.365,0.001110525,0.0012699777636594664
1548588628.5,1459,3,60.515,15.255,45.26,0.006353945,0.08140285409252669
1548589448.5,6110,4,62.16,15.175,46.985,0.02660905,0.07048754966887416
1548591844.0,139,2,62.16,13.675,48.485,0.000605345,0.0006349772727272727
1548593711.5,1571,4,60.645,12.1,48.545,0.006841705,0.08128758415841583
1548593899.5,326,3,60.515,11.93,48.585,0.00141973,0.07001408219178082
1548594779.0,7583,4,61.41,11.26,50.15,0.033023964999999995,0.07051380427046262
1548597346.5,88,2,61.795,9.845,51.95,0.00038323999999999997,0.0004000185561032183
1548599227.5,1623,4,60.25,9.06,51.19,0.0070681649999999995,0.08129518849840256
1548599412.5,255,3,59.995,9.05,50.945,0.001110525,0.07013842105263159
1548600398.0,8551,4,62.41,9.015,53.395,0.037239604999999995,0.07004314420062696
1548603034.5,0,2,62.28,9.235,53.045,0.0,0.0
1548604879.0,1711,4,60.515,9.53,50.985,0.0074514049999999995,0.08128805454545454
1548605080.5,326,3,60.9,9.585,51.315,0.00141973,0.07001408219178082
1548605774.0,5841,4,61.92,9.795,52.125,0.025437555,0.06969193150684931
1548608032.5,2,2,61.79,10.255,51.535,8.71e-06,9.789572275991258e-06
1548609798.5,1708,4,60.64,10.51,50.13,0.00743834,0.08139217021276596
1548609991.5,254,3,60.9,10.5,50.4,0.0011061699999999999,0.06986336842105262
1548610860.0,7554,4,62.175,10.46,51.715,0.03289767,0.07049500714285713
1548613359.0,4,2,61.66,10.56,51.1,1.742e-05,1.8900542495479205e-05
1548615224.5,2107,3,60.9,10.72,50.18,0.009175985,0.07998437288135592
1548616295.5,7774,4,62.43,11.025,51.405,0.03385577,0.07049206015037594
1548618718.5,49,2,61.53,11.775,49.755,0.00021339499999999999,0.00024646198267564963
1548620452.5,1820,3,60.0,12.275,47.725,0.0079261,0.08129333333333333
