Stove Type,M422,Latitude,64.8601,Longitude,-147.895,Square Footage,510,
Timestamp of each PUMA device reading,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",F,F,F
1544032340.0,73,18,54
1544032402.0,82,18,63
1544032512.0,70,18,51
1544032568.0,66,18,47
1544032941.0,64,19,45
1544033241.0,63,19,44
1544033541.0,63,19,44
1544033841.0,64,19,44
1544034141.0,64,19,44
1544034441.0,64,19,44
1544034741.0,64,20,44
1544035041.0,65,20,45
1544035341.0,65,20,44
1544035641.0,64,20,44
1544035941.0,65,20,44
1544036241.0,65,20,45
1544036541.0,65,20,44
1544036841.0,65,20,44
1544037141.0,66,20,45
1544037441.0,66,21,45
1544037741.0,66,21,45
1544038041.0,66,21,44
1544038341.0,66,21,45
1544038641.0,66,21,45
1544038941.0,66,21,45
1544039241.0,67,21,46
1544039541.0,66,21,45
1544039841.0,67,21,45
1544040141.0,67,21,46
1544040441.0,67,21,45
1544040741.0,68,21,46
1544041041.0,67,21,45
1544041341.0,68,21,46
1544041640.0,67,21,46
1544041940.0,67,21,46
1544042240.0,68,21,46
1544042540.0,68,21,46
1544042840.0,68,21,46
1544043140.0,68,21,46
1544043439.0,68,21,46
1544043739.0,68,21,46
1544044040.0,68,21,46
1544044340.0,68,22,46
1544044640.0,68,22,46
1544044940.0,68,22,46
1544045240.0,69,22,47
1544045540.0,68,22,46
1544045840.0,69,22,47
1544046140.0,69,22,47
1544046440.0,69,22,47
1544046739.0,70,22,47
1544047039.0,70,22,47
1544047339.0,70,22,48
1544047639.0,70,22,48
1544047938.0,70,22,48
1544048237.0,70,22,48
1544048537.0,71,22,48
1544048836.0,71,22,48
1544049135.0,71,22,49
1544049434.0,70,22,48
1544049733.0,71,22,48
1544050033.0,71,22,48
1544050089.0,71,22,49
1544050461.0,71,22,48
1544050761.0,70,22,47
1544051060.0,69,22,47
1544051360.0,69,22,46
1544051659.0,68,22,45
1544051959.0,67,22,45
1544052258.0,67,22,45
1544052557.0,67,22,44
1544052857.0,66,22,44
1544053157.0,66,22,44
1544053456.0,66,22,44
1544053757.0,65,22,43
1544054056.0,65,22,43
1544054356.0,65,22,43
1544054656.0,64,22,42
1544054956.0,63,21,42
1544055255.0,64,21,42
1544055555.0,63,21,42
1544055855.0,63,21,42
1544056155.0,62,21,41
1544056455.0,63,21,41
1544056755.0,63,21,42
1544057054.0,62,21,41
1544057354.0,62,20,41
1544057654.0,62,20,41
1544057954.0,62,20,41
1544061625.0,60,19,41
1544061925.0,60,18,41
1544062224.0,59,18,40
1544062524.0,59,18,40
1544062824.0,59,18,41
1544063123.0,59,18,41
1544063424.0,59,18,41
1544063723.0,58,18,40
1544064023.0,59,17,41
1544064323.0,58,17,41
1544064623.0,58,17,41
1544064922.0,59,17,41
1544065222.0,59,17,41
1544065522.0,59,17,41
1544065822.0,58,17,41
1544066122.0,58,17,41
1544066422.0,58,17,41
