Stove Type,Laser 73/730,Latitude,64.89301,Longitude,-147.831,Square Footage,1728,
Timestamp of the clicks per interval,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,State of the stove per interval of clicks,Indoor temperature per interval,Outdoor temperature per interval,Temperature difference per interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Number of clicks,Integer units corresponding to power states; -1 indicates powered off,F,F,F,US gallons,US gallons per hour
1549039677.0,-6998,4,85.985,-23.185,109.17,-0.023569264000000003,-0.9641971636363638
1549039946.0,25,2,74.86,-23.345,98.205,8.42e-05,0.0006736
1549040204.5,573,4,75.515,-23.5,99.015,0.001929864,0.10369418507462687
1549040357.0,0,4,76.285,-23.585,99.87,0.0,0.0
1549040684.0,686,2,75.19,-23.745,98.935,0.002310448,0.01999426153846154
1549040974.5,1429,1,74.75,-23.88,98.63,0.004812872,0.10500811636363637
1549041172.0,3470,2,77.02,-23.97,100.99,0.011686960000000001,0.18292633043478262
1549045264.5,68644,1,77.35,-21.975,99.325,0.231192992,0.10462536407291013
1549049400.5,4777,2,76.175,-19.75,95.925,0.016088936,0.18271346876971611
1549055513.0,102729,4,75.845,-4.405,80.25,0.345991272,0.10459930964057777
