Stove Type,Laser 56/560,Latitude,64.86369,Longitude,-147.67,Square Footage,812,
Timestamp of each PUMA device reading,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",F,F,F
1545053086.0,56,-9,66
1545053433.0,64,-9,74
1545053733.0,64,-9,74
1545054033.0,65,-10,75
1545054333.0,64,-10,74
1545054633.0,63,-10,73
1545054933.0,63,-10,73
1545055233.0,64,-10,74
1545055533.0,67,-10,77
1545055833.0,63,-10,73
1545056133.0,63,-10,73
1545056433.0,64,-10,74
1545056733.0,65,-10,75
1545057033.0,65,-10,75
1545057333.0,64,-10,75
1545057633.0,64,-10,74
1545057933.0,65,-10,75
1545057980.0,60,-10,71
1545058026.0,62,-10,73
1545058371.0,63,-10,73
1545058426.0,64,-10,75
1545058772.0,64,-10,75
1545059072.0,65,-10,76
1545059371.0,65,-10,75
1545059420.0,67,-10,78
1545059766.0,65,-10,76
1545060066.0,65,-11,76
1545060366.0,63,-11,74
1545060597.0,61,-11,72
1545060943.0,63,-11,74
1545061243.0,66,-11,78
1545061452.0,66,-11,77
1545061798.0,61,-11,73
1545061845.0,61,-11,73
1545062189.0,61,-11,73
1545062489.0,62,-11,74
1545062789.0,64,-11,76
1545063088.0,65,-11,77
1545063388.0,63,-11,74
1545063432.0,66,-11,78
1545063777.0,65,-11,77
1545064076.0,67,-11,79
1545064376.0,64,-11,76
1545064675.0,63,-11,74
1545064975.0,66,-11,78
1545065275.0,65,-11,77
1545065574.0,64,-11,75
1545065874.0,65,-11,77
1545066174.0,65,-11,77
1545066474.0,65,-11,77
1545066773.0,64,-11,75
1545067073.0,65,-11,77
1545067373.0,65,-11,77
1545067673.0,65,-10,76
1545067972.0,66,-10,77
1545068272.0,64,-10,75
1545068572.0,67,-10,78
1545068872.0,63,-10,74
1545069171.0,63,-10,74
1545069471.0,65,-10,76
1545069771.0,66,-10,76
1545070071.0,63,-9,73
1545070371.0,65,-9,75
1545070670.0,66,-9,75
1545070970.0,63,-9,73
1545071270.0,64,-9,73
1545071570.0,62,-9,71
1545071870.0,66,-8,75
1545072169.0,62,-8,71
1545072469.0,63,-8,71
1545072769.0,66,-8,74
1545073069.0,63,-8,71
1545073368.0,63,-8,72
1545073668.0,63,-8,71
1545073968.0,65,-7,73
1545074268.0,66,-7,74
1545074568.0,64,-7,72
1545074867.0,65,-7,72
1545075167.0,64,-7,72
1545075467.0,65,-7,73
1545075767.0,64,-7,71
1545076066.0,64,-7,72
1545076366.0,64,-7,71
1545076666.0,63,-7,70
1545076987.0,64,-7,72
1545077287.0,65,-7,72
1545077587.0,64,-7,71
1545077887.0,64,-7,71
1545078187.0,63,-7,70
1545078487.0,67,-7,74
1545078787.0,67,-7,74
1545079087.0,63,-7,70
1545079386.0,63,-7,70
1545079686.0,64,-6,71
1545079986.0,64,-6,71
1545080286.0,61,-6,68
1545080586.0,63,-6,70
1545080885.0,64,-6,70
1545081178.0,63,-6,69
1545081522.0,62,-6,68
1545081822.0,64,-6,70
1545081929.0,65,-6,72
1545081976.0,65,-6,71
1545082320.0,63,-6,70
1545082620.0,64,-6,70
1545082919.0,64,-6,70
1545083219.0,65,-6,71
1545083518.0,64,-6,70
1545083818.0,65,-6,71
1545084118.0,66,-5,72
1545084417.0,67,-5,73
1545084717.0,62,-5,68
1545085017.0,63,-5,69
1545085317.0,65,-5,70
1545085616.0,62,-5,68
1545085916.0,64,-5,70
1545086216.0,63,-5,69
1545086516.0,63,-5,69
1545086816.0,63,-5,68
1545087115.0,63,-5,68
1545087415.0,64,-5,69
1545087715.0,63,-5,68
1545088015.0,63,-5,69
1545088314.0,64,-5,69
1545088614.0,63,-4,68
1545088914.0,64,-4,68
1545089214.0,64,-4,69
1545089514.0,62,-4,67
1545089813.0,64,-4,69
1545090113.0,63,-4,68
1545090413.0,64,-4,68
1545090713.0,64,-4,68
1545091012.0,64,-4,68
1545091312.0,65,-3,69
1545091612.0,63,-3,67
1545091912.0,65,-3,69
1545092211.0,64,-3,68
1545092511.0,64,-3,68
1545092811.0,62,-3,66
1545093111.0,62,-3,66
1545093411.0,63,-3,67
1545093710.0,64,-3,67
1545094010.0,63,-3,66
1545094099.0,63,-3,67
1545094444.0,67,-3,71
1545094743.0,63,-3,67
1545094811.0,66,-3,70
1545094856.0,66,-3,70
1545095201.0,66,-3,69
1545095410.0,64,-3,67
1545095755.0,64,-3,67
1545096055.0,63,-3,66
1545096355.0,61,-3,64
1545096402.0,63,-3,67
1545096446.0,60,-3,63
1545096591.0,63,-3,66
1545096636.0,60,-3,64
1545096980.0,65,-3,69
1545097280.0,66,-3,69
1545097579.0,64,-3,67
1545097623.0,64,-3,67
1545097968.0,62,-2,65
1545098267.0,64,-2,67
1545098567.0,65,-2,68
1545098866.0,63,-2,66
1545099166.0,64,-2,67
1545099465.0,63,-2,66
1545099765.0,65,-2,68
1545100065.0,66,-2,69
1545100365.0,63,-2,66
1545100664.0,64,-2,67
1545100964.0,66,-2,69
1545101264.0,67,-2,70
1545101563.0,64,-2,66
1545101863.0,62,-2,64
1545102163.0,64,-2,66
1545102463.0,64,-2,67
1545102762.0,66,-2,68
1545103062.0,64,-2,66
1545103362.0,62,-2,64
1545103662.0,66,-2,68
1545103961.0,65,-2,67
1545104261.0,64,-1,66
1545104561.0,62,-1,64
1545104861.0,60,-1,62
1545105160.0,64,-1,66
1545105460.0,65,-1,67
