Stove Type,Laser 56/560,Latitude,64.86001,Longitude,-147.913,,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,F,F,F
1543258137.0,1,564,69.91,22.45,47.46
1543258192.0,2,1008,73.54,22.43,51.11
1543258453.0,4,2578,73.76,22.37,51.39
1543259859.0,1,2581,68.04,22.54,45.5
1543259916.0,2,3128,67.57,22.56,45.01
1543260090.0,1,4179,67.57,22.6,44.97
1543260390.0,2,7352,71.06,22.68,48.38
1543260977.0,4,10885,73.54,22.82,50.72
1543263033.0,1,10889,68.04,23.5,44.54
1543263089.0,2,11458,68.51,23.52,44.99
1543263269.0,1,12540,68.04,23.61,44.43
1543263505.0,2,15040,71.06,23.73,47.33
1543263715.0,4,16306,74.87,23.84,51.03
1543271924.0,1,16710,67.33,26.82,40.51
1543271980.0,2,17106,68.28,26.84,41.44
1543272122.0,1,17960,68.28,26.87,41.41
1543272457.0,2,21512,71.29,26.95,44.34
1543272676.0,4,22830,74.65,27.01,47.64
1543274888.0,2,23341,68.04,27.39,40.65
1543275066.0,1,24411,68.28,27.42,40.86
1543275353.0,2,27458,71.06,27.46,43.6
1543275607.0,4,28985,73.54,27.5,46.04
1543277416.0,1,28988,68.04,27.62,40.42
1543277473.0,2,29539,68.75,27.61,41.14
1543277648.0,1,30597,68.04,27.6,40.44
1543277953.0,4,33827,71.06,27.56,43.5
1543278010.0,2,34168,72.42,27.56,44.86
1543278754.0,4,38646,73.09,27.48,45.61
1543280745.0,1,38652,67.8,27.13,40.67
1543280801.0,2,39202,68.04,27.1,40.94
1543280976.0,1,40256,68.04,27.0,41.04
1543281272.0,4,43393,71.29,26.84,44.45
1543281329.0,2,43734,71.97,26.81,45.16
1543282341.0,4,49819,73.09,26.25,46.84
1543284289.0,1,49820,68.04,25.24,42.8
1543284345.0,2,50372,67.8,25.22,42.58
1543284521.0,1,51430,67.33,25.16,42.17
1543284835.0,4,54753,71.29,25.05,46.24
1543284891.0,2,55094,72.19,25.03,47.16
1543285903.0,4,61132,72.87,24.67,48.2
1543288021.0,1,61132,67.8,24.12,43.68
1543288077.0,2,61683,67.8,24.13,43.67
1543288253.0,1,62741,68.28,24.15,44.13
1543288564.0,4,66038,71.06,24.18,46.88
1543288621.0,2,66379,71.74,24.18,47.56
1543288928.0,4,68229,73.09,24.21,48.88
1543290135.0,1,68231,67.8,24.33,43.47
1543290191.0,2,68775,67.09,24.34,42.75
1543290365.0,1,69817,67.57,24.36,43.21
1543290777.0,2,73975,71.06,24.4,46.66
1543291795.0,4,80101,73.09,24.23,48.86
1543293108.0,1,80214,68.04,23.77,44.27
1543293164.0,2,80694,67.09,23.75,43.34
1543293324.0,1,81660,67.57,23.7,43.87
1543293736.0,2,85793,71.06,23.55,47.51
1543294634.0,4,91198,72.87,23.24,49.63
1543295947.0,2,91704,67.57,22.95,44.62
1543296117.0,4,92730,67.33,22.92,44.41
1543296174.0,1,93327,68.04,22.91,45.13
1543296476.0,4,96527,71.06,22.84,48.22
1543296533.0,2,96869,72.19,22.83,49.36
1543297633.0,4,103489,74.21,22.61,51.6
1543298946.0,1,103874,67.09,22.11,44.98
1543299002.0,2,104250,67.57,22.07,45.5
1543299140.0,1,105080,67.33,21.98,45.35
1543299488.0,2,108775,70.6,21.75,48.85
1543299982.0,4,111744,72.65,21.43,51.22
1543301594.0,1,112078,67.8,20.38,47.42
1543301650.0,2,112467,68.04,20.35,47.69
1543301790.0,1,113313,67.8,20.26,47.54
1543302116.0,2,116763,70.37,20.03,50.34
1543302464.0,4,118861,74.42,19.77,54.65
1543303657.0,1,118865,67.8,18.88,48.92
1543303713.0,2,119402,67.33,18.84,48.49
1543303886.0,1,120440,67.09,18.71,48.38
1543304298.0,2,124595,70.83,18.4,52.43
1543305438.0,4,131454,72.42,17.54,54.88
1543306750.0,1,131796,67.8,17.19,50.61
1543306806.0,2,132172,67.33,17.18,50.15
1543306944.0,1,132998,67.09,17.15,49.94
1543307356.0,2,137184,71.52,17.07,54.45
1543308367.0,4,143001,72.42,16.87,55.55
1543309523.0,1,143002,67.57,16.49,51.08
1543309579.0,2,143498,67.57,16.45,51.12
1543309742.0,1,144480,67.57,16.35,51.22
1543310155.0,2,148647,71.52,16.08,55.44
