Stove Type,Laser 73/730,Latitude,64.89163,Longitude,-147.674,,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Thermistor resistance of the indoor thermistor
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Thermistor resistance (ohms)
1543335237.0,1,609,11506
1543335292.0,2,1433,9835
1543335442.0,4,2622,10257
1543335797.0,-1,-1,10592
1543336096.0,-1,-1,11004
1543336396.0,-1,-1,11506
1543336695.0,-1,-1,12045
1543336994.0,-1,-1,11704
1543337235.0,1,2622,12045
1543337291.0,2,3288,11506
1543337451.0,1,4571,11314
1543337626.0,2,7177,10707
1543337980.0,-1,-1,10944
1543338280.0,-1,-1,10367
1543338520.0,4,14283,10535
1543338876.0,-1,-1,10592
1543339176.0,-1,-1,11188
1543339475.0,-1,-1,11126
1543339775.0,-1,-1,10944
1543340074.0,-1,-1,11314
1543340374.0,-1,-1,11377
1543340673.0,-1,-1,11506
1543340973.0,-1,-1,11704
1543341273.0,-1,-1,11441
1543341572.0,-1,-1,12257
1543341872.0,-1,-1,11506
1543342130.0,1,14284,11637
1543342185.0,2,14971,11441
1543342349.0,1,16278,12257
1543342524.0,2,18885,11251
1543342880.0,-1,-1,10766
1543343180.0,-1,-1,11314
1543343268.0,4,24803,11441
1543343623.0,-1,-1,11506
1543343922.0,-1,-1,11377
1543344221.0,-1,-1,11126
1543344521.0,-1,-1,11441
1543344820.0,-1,-1,11251
1543345120.0,-1,-1,11704
1543345419.0,-1,-1,11188
1543345719.0,-1,-1,11188
1543345775.0,2,25300,11065
1543345957.0,1,26755,11975
1543346133.0,2,29364,11065
1543346488.0,-1,-1,10825
1543346788.0,-1,-1,11126
1543346865.0,4,35192,10423
1543347222.0,-1,-1,11314
1543347521.0,-1,-1,11377
1543347820.0,-1,-1,11506
1543348120.0,-1,-1,11571
1543348419.0,-1,-1,11838
1543348719.0,-1,-1,11975
1543349019.0,-1,-1,12115
1543349318.0,-1,-1,11441
1543349618.0,-1,-1,11975
1543349865.0,1,35197,11704
1543349921.0,2,35883,11704
1543350085.0,1,37190,11571
1543350260.0,2,39797,10707
1543350615.0,-1,-1,11251
1543350915.0,-1,-1,10650
1543351128.0,4,46705,10825
1543351485.0,-1,-1,11188
1543351784.0,-1,-1,10944
1543352084.0,-1,-1,11065
1543352383.0,-1,-1,11377
1543352682.0,-1,-1,11441
1543352982.0,-1,-1,11770
1543353281.0,-1,-1,11571
1543353581.0,-1,-1,11704
1543353880.0,-1,-1,11571
1543354180.0,-1,-1,11704
1543354236.0,2,47251,12185
1543354417.0,1,48689,11704
1543354594.0,2,51331,11065
1543354950.0,-1,-1,11314
1543355249.0,-1,-1,10884
1543355549.0,-1,-1,10423
1543355605.0,4,59278,10766
1543355961.0,-1,-1,10592
1543356261.0,-1,-1,11251
1543356560.0,-1,-1,11571
1543356860.0,-1,-1,11704
1543357159.0,-1,-1,11506
1543357459.0,-1,-1,11770
1543357630.0,1,59278,11770
1543357686.0,2,59930,11441
1543357845.0,1,61197,11704
1543358020.0,2,63805,11251
1543358376.0,-1,-1,10825
1543358675.0,-1,-1,10650
1543358975.0,-1,-1,10944
1543359249.0,4,73572,10650
1543359605.0,-1,-1,11065
1543359904.0,-1,-1,11314
1543360204.0,-1,-1,11704
1543360503.0,-1,-1,11571
1543360802.0,-1,-1,11770
1543361102.0,-1,-1,11770
1543361177.0,1,73577,11975
1543361233.0,2,74250,11506
1543361395.0,1,75541,12045
1543361570.0,2,78149,11441
1543361926.0,-1,-1,11188
1543362225.0,-1,-1,10825
1543362525.0,-1,-1,10944
1543362825.0,-1,-1,11004
1543363012.0,4,89611,10479
1543363368.0,-1,-1,10707
1543363667.0,-1,-1,11126
1543363967.0,-1,-1,11506
1543364266.0,-1,-1,11251
1543364566.0,-1,-1,11704
