Stove Type,M2200,Latitude,64.85657,Longitude,-147.893,,,
Timestamp of the clicks per interval,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,State of the stove per interval of clicks,Indoor temperature per interval,Outdoor temperature per interval,Temperature difference per interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Number of clicks,Integer units corresponding to power states; -1 indicates powered off,F,F,F,US gallons,US gallons per hour
1543842941.0,50,2,68.67,21.99,46.68,0.00021774999999999998,0.000376875
1543844130.5,1588,4,65.285,22.275,43.01,0.00691574,0.0832664347826087
1543844308.5,464,1,65.65,22.315,43.335,0.0020207199999999997,0.12762442105263155
1543844407.0,1153,4,66.37,22.34,44.03,0.005021315,0.12911952857142858
1543850245.0,3,2,63.215,22.85,40.365,1.3065e-05,4.077149791955617e-06
1543856162.5,1589,4,60.38,23.35,37.03,0.006920094999999999,0.08331886956521739
1543856340.0,463,1,61.925,23.36,38.565,0.002016365,0.12962346428571428
1543856396.5,395,2,62.56,23.36,39.2,0.001720225,0.10864578947368421
1543856559.0,1555,4,63.925,23.375,40.55,0.006772025,0.0909675
1543856721.5,265,3,65.405,23.39,42.015,0.0011540749999999998,0.07288894736842104
1543857059.5,2882,4,65.77,23.425,42.345,0.012551109999999999,0.07299514701130856
1543860380.5,0,2,62.615,23.42,39.195,0.0,0.0
1543863541.5,1590,4,60.38,23.375,37.005,0.0069244499999999995,0.08337130434782608
1543863719.5,463,1,61.675,23.375,38.3,0.002016365,0.12734936842105263
1543863777.0,471,2,62.435,23.385,39.05,0.002051205,0.12731617241379312
1543863973.5,1943,3,63.685,23.415,40.27,0.008461765,0.0909324
1543864540.0,3712,4,64.915,23.5,41.415,0.016165759999999998,0.07292824060150375
1543865933.0,4,2,63.665,23.71,39.955,1.742e-05,3.154527162977867e-05
1543867076.0,1590,1,62.435,23.885,38.55,0.0069244499999999995,0.08365107382550335
1543867253.0,519,0,63.435,23.915,39.52,0.0022602449999999997,0.14530146428571428
1543868328.5,21875,1,70.055,24.18,45.875,0.09526562499999999,0.1637022673031026
1543869644.5,4396,2,77.255,24.51,52.745,0.019144579999999998,0.12834355307262568
1543872377.5,28510,4,76.6,24.88,51.72,0.12416105,0.09068366402921485
1543881663.0,2,2,68.145,25.325,42.82,8.71e-06,2.29848995748424e-06
1543888633.0,1591,1,61.675,25.495,36.18,0.006928805,0.08370368456375839
1543888810.5,398,2,61.8,25.51,36.29,0.00173329,0.10947094736842104
1543888973.5,1559,3,61.545,25.44,36.105,0.006789445,0.09086246096654275
1543889420.5,2909,4,62.055,25.24,36.815,0.012668694999999999,0.07297168319999998
1543892193.5,144,2,61.28,24.33,36.95,0.00062712,0.0004587750457224141
1543894790.0,1446,4,60.385,23.54,36.845,0.006297329999999999,0.08334701470588235
1543894954.5,464,1,61.16,23.515,37.645,0.0020207199999999997,0.12762442105263155
1543895010.0,359,2,61.03,23.505,37.525,0.001563445,0.10422966666666666
1543895177.5,1628,3,60.77,23.48,37.29,0.0070899399999999994,0.0908319715302491
1543895770.0,4208,4,61.03,23.395,37.635,0.01832584,0.07297900884955752
1543898329.0,1,2,61.415,22.53,38.885,4.355e-06,3.720455624110109e-06
1543900585.5,1590,4,61.155,21.535,39.62,0.0069244499999999995,0.08337130434782608
1543900763.5,463,1,60.9,21.305,39.595,0.002016365,0.12734936842105263
1543900821.0,481,2,61.29,21.235,40.055,0.002094755,0.13001927586206896
1543901017.5,1937,4,61.03,20.98,40.05,0.008435635,0.09065160000000001
1543901213.5,266,3,60.9,20.725,40.175,0.00115843,0.07316399999999999
1543901749.0,4704,4,61.415,20.03,41.385,0.020485919999999998,0.07273107692307691
1543904193.5,0,2,61.285,16.995,44.29,0.0,0.0
1543906280.5,1593,1,60.25,14.44,45.81,0.006937515,0.08352860869565218
1543906497.0,1095,2,60.25,14.18,46.07,0.004768725,0.12811499999999998
1543906771.5,2343,3,60.77,13.895,46.875,0.010203765,0.08851458795180724
1543907567.5,5477,4,61.03,13.28,47.75,0.023852335,0.07295531520815632
1543908714.0,4,2,62.925,12.48,50.445,1.742e-05,5.6193548387096775e-05
1543909421.0,1588,4,64.55,11.985,52.565,0.00691574,0.0835458523489933
1543909598.5,523,0,65.16,11.86,53.3,0.002277665,0.1438525263157895
1543910209.5,12173,1,69.37,11.64,57.73,0.053013414999999994,0.16381827811158794
1543911086.0,4812,4,73.09,11.54,61.55,0.020956259999999997,0.12830363265306122
1543920813.5,0,2,64.605,10.61,53.995,0.0,0.0
1543930396.5,1592,1,57.07,9.56,47.51,0.00693316,0.08347617391304347
1543930621.0,1232,2,58.81,9.53,49.28,0.00536536,0.12876864
1543930848.0,1760,3,60.765,9.495,51.27,0.007664799999999999,0.09076736842105262
1543931391.0,3641,4,62.18,9.41,52.77,0.015856554999999998,0.07299692838874679
1543933959.0,2,2,59.275,8.355,50.92,8.71e-06,7.2016536518144236e-06
1543936285.5,1593,1,56.935,7.315,49.62,0.006937515,0.08352860869565218
1543936513.5,1285,4,58.94,7.245,51.695,0.005596175,0.1283199363057325
1543936620.5,329,2,60.645,7.215,53.43,0.001432795,0.09049231578947368
1543936788.5,1619,3,61.545,7.165,54.38,0.007050745,0.09097735483870967
1543937346.5,3897,4,62.055,6.995,55.06,0.016971435,0.0729954193548387
1546187476.5,38093,4,62.935,16.1,46.835,0.16589501499999998,0.00013273303132423867
1548437546.0,35,2,63.06,25.495,37.565,0.000152425,0.0007663826815642458
1548437932.0,235,4,62.81,25.67,37.14,0.001023425,0.06579160714285714
1548437988.5,229,2,63.065,25.695,37.37,0.000997295,0.06298705263157896
1548438045.5,230,4,63.19,25.72,37.47,0.00100165,0.0632621052631579
1548438117.0,328,2,64.055,25.75,38.305,0.00142844,0.05979516279069767
1548438188.0,256,4,64.425,25.785,38.64,0.00111488,0.07167085714285715
1548438246.0,332,2,64.67,25.81,38.86,0.00144586,0.0867516
1548438305.5,226,4,65.16,25.835,39.325,0.00098423,0.06005471186440678
1548438364.5,214,2,65.405,25.865,39.54,0.00093197,0.05686596610169491
1548438422.5,196,4,65.525,25.89,39.635,0.0008535799999999999,0.05391031578947368
1548438481.0,202,2,65.765,25.915,39.85,0.0008797099999999999,0.0527826
1548438539.0,181,4,66.13,25.945,40.185,0.000788255,0.05067353571428571
1548438603.0,213,2,66.61,25.975,40.635,0.0009276149999999999,0.04638074999999999
1548438667.0,131,4,66.85,26.0,40.85,0.000570505,0.03667532142857143
1548441157.5,1200,2,64.775,26.595,38.18,0.005226,0.0038200203045685274
1548443648.0,246,4,62.685,27.18,35.505,0.00107133,0.06887121428571429
1548443705.0,249,2,62.81,27.185,35.625,0.001084395,0.06730727586206896
1548443762.0,238,4,63.065,27.19,35.875,0.00103649,0.0666315
1548443821.5,250,2,63.19,27.19,36.0,0.0010887499999999999,0.06221428571428571
1548443881.5,226,4,63.065,27.195,35.87,0.00098423,0.0621618947368421
1548443940.0,376,1,63.68,27.2,36.48,0.00163748,0.0982488
1548443998.5,368,4,64.55,27.2,37.35,0.00160264,0.10121936842105264
1548444056.5,339,2,64.795,27.2,37.595,0.001476345,0.09008206779661017
1548444114.5,245,4,65.04,27.205,37.835,0.001066975,0.0673878947368421
1548444171.0,238,2,65.285,27.21,38.075,0.00103649,0.0666315
1548444227.0,232,4,66.01,27.21,38.8,0.0010103599999999999,0.06495171428571428
1548444284.0,217,2,66.25,27.215,39.035,0.000945035,0.0586573448275862
1548444341.0,208,4,66.37,27.22,39.15,0.00090584,0.05823257142857143
1548444399.0,201,3,66.61,27.22,39.39,0.000875355,0.0525213
1548444458.0,158,4,66.49,27.22,39.27,0.0006880899999999999,0.04270903448275862
1548444520.5,174,3,66.85,27.225,39.625,0.00075777,0.040715999999999995
1548444582.5,135,4,67.33,27.23,40.1,0.000587925,0.0371321052631579
1548444644.0,124,3,67.33,27.23,40.1,0.00054002,0.029455636363636364
1548444705.0,107,4,67.09,27.235,39.855,0.000465985,0.029956178571428568
1548444842.5,334,3,67.09,27.245,39.845,0.0014545699999999999,0.023910739726027398
1548444979.5,79,4,67.33,27.25,40.08,0.00034404499999999996,0.022519309090909087
1548447355.5,406,2,65.01,27.12,37.89,0.00176813,0.001355177347242921
1548449732.0,245,4,63.065,26.985,36.08,0.001066975,0.06859125
1548449787.5,238,2,63.44,26.98,36.46,0.00103649,0.06784298181818181
1548449843.5,250,4,63.315,26.975,36.34,0.0010887499999999999,0.06876315789473683
1548449900.5,243,2,63.315,26.97,36.345,0.0010582649999999999,0.0668377894736842
1548449957.0,241,4,63.065,26.965,36.1,0.001049555,0.06747139285714286
1548450014.5,346,1,63.435,26.955,36.48,0.00150683,0.09194216949152542
1548450073.0,384,4,64.305,26.945,37.36,0.00167232,0.1037991724137931
1548450130.5,325,2,64.43,26.94,37.49,0.001415375,0.08939210526315788
1548450187.5,257,4,64.795,26.935,37.86,0.0011192349999999999,0.07068852631578947
1548450245.5,250,2,65.525,26.925,38.6,0.0010887499999999999,0.0664322033898305
1548450303.0,239,4,65.89,26.915,38.975,0.0010408449999999999,0.06691146428571428
1548450360.0,232,2,66.25,26.905,39.345,0.0010103599999999999,0.062712
1548450417.5,213,4,66.49,26.895,39.595,0.0009276149999999999,0.05858621052631579
1548450473.5,190,3,66.73,26.885,39.845,0.00082745,0.05416036363636363
1548450529.0,155,4,66.85,26.88,39.97,0.000675025,0.043394464285714286
1548450589.0,172,3,66.97,26.875,40.095,0.00074906,0.042134624999999995
1548450649.5,147,4,67.45,26.865,40.585,0.0006401849999999999,0.040432736842105264
1548450718.5,179,3,67.21,26.855,40.355,0.000779545,0.034646444444444445
1548450787.5,117,4,67.09,26.845,40.245,0.000509535,0.032181157894736835
1548450903.5,287,3,67.33,26.825,40.505,0.0012498849999999998,0.025711919999999996
1548451019.0,88,4,67.33,26.805,40.525,0.00038323999999999997,0.02463685714285714
1548453426.0,449,2,65.135,26.775,38.36,0.001955395,0.0014794918032786885
1548455833.5,254,4,62.685,26.755,35.93,0.0011061699999999999,0.06986336842105262
1548455890.5,250,2,62.43,26.765,35.665,0.0010887499999999999,0.06876315789473683
1548455947.5,244,4,62.81,26.775,36.035,0.00106262,0.06711284210526317
