Stove Type,Laser 530,Latitude,64.8388,Longitude,-148.064,,,
Timestamp of the clicks per interval,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,State of the stove per interval of clicks,Indoor temperature per interval,Outdoor temperature per interval,Temperature difference per interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Number of clicks,Integer units corresponding to power states; -1 indicates powered off,F,F,F,US gallons,US gallons per hour
1543920434.5,1,1,69.415,11.53,57.885,2.907e-06,3.027249059878507e-06
1543922330.0,2764,2,67.565,10.715,56.85,0.008034948,0.08660422994011976
1543922962.0,5867,4,69.205,10.585,58.62,0.017055369,0.06602078322580646
1544020159.5,29728,4,69.325,12.485,56.84,0.08641929599999999,0.0016080917251182383
1544116920.5,12,1,68.515,14.475,54.04,3.4884e-05,0.0022032
1544117104.0,2504,4,68.63,14.465,54.165,0.007279127999999999,0.08453180903225806
1544117286.5,346,2,68.98,14.455,54.525,0.001005822,0.06583562181818181
1544117413.5,1252,4,69.565,14.445,55.12,0.0036395639999999996,0.06584135879396984
1544119718.0,5,1,68.265,13.72,54.545,1.4534999999999999e-05,1.1865306122448978e-05
1544122090.0,2773,2,67.445,12.915,54.53,0.008061111,0.08688622634730539
1544122673.5,5254,4,68.625,12.625,56.0,0.015273377999999999,0.06600739591836735
1544128866.0,3,1,67.91,10.885,57.025,8.721e-06,2.717763157894737e-06
1544134811.0,2813,2,67.325,9.385,57.94,0.008177391,0.0870964721893491
1544135246.0,3355,4,68.625,9.47,59.155,0.009752984999999999,0.06599764285714285
1544137970.5,422,1,68.03,9.69,58.34,0.001226754,0.0008981725442342892
1544140577.0,2357,4,66.85,9.86,56.99,0.0068517989999999996,0.08333269054054053
1544140753.5,357,2,66.49,9.86,56.63,0.001037799,0.0655452
1544141255.0,5969,4,67.905,10.14,57.765,0.017351883,0.06603253572938689
1544143436.0,63,1,68.265,11.48,56.785,0.000183141,0.00019300573770491804
1544145295.5,2417,2,67.21,12.645,54.565,0.007026218999999999,0.08347982970297028
1544146044.0,7538,4,68.275,13.17,55.105,0.021912966,0.06606924422110552
1544148079.0,1,1,67.915,14.595,53.32,2.907e-06,3.6388038942976352e-06
1544149680.5,2699,4,67.21,15.715,51.495,0.007845992999999999,0.08637790458715595
1544149872.5,359,2,67.45,15.85,51.6,0.0010436129999999999,0.0659124
1544150438.5,6783,4,68.39,16.245,52.145,0.019718180999999998,0.06603297823255813
1544152384.5,472,1,68.03,17.335,50.695,0.0013721039999999999,0.001753487539936102
1544153933.5,2239,4,67.09,18.11,48.98,0.006508773,0.08338641565836298
1544154104.0,376,2,67.685,18.185,49.5,0.0010930319999999999,0.06558192
1544154661.0,6652,4,68.505,18.435,50.07,0.019337364,0.06604792258064515
1544156507.0,0,1,67.305,19.005,48.3,0.0,0.0
1544157990.0,2698,2,66.6,19.38,47.22,0.007843085999999999,0.0860826512195122
1544158702.0,6915,4,68.855,19.545,49.31,0.020101905,0.06602815510948905
1544160579.0,3,1,67.9,19.935,47.965,8.721e-06,1.1811738148984198e-05
1544162071.5,2695,4,66.845,20.235,46.61,0.007834365,0.08624988990825687
1544162263.5,356,2,67.8,20.275,47.525,0.001034892,0.0653616
1544162893.5,7590,4,68.74,20.265,48.475,0.022064129999999998,0.06602732169576059
1544166931.0,8370,1,68.265,20.43,47.835,0.02433159,0.012746467403958092
1544170530.5,2699,4,67.21,20.56,46.65,0.007845992999999999,0.08637790458715595
1544170722.5,358,2,67.805,20.5,47.305,0.001040706,0.0657288
1544171314.5,7111,4,68.51,20.325,48.185,0.020671677,0.06603197622005325
1544173331.5,2,1,67.915,19.92,47.995,5.814e-06,7.199999999999999e-06
1544174949.0,2707,4,67.09,19.67,47.42,0.007869249,0.08636980609756097
1544175141.5,357,2,67.21,19.66,47.55,0.001037799,0.0655452
1544175756.0,7398,4,68.035,19.63,48.405,0.021505985999999998,0.06605934266211604
1544178070.5,2,1,68.035,19.965,48.07,5.814e-06,6.054498119757014e-06
1544179964.5,2744,2,67.33,20.37,46.96,0.007976808,0.08675682416918429
1544180537.5,5140,4,68.39,20.595,47.795,0.014941979999999999,0.06600138404907975
1544182688.5,42,1,68.625,21.665,46.96,0.000122094,0.00012605058789790652
1544184595.5,2698,2,67.685,22.58,45.105,0.007843085999999999,0.08634590091743119
1544185352.5,7486,4,68.505,22.73,45.775,0.021761802,0.0660004104465038
