Stove Type,Laser 530,Latitude,64.8388,Longitude,-148.064,,,
Timestamp of each PUMA device reading,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",F,F,F
1543918706.0,71,12,59
1543919064.0,72,12,60
1543919363.0,69,11,57
1543919663.0,68,11,56
1543919963.0,68,11,56
1543920263.0,68,11,56
1543920563.0,67,11,56
1543920863.0,65,11,54
1543921163.0,67,10,56
1543921463.0,66,10,55
1543921762.0,66,10,55
1543922062.0,67,10,56
1543922163.0,67,10,56
1543922497.0,68,10,57
1543922853.0,68,10,58
1543923153.0,69,10,59
1543923427.0,70,10,59
1543923784.0,68,10,58
1543924084.0,68,10,57
1543924384.0,67,10,57
1543924683.0,67,10,57
1544116892.0,68,14,53
1544116949.0,68,14,54
1544117259.0,68,14,54
1544117314.0,69,14,55
1544117513.0,69,14,55
1544117868.0,69,14,54
1544118168.0,68,14,54
1544118468.0,68,14,54
1544118769.0,69,14,54
1544119069.0,68,14,53
1544119369.0,68,14,54
1544119670.0,67,14,53
1544119970.0,67,13,53
1544120270.0,67,13,53
1544120570.0,67,13,53
1544120870.0,67,13,54
1544121170.0,66,13,53
1544121471.0,66,13,53
1544121771.0,66,13,53
1544121923.0,66,13,53
1544122257.0,68,12,55
1544122616.0,68,12,55
1544122916.0,69,12,56
1544123090.0,69,12,56
1544123447.0,68,12,56
1544123747.0,68,12,56
1544124047.0,68,11,56
1544124347.0,69,11,57
1544124648.0,68,11,56
1544124948.0,68,11,56
1544125248.0,68,11,57
1544125549.0,68,11,57
1544125849.0,68,11,57
1544126149.0,68,10,57
1544126463.0,66,10,56
1544126764.0,68,10,57
1544127064.0,68,10,58
1544127364.0,68,10,57
1544127664.0,68,10,58
1544127964.0,68,9,58
1544128265.0,67,9,58
1544128565.0,68,9,58
1544128865.0,68,9,58
1544129165.0,68,9,58
1544129465.0,67,8,58
