Stove Type,Laser 730,Latitude,64.92216,Longitude,-147.931,,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,F,F,F
1543923885.0,1,0,70.14,10.4,59.74
1543924084.0,4,2039,70.37,10.36,60.01
1543927796.0,1,2153,68.98,9.92,59.06
1543928127.0,2,5680,69.68,9.89,59.79
1543931903.0,4,35819,72.65,9.33,63.32
1543936097.0,1,35822,68.28,7.37,60.91
1543936428.0,4,39341,69.91,7.27,62.64
1543936485.0,2,39792,70.83,7.25,63.58
1543940116.0,4,68778,70.6,6.71,63.89
1543946649.0,1,68781,68.75,7.76,60.99
1543946983.0,4,72353,69.91,7.59,62.32
1543947040.0,2,72804,70.83,7.56,63.27
1543948517.0,4,84597,71.74,6.82,64.92
1543960567.0,1,84601,68.98,6.02,62.96
1543960890.0,4,88017,70.37,6.09,64.28
1543960947.0,2,88469,70.6,6.09,64.51
1543962924.0,4,104247,72.19,6.29,65.9
1543967534.0,1,104442,68.04,8.32,59.72
1543967855.0,2,107815,70.14,8.51,61.63
1543972293.0,4,143238,71.74,13.12,58.62
1543977374.0,1,143239,68.75,15.15,53.6
1543977704.0,4,146732,70.37,15.22,55.15
1543977761.0,2,147184,69.91,15.23,54.68
1543980869.0,4,171740,72.19,14.51,57.68
1548288130.0,4,10739646,72.19,12.98,59.21
1548291948.0,1,10739647,68.04,14.86,53.18
1548292299.0,2,10743361,69.91,15.0,54.91
1548295530.0,4,10769155,71.74,16.21,55.53
1548299448.0,1,10769156,68.04,16.44,51.6
1548299799.0,2,10772877,69.68,16.3,53.38
1548302728.0,4,10796257,71.74,15.01,56.73
1548306494.0,1,10796257,68.04,12.24,55.8
1548306844.0,2,10799974,70.14,12.01,58.13
1548310196.0,4,10826671,71.52,10.13,61.39
1548314188.0,1,10826671,68.75,9.09,59.66
1548314539.0,2,10830392,70.14,8.88,61.26
1548317592.0,4,10854733,72.19,7.32,64.87
1548321739.0,1,10854733,69.21,5.95,63.26
1548322090.0,2,10858451,69.45,5.78,63.67
1548325333.0,4,10884340,72.42,5.02,67.4
1548329496.0,1,10884342,68.51,5.93,62.58
1548329847.0,2,10888058,70.83,6.03,64.8
1548332498.0,4,10909225,72.42,6.12,66.3
1548336756.0,1,10909450,69.45,4.95,64.5
1548337079.0,2,10912857,70.14,4.86,65.28
1548339862.0,4,10935067,72.19,3.73,68.46
1548344266.0,1,10935068,69.21,5.04,64.17
1548344617.0,2,10938785,71.29,5.41,65.88
1548347776.0,4,10963998,71.29,7.75,63.54
1548352489.0,1,10963998,68.75,8.76,59.99
1548352840.0,2,10967719,69.91,8.81,61.1
1548355607.0,4,10989813,71.52,10.74,60.78
1548360097.0,1,10989816,68.75,14.65,54.1
1548360450.0,2,10993547,70.37,15.06,55.31
1548363023.0,4,11014084,72.19,18.02,54.17
1548367427.0,1,11014085,68.75,19.09,49.66
1548367779.0,2,11017801,70.14,19.16,50.98
1548370961.0,4,11043202,71.29,19.75,51.54
1548375545.0,1,11043360,68.75,18.84,49.91
1548375896.0,2,11047009,70.83,18.61,52.22
1548378429.0,4,11067229,72.65,17.18,55.47
1548382905.0,1,11067232,68.04,15.85,52.19
1548383257.0,2,11070946,69.91,15.62,54.29
1548385805.0,4,11091293,72.19,14.03,58.16
1548390288.0,1,11091296,68.75,12.45,56.3
1548390639.0,2,11095017,69.91,12.47,57.44
1548393631.0,4,11118899,71.52,12.07,59.45
1548398463.0,1,11118900,68.28,10.87,57.41
1548398815.0,2,11122621,70.6,10.84,59.76
1548401183.0,4,11141525,71.97,10.29,61.68
1548405752.0,1,11141530,68.51,10.96,57.55
1548406103.0,2,11145246,69.45,11.13,58.32
1548408722.0,4,11166153,71.74,12.63,59.11
1548413512.0,1,11166154,68.04,14.11,53.93
1548413863.0,2,11169875,70.6,14.16,56.44
1548416615.0,4,11191787,71.74,14.83,56.91
1548422074.0,1,11191787,69.45,17.9,51.55
1548422426.0,2,11195509,69.91,18.09,51.82
1548424577.0,4,11212529,72.19,19.28,52.91
1548429329.0,1,11212529,68.75,21.22,47.53
1548429680.0,2,11216252,69.91,21.5,48.41
1548431966.0,4,11227773,71.74,23.33,48.41
1548437180.0,1,11228214,68.75,25.33,43.42
1548437488.0,2,11231403,69.68,25.47,44.21
1548439862.0,4,11250351,71.97,26.41,45.56
1548445147.0,1,11250352,68.98,27.26,41.72
1548445485.0,2,11253980,70.37,27.27,43.1
1548448300.0,4,11276141,72.19,27.13,45.06
1548453941.0,1,11276142,68.51,26.47,42.04
1548454279.0,4,11279768,69.91,26.52,43.39
1548454336.0,2,11280221,70.83,26.53,44.3
1548456476.0,4,11297306,71.97,26.85,45.12
1548461567.0,1,11297306,68.04,28.08,39.96
1548461905.0,2,11300927,69.68,28.1,41.58
1548464168.0,4,11305127,71.97,28.21,43.76
1548469591.0,1,11305132,68.51,29.66,38.85
1548469929.0,2,11308750,70.14,29.66,40.48
1548472613.0,4,11330176,73.09,30.62,42.47
1548478342.0,1,11330179,69.21,32.45,36.76
1548478681.0,2,11333813,70.6,32.38,38.22
1548480685.0,4,11349804,72.42,32.27,40.15
1548485469.0,1,11349807,68.75,32.18,36.57
1548485807.0,4,11353429,70.6,32.18,38.42
1548485863.0,2,11353880,70.83,32.18,38.65
1548488456.0,4,11374573,71.74,31.07,40.67
1550067227.0,1,11401322,14.47,13.85,0.62
1550067530.0,0,11406885,62.69,13.53,49.16
1550069850.0,1,11454491,69.91,11.1,58.81
1550073102.0,2,11500828,70.6,10.78,59.82
1550074006.0,1,11508047,68.04,11.27,56.77
1550074591.0,4,11516383,70.83,12.0,58.83
1550074669.0,2,11517002,70.83,12.1,58.73
1550095803.0,4,11685704,71.74,12.05,59.69
1550098174.0,1,11685704,68.04,11.46,56.58
1550098511.0,4,11689307,69.45,11.37,58.08
1550098550.0,2,11689625,69.68,11.36,58.32
1550105871.0,4,11748058,71.74,9.37,62.37
1550108578.0,1,11748058,67.8,8.8,59.0
1550108915.0,2,11751671,69.21,8.74,60.47
1550114543.0,4,11796595,71.29,7.79,63.5
1550117251.0,1,11796597,68.04,7.25,60.79
1550117589.0,2,11800211,69.45,7.18,62.27
1550122776.0,4,11841549,72.19,6.14,66.05
1550125623.0,1,11841549,68.75,5.41,63.34
1550125961.0,4,11845165,69.45,5.31,64.14
1550126003.0,2,11845496,69.91,5.3,64.61
1550130875.0,4,11884153,71.52,3.02,68.5
1550133703.0,1,11884718,68.04,-0.29,68.33
1550133999.0,4,11887756,69.45,-0.66,70.11
1550134039.0,2,11888074,69.68,-0.71,70.39
1550138627.0,4,11924699,71.74,-1.57,73.31
1550141407.0,1,11925048,69.21,-0.46,69.67
1550141719.0,4,11928292,69.68,-0.33,70.01
1550141764.0,2,11928651,70.14,-0.31,70.45
1550146288.0,4,11964765,71.29,0.6,70.69
1550149675.0,1,11964768,67.8,1.06,66.74
1550150015.0,4,11968398,69.68,1.08,68.6
1550150055.0,2,11968716,69.91,1.08,68.83
1550154564.0,4,12004713,71.29,1.48,69.81
1550157806.0,1,12004715,68.51,1.76,66.75
1550158144.0,4,12008336,69.91,1.76,68.15
1550158186.0,2,12008667,70.14,1.76,68.38
1550162824.0,4,12045693,71.97,1.9,70.07
1550165859.0,1,12045694,68.75,2.62,66.13
1550166196.0,4,12049302,69.68,2.72,66.96
1550166238.0,2,12049633,69.68,2.73,66.95
1550170997.0,4,12087626,72.42,5.47,66.95
1550173917.0,1,12087628,68.98,7.07,61.91
1550174254.0,2,12091233,69.45,7.26,62.19
1550180158.0,4,12138360,71.74,8.17,63.57
1550183243.0,1,12138363,68.98,9.01,59.97
1550183581.0,4,12141981,69.45,9.1,60.35
1550183621.0,2,12142299,69.45,9.11,60.34
1550189307.0,4,12187687,71.97,8.35,63.62
1550192455.0,1,12187689,67.8,4.56,63.24
1550192792.0,4,12191301,69.45,4.07,65.38
1550192834.0,2,12191632,70.37,4.01,66.36
1550198117.0,4,12233802,71.52,-4.18,75.7
1550201089.0,1,12233803,68.51,-7.3,75.81
1550201428.0,2,12237429,69.45,-7.43,76.88
1550207952.0,4,12289508,71.97,-9.35,81.32
1550210944.0,1,12289510,68.28,-9.43,77.71
1550211282.0,2,12293139,68.98,-9.79,78.77
1550217971.0,4,12346353,71.74,-12.0,83.74
1550220933.0,1,12346353,67.8,-14.07,81.87
1550221271.0,2,12349967,69.68,-14.32,84.0
1550226976.0,4,12395510,72.19,-18.41,90.6
1550229813.0,1,12395512,68.04,-19.26,87.3
1550230151.0,2,12399128,69.91,-19.3,89.21
1550235095.0,4,12438594,72.19,-21.65,93.84
1550238118.0,1,12438594,68.75,-22.13,90.88
1550238456.0,2,12442211,69.45,-22.14,91.59
1550243282.0,4,12480737,71.74,-22.79,94.53
1550246074.0,1,12480864,68.51,-23.21,91.72
1550251243.0,4,12522992,71.52,-23.42,94.94
1550253976.0,1,12522994,68.75,-21.68,90.43
1550254315.0,4,12526618,68.98,-21.07,90.05
1550254355.0,2,12526936,69.45,-21.0,90.45
1550261212.0,4,12581668,71.52,-8.63,80.15
1550264311.0,1,12581668,67.8,-5.53,73.33
1550264650.0,4,12585287,69.21,-5.27,74.48
1550264692.0,2,12585619,69.91,-5.24,75.15
1550269873.0,4,12626979,72.65,-1.61,74.26
1550272566.0,1,12626979,67.57,-0.06,67.63
1550272903.0,2,12630576,70.14,0.06,70.08
1550277638.0,4,12668374,71.97,-0.12,72.09
1550280373.0,1,12668376,68.04,-1.52,69.56
1550280711.0,2,12671989,69.68,-1.73,71.41
1550286184.0,4,12715671,71.97,-8.31,80.28
1550289032.0,1,12715671,68.51,-8.17,76.68
1550289370.0,4,12719290,69.45,-8.15,77.6
1550289410.0,2,12719608,69.91,-8.15,78.06
1550294487.0,4,12760139,71.52,-8.9,80.42
1550297366.0,1,12760140,67.8,-10.28,78.08
1550297702.0,4,12763741,69.91,-10.48,80.39
1550297744.0,2,12764072,69.68,-10.51,80.19
1550302508.0,4,12802102,71.29,-12.42,83.71
1550305364.0,1,12802106,68.04,-13.39,81.43
1550305700.0,4,12805699,70.14,-13.57,83.71
1550305742.0,2,12806031,68.75,-13.6,82.35
1550310722.0,4,12845786,71.97,-15.24,87.21
1550313885.0,1,12845788,68.28,-14.94,83.22
1550314224.0,2,12849411,69.45,-14.89,84.34
1550318838.0,4,12886243,71.74,-14.18,85.92
