Stove Type,Laser 530,Latitude,64.92216,Longitude,-147.931,,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Thermistor resistance of the indoor thermistor
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Thermistor resistance (ohms)
1543924837.0,1,0,11704
1543925083.0,4,2070,6717
1543925440.0,-1,-1,10535
1543925739.0,-1,-1,10479
1543926039.0,-1,-1,11251
1543926339.0,-1,-1,11314
1543926639.0,-1,-1,11571
1543926939.0,-1,-1,11637
1543927239.0,-1,-1,11906
1543927539.0,-1,-1,12045
1543927839.0,-1,-1,12115
1543927896.0,0,2104,12257
1543927951.0,1,2801,11637
1543928240.0,4,5848,10825
1543928603.0,-1,-1,11314
1543928903.0,-1,-1,11506
1543929204.0,-1,-1,11441
1543929504.0,-1,-1,11838
1543929804.0,-1,-1,12329
1543930104.0,-1,-1,12045
1543930404.0,-1,-1,12329
1543930704.0,-1,-1,11975
1543931003.0,-1,-1,11838
1543931303.0,-1,-1,11975
1543931604.0,-1,-1,11975
1543931904.0,-1,-1,12257
1543932204.0,-1,-1,11975
1543932504.0,-1,-1,12115
1543932804.0,-1,-1,12329
1543933103.0,-1,-1,12401
1543933403.0,-1,-1,12257
1543933460.0,0,5850,12549
1543933517.0,1,6567,12329
1543933837.0,4,9870,10884
1543934193.0,-1,-1,11704
1543934493.0,-1,-1,11571
1543934793.0,-1,-1,11704
1543935093.0,-1,-1,12045
1543935393.0,-1,-1,12045
1543935665.0,0,9870,12115
1543935721.0,1,10565,12185
1543936043.0,4,13866,11004
1543936400.0,-1,-1,11251
1543936700.0,-1,-1,11188
1543936999.0,-1,-1,11506
1543937300.0,-1,-1,12115
1543937600.0,-1,-1,12115
1543937900.0,-1,-1,12045
1543938200.0,-1,-1,11770
1543938500.0,-1,-1,12329
1543938800.0,-1,-1,12257
1543939099.0,-1,-1,12045
1543939399.0,-1,-1,12115
1543939699.0,-1,-1,11838
1543939999.0,-1,-1,12115
1543940299.0,-1,-1,11770
1543940599.0,-1,-1,12115
1543940899.0,-1,-1,12257
1543941199.0,-1,-1,12401
1543941433.0,0,13868,12624
1543941489.0,1,14583,12475
1543941759.0,4,17497,11004
1543941816.0,1,17944,11065
1543941872.0,4,18075,11314
1543942229.0,-1,-1,11571
1543942529.0,-1,-1,11065
1543942829.0,-1,-1,11770
1543943128.0,-1,-1,12185
1543943428.0,-1,-1,12185
1543943710.0,0,18075,12115
1543943766.0,1,18771,12329
1543944033.0,4,21642,11506
1543944090.0,1,22089,11188
1543944148.0,4,22175,11004
1543944505.0,-1,-1,11251
1543944805.0,-1,-1,11251
1543945105.0,-1,-1,11506
1543945405.0,-1,-1,11770
1543945705.0,-1,-1,11975
1543946005.0,-1,-1,12115
1543946084.0,0,22176,12549
1543946140.0,1,22875,12257
1543946407.0,4,25754,10944
1543946764.0,-1,-1,11251
1543947064.0,-1,-1,11314
1543947364.0,-1,-1,11637
1543947664.0,-1,-1,12045
1543947964.0,-1,-1,12115
