Stove Type,M422,Latitude,64.8601,Longitude,-147.895,,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,F,F,F
1544032340.0,1,360,73.32,18.76,54.56
1544032402.0,0,871,82.72,18.8,63.92
1544032512.0,4,2017,70.37,18.87,51.5
1544032568.0,3,2272,66.61,18.9,47.71
1544050089.0,4,80817,71.74,22.32,49.42
1544070910.0,2,80818,57.21,16.66,40.55
1544071330.0,4,82994,58.28,16.72,41.56
1544071386.0,3,83250,58.55,16.73,41.82
1544084112.0,4,140271,68.75,15.57,53.18
1544108731.0,2,140274,56.39,14.48,41.91
1544109090.0,4,142137,56.94,14.6,42.34
1544109163.0,3,142464,58.02,14.63,43.39
1548437187.0,4,197033,59.08,25.33,33.75
1548441946.0,2,197034,55.01,26.93,28.08
1548442359.0,3,199162,55.01,27.03,27.98
1548443172.0,4,202816,57.75,27.16,30.59
1548484431.0,4,202816,58.82,32.18,26.64
1548484805.0,2,202817,58.28,32.18,26.1
1548485104.0,1,204371,58.82,32.18,26.64
1548485176.0,0,205053,59.6,32.18,27.42
1548485344.0,1,206806,60.64,32.18,28.46
1548485434.0,2,207535,60.9,32.18,28.72
1548485491.0,3,207811,61.67,32.18,29.49
1548487165.0,4,215338,63.44,31.66,31.78
1548490741.0,2,215340,59.6,29.25,30.35
1548491070.0,3,217051,60.9,28.87,32.03
1548492701.0,4,224314,63.44,26.99,36.45
1548496206.0,2,224316,60.39,26.42,33.97
1548496636.0,3,226495,61.16,26.42,34.74
1548498184.0,4,233458,63.69,25.87,37.82
1548499005.0,2,233459,63.44,25.54,37.9
1548499305.0,1,235014,63.93,25.42,38.51
1548499361.0,0,235529,63.44,25.4,38.04
1548499515.0,1,237137,64.92,25.33,39.59
1548499575.0,2,237623,64.43,25.31,39.12
1548499647.0,3,237968,65.16,25.28,39.88
1548503816.0,4,256713,67.57,23.44,44.13
1548506590.0,2,256717,64.43,22.84,41.59
1548507035.0,3,258988,64.43,22.75,41.68
1548509661.0,4,270794,67.33,23.05,44.28
1548512497.0,2,270797,63.69,23.49,40.2
1548512857.0,4,272664,65.16,23.53,41.63
1548512929.0,3,272990,64.92,23.53,41.39
1548515761.0,4,285430,67.33,23.96,43.37
1548518684.0,2,285431,63.93,24.63,39.3
1548519133.0,4,287763,65.16,24.66,40.5
1548519190.0,3,288019,65.4,24.66,40.74
1548521332.0,4,297648,67.57,24.77,42.8
1548524586.0,2,297649,63.44,24.54,38.9
1548524916.0,3,299362,64.67,24.51,40.16
1548526893.0,4,308247,67.09,23.21,43.88
1548529922.0,2,308249,63.93,20.66,43.27
1548530335.0,3,310377,64.92,20.45,44.47
1548532304.0,4,319228,68.04,19.47,48.57
1548535149.0,2,319386,64.43,18.87,45.56
1548535562.0,3,321514,64.43,18.81,45.62
1548537933.0,4,332174,67.33,19.22,48.11
1548540598.0,2,332176,63.19,19.76,43.43
1548541011.0,3,334283,65.16,19.64,45.52
1548543129.0,4,343807,67.8,19.0,48.8
1548545962.0,2,343971,63.69,18.27,45.42
1548546290.0,4,345674,64.67,18.19,46.48
1548546363.0,3,346001,65.65,18.17,47.48
1548546622.0,4,347166,65.4,18.1,47.3
1548552060.0,2,347166,61.16,16.0,45.16
1548552505.0,3,349438,61.67,15.69,45.98
1548553421.0,4,353554,63.19,15.05,48.14
1548556937.0,2,353559,60.13,10.43,49.7
1548557382.0,3,355852,61.42,9.74,51.68
1548558696.0,4,361583,63.44,8.68,54.76
1548562223.0,2,361583,60.64,8.05,52.59
1548562553.0,3,363295,60.39,7.95,52.44
1548563915.0,4,369419,63.93,7.55,56.38
1548567139.0,2,369423,60.9,6.48,54.42
1548567468.0,4,371130,61.16,6.37,54.79
1548567524.0,3,371385,61.67,6.35,55.32
1548569254.0,4,379163,64.18,5.95,58.23
1548572572.0,2,379163,60.64,6.38,54.26
1548572902.0,4,380871,60.64,6.61,54.03
1548572974.0,3,381197,61.16,6.66,54.5
1548574742.0,4,389148,63.93,7.9,56.03
1548577973.0,2,389461,60.39,9.57,50.82
1548578272.0,3,391015,60.9,9.69,51.21
1548580227.0,4,399803,64.18,10.44,53.74
1548583559.0,2,399804,60.64,11.87,48.77
1548583889.0,3,401515,61.16,12.24,48.92
1548585340.0,4,408040,63.19,13.83,49.36
1548588488.0,2,408295,60.64,15.27,45.37
1548588769.0,3,409754,60.39,15.24,45.15
1548590128.0,4,415864,63.93,15.11,48.82
1548593560.0,2,416003,60.39,12.24,48.15
1548593863.0,4,417574,60.9,11.96,48.94
1548593936.0,3,417900,60.13,11.9,48.23
1548595622.0,4,425483,62.69,10.62,52.07
1548599071.0,2,425571,60.9,9.07,51.83
1548599384.0,4,427194,59.6,9.05,50.55
1548599441.0,3,427449,60.39,9.05,51.34
1548601355.0,4,436000,64.43,8.98,55.45
1548604714.0,2,436000,60.13,9.49,50.64
1548605044.0,4,437711,60.9,9.57,51.33
1548605117.0,3,438037,60.9,9.6,51.3
1548606431.0,4,443878,62.94,9.99,52.95
1548609634.0,2,443880,60.64,10.52,50.12
1548609963.0,4,445588,60.64,10.5,50.14
1548610020.0,3,445842,61.16,10.5,50.66
1548611700.0,4,453396,63.19,10.42,52.77
1548615018.0,2,453400,60.13,10.7,49.43
1548615431.0,3,455507,61.67,10.74,50.93
1548617160.0,4,463281,63.19,11.31,51.88
1548620277.0,2,463330,59.87,12.24,47.63
1548620628.0,3,465150,60.13,12.31,47.82
1548622437.0,4,473281,63.44,12.67,50.77
1548625366.0,2,473284,59.87,14.02,45.85
1548625779.0,3,475412,60.39,14.23,46.16
1548627727.0,4,484173,64.43,14.61,49.82
1548633270.0,2,484174,60.13,15.21,44.92
1548633600.0,4,485884,59.34,15.26,44.08
1548633762.0,3,486614,60.13,15.24,44.89
1548634657.0,4,490638,60.9,15.1,45.8
1548638292.0,2,490642,58.28,14.88,43.4
1548638621.0,4,492350,58.55,14.93,43.62
1548638694.0,3,492676,59.6,14.94,44.66
1548639922.0,4,498202,61.16,15.13,46.03
1548643543.0,2,498206,58.82,15.26,43.56
1548643872.0,3,499917,58.82,15.26,43.56
1548645037.0,4,505155,61.42,15.39,46.03
1548648388.0,2,505156,58.55,16.02,42.53
1548648718.0,3,506867,58.28,16.05,42.23
1548650099.0,4,513077,60.64,16.19,44.45
1548653515.0,2,513333,57.48,16.15,41.33
1548653827.0,3,514949,58.82,16.12,42.7
1548655276.0,4,521467,61.67,15.98,45.69
1548658580.0,2,521468,58.28,15.81,42.47
1548658910.0,3,523180,58.82,15.86,42.96
1548660316.0,4,529503,61.42,16.63,44.79
1548663558.0,2,529509,57.75,17.9,39.85
1548663886.0,4,531216,58.55,17.93,40.62
1548663959.0,3,531543,59.6,17.94,41.66
1548664883.0,4,535698,61.42,18.03,43.39
1548679170.0,2,535702,55.01,18.68,36.33
1548679499.0,4,537410,55.57,18.64,36.93
1548679572.0,3,537736,57.21,18.62,38.59
1548680225.0,4,540671,58.28,18.53,39.75
1548684617.0,2,540674,55.01,17.77,37.24
1548684947.0,3,542386,55.57,17.68,37.89
1548685889.0,4,546622,58.02,17.39,40.63
1548689938.0,2,546626,54.73,17.35,37.38
1548690268.0,4,548337,55.29,17.41,37.88
1548690324.0,3,548591,55.84,17.42,38.42
1548691279.0,4,552885,58.02,17.59,40.43
1548695128.0,2,552886,55.01,17.22,37.79
1548695458.0,3,554598,55.01,17.21,37.8
1548696530.0,4,559419,58.02,17.15,40.87
1548700310.0,2,559419,54.73,17.92,36.81
1548700670.0,4,561286,56.39,18.08,38.31
1548700726.0,3,561540,55.57,18.11,37.46
1548701815.0,4,566435,58.55,18.6,39.95
1548705547.0,2,566617,54.73,20.99,33.74
1548705872.0,4,568301,58.02,21.12,36.9
1548705945.0,3,568628,55.84,21.14,34.7
1548706859.0,4,572740,58.28,21.46,36.82
1548708111.0,2,572741,57.48,21.9,35.58
1548708411.0,0,574298,57.75,22.0,35.75
1548709307.0,1,583648,62.18,22.32,39.86
1548709577.0,2,585836,63.69,22.41,41.28
1548709634.0,3,586110,63.19,22.43,40.76
1548715921.0,4,614379,66.85,24.01,42.84
1548722670.0,2,614437,58.55,24.26,34.29
1548723084.0,3,616557,59.87,24.26,35.61
1548724023.0,4,620781,61.93,24.3,37.63
1548727873.0,2,620785,58.55,24.69,33.86
1548728232.0,4,622648,58.82,24.72,34.1
1548728289.0,3,622902,58.82,24.73,34.09
1548729475.0,4,628239,61.93,24.85,37.08
1548733144.0,2,628242,58.55,24.63,33.92
1548733504.0,3,630107,58.82,24.57,34.25
1548734849.0,4,636120,61.67,24.42,37.25
1548738371.0,2,636121,58.02,24.24,33.78
1548738701.0,3,637832,59.6,24.22,35.38
1548740183.0,4,644495,61.67,24.15,37.52
1548743998.0,2,644498,58.82,23.24,35.58
1548744328.0,4,646209,59.08,23.13,35.95
1548744401.0,3,646536,59.08,23.1,35.98
1548745624.0,4,652034,62.18,22.8,39.38
1548749425.0,2,652036,59.08,22.58,36.5
1548749854.0,3,654237,59.87,22.53,37.34
1548750749.0,4,658261,61.93,22.45,39.48
1548751519.0,4,658261,60.64,22.37,38.27
1548754638.0,2,658517,58.55,21.61,36.94
1548754919.0,3,659973,60.39,21.52,38.87
1548756129.0,4,665417,61.67,21.19,40.48
1548759671.0,2,665422,57.75,21.03,36.72
1548760084.0,3,667530,58.28,21.09,37.19
1548761291.0,4,672956,62.18,21.27,40.91
1548764836.0,2,672958,58.28,21.97,36.31
1548765166.0,4,674669,59.34,22.05,37.29
1548765238.0,3,674996,59.87,22.07,37.8
1548766280.0,4,679679,60.9,22.33,38.57
1548769788.0,2,679679,58.55,22.76,35.79
1548770118.0,4,681390,58.82,22.79,36.03
1548770175.0,3,681644,59.08,22.8,36.28
1548771408.0,4,687191,61.93,22.97,38.96
1548775342.0,2,687195,58.55,23.43,35.12
1548775671.0,4,688902,58.02,23.44,34.58
1548775728.0,3,689159,59.34,23.45,35.89
1548776803.0,4,693994,61.93,23.5,38.43
1548780452.0,2,693998,58.02,23.54,34.48
1548780782.0,4,695709,59.34,23.54,35.8
1548780839.0,3,695966,58.55,23.54,35.01
1548781977.0,4,701081,61.42,23.58,37.84
1548785559.0,2,701084,58.82,23.8,35.02
1548785859.0,4,702639,58.55,23.83,34.72
1548793321.0,2,702640,54.45,24.88,29.57
1548793750.0,3,704842,56.39,24.97,31.42
1548794495.0,4,707919,58.02,25.12,32.9
1548800667.0,2,707921,54.45,25.74,28.71
1548801096.0,3,710120,55.84,25.8,30.04
1548801837.0,4,713451,58.02,25.92,32.1
1548803373.0,2,713453,56.67,25.92,30.75
1548803672.0,1,715008,57.75,25.84,31.91
1548803729.0,0,715526,56.94,25.83,31.11
1548803912.0,1,717441,59.34,25.78,33.56
1548803972.0,4,717927,59.08,25.77,33.31
1548804029.0,3,718203,59.6,25.75,33.85
1548806745.0,4,730417,62.18,24.82,37.36
1548809399.0,2,730421,58.28,22.16,36.12
1548809826.0,3,732633,58.82,21.73,37.09
