Stove Type,M422,Latitude,64.8601,Longitude,-147.895,,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Thermistor resistance of the indoor thermistor
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Thermistor resistance (ohms)
1544032340.0,1,360,10944
1544032402.0,0,871,8713
1544032512.0,4,2017,11770
1544032568.0,3,2272,12930
1544032941.0,-1,-1,13664
1544033241.0,-1,-1,13836
1544033541.0,-1,-1,13836
1544033841.0,-1,-1,13750
1544034141.0,-1,-1,13750
1544034441.0,-1,-1,13664
1544034741.0,-1,-1,13495
1544035041.0,-1,-1,13412
1544035341.0,-1,-1,13412
1544035641.0,-1,-1,13495
1544035941.0,-1,-1,13330
1544036241.0,-1,-1,13167
1544036541.0,-1,-1,13412
1544036841.0,-1,-1,13330
1544037141.0,-1,-1,13008
1544037441.0,-1,-1,13008
1544037741.0,-1,-1,13087
1544038041.0,-1,-1,13087
1544038341.0,-1,-1,12852
1544038641.0,-1,-1,12930
1544038941.0,-1,-1,12852
1544039241.0,-1,-1,12549
1544039541.0,-1,-1,12852
1544039841.0,-1,-1,12699
1544040141.0,-1,-1,12624
1544040441.0,-1,-1,12775
1544040741.0,-1,-1,12401
1544041041.0,-1,-1,12699
1544041341.0,-1,-1,12401
1544041640.0,-1,-1,12549
1544041940.0,-1,-1,12549
1544042240.0,-1,-1,12475
1544042540.0,-1,-1,12257
1544042840.0,-1,-1,12475
1544043140.0,-1,-1,12401
1544043439.0,-1,-1,12257
1544043739.0,-1,-1,12257
1544044040.0,-1,-1,12185
1544044340.0,-1,-1,12185
1544044640.0,-1,-1,12257
1544044940.0,-1,-1,12185
1544045240.0,-1,-1,12115
1544045540.0,-1,-1,12185
1544045840.0,-1,-1,11906
1544046140.0,-1,-1,11975
1544046440.0,-1,-1,11906
1544046739.0,-1,-1,11770
1544047039.0,-1,-1,11838
1544047339.0,-1,-1,11637
1544047639.0,-1,-1,11637
1544047938.0,-1,-1,11704
1544048237.0,-1,-1,11637
1544048537.0,-1,-1,11506
1544048836.0,-1,-1,11506
1544049135.0,-1,-1,11441
1544049434.0,-1,-1,11637
1544049733.0,-1,-1,11571
1544050033.0,-1,-1,11506
1544050089.0,4,80817,11377
1544050461.0,-1,-1,11571
1544050761.0,-1,-1,11838
1544051060.0,-1,-1,11975
1544051360.0,-1,-1,12115
1544051659.0,-1,-1,12475
1544051959.0,-1,-1,12624
1544052258.0,-1,-1,12624
1544052557.0,-1,-1,12775
1544052857.0,-1,-1,12930
1544053157.0,-1,-1,12930
1544053456.0,-1,-1,12930
1544053757.0,-1,-1,13167
1544054056.0,-1,-1,13167
1544054356.0,-1,-1,13412
1544054656.0,-1,-1,13579
1544054956.0,-1,-1,13836
1544055255.0,-1,-1,13664
1544055555.0,-1,-1,13923
1544055855.0,-1,-1,13923
1544056155.0,-1,-1,14191
1544056455.0,-1,-1,14101
1544056755.0,-1,-1,14101
1544057054.0,-1,-1,14191
1544057354.0,-1,-1,14374
1544057654.0,-1,-1,14467
1544057954.0,-1,-1,14374
1544061625.0,-1,-1,15248
1544061925.0,-1,-1,15248
1544062224.0,-1,-1,15559
1544062524.0,-1,-1,15455
1544062824.0,-1,-1,15351
1544063123.0,-1,-1,15455
1544063424.0,-1,-1,15351
1544063723.0,-1,-1,15881
1544064023.0,-1,-1,15665
1544064323.0,-1,-1,15772
1544064623.0,-1,-1,15772
1544064922.0,-1,-1,15665
1544065222.0,-1,-1,15665
1544065522.0,-1,-1,15665
1544065822.0,-1,-1,15772
1544066122.0,-1,-1,15881
1544066422.0,-1,-1,15990
1544066722.0,-1,-1,16101
1544067022.0,-1,-1,15772
1544067321.0,-1,-1,15990
1544067621.0,-1,-1,16213
1544067921.0,-1,-1,15455
1544068221.0,-1,-1,16213
1544068520.0,-1,-1,15881
1544068899.0,-1,-1,16327
1544069199.0,-1,-1,16213
1544069499.0,-1,-1,16327
1544069799.0,-1,-1,16794
1544070099.0,-1,-1,16442
1544070399.0,-1,-1,16101
1544070699.0,-1,-1,16675
1544070910.0,2,80818,16442
1544071266.0,-1,-1,16213
1544071330.0,4,82994,15990
1544071386.0,3,83250,15881
1544071759.0,-1,-1,15559
1544072059.0,-1,-1,15351
1544072359.0,-1,-1,15047
1544072659.0,-1,-1,14850
1544072959.0,-1,-1,14850
1544073259.0,-1,-1,14467
1544073560.0,-1,-1,14374
1544073860.0,-1,-1,14101
1544074160.0,-1,-1,14467
1544074460.0,-1,-1,14101
1544074760.0,-1,-1,14012
1544075060.0,-1,-1,13836
1544075360.0,-1,-1,13836
1544075660.0,-1,-1,13750
1544075960.0,-1,-1,13664
1544076259.0,-1,-1,13495
1544076559.0,-1,-1,13579
1544076859.0,-1,-1,13579
1544077159.0,-1,-1,13412
1544077459.0,-1,-1,13330
1544077759.0,-1,-1,13248
1544078058.0,-1,-1,13495
1544078358.0,-1,-1,13087
1544078658.0,-1,-1,13008
1544078958.0,-1,-1,13008
1544079258.0,-1,-1,13167
1544079558.0,-1,-1,13248
1544079858.0,-1,-1,13087
1544080158.0,-1,-1,12775
1544080458.0,-1,-1,12852
1544080757.0,-1,-1,12775
1544081057.0,-1,-1,12549
1544081357.0,-1,-1,12775
1544081657.0,-1,-1,12549
1544081957.0,-1,-1,12699
1544082257.0,-1,-1,12852
1544082557.0,-1,-1,12475
1544082857.0,-1,-1,12699
1544083156.0,-1,-1,12329
1544083456.0,-1,-1,12329
1544083756.0,-1,-1,12329
1544084055.0,-1,-1,12185
1544084112.0,4,140271,12257
