Stove Type,Laser 73/730,Latitude,64.87842,Longitude,-147.413,,,
Timestamp of the clicks per interval,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,State of the stove per interval of clicks,Indoor temperature per interval,Outdoor temperature per interval,Temperature difference per interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Number of clicks,Integer units corresponding to power states; -1 indicates powered off,F,F,F,US gallons,US gallons per hour
1544181580.0,1151,4,68.275,21.13,47.145,0.0038765680000000004,0.0969142
1544186871.0,4,1,67.44,22.785,44.655,1.3472e-05,4.646407357731367e-06
1544192121.0,786,2,66.25,24.395,41.855,0.002647248,0.15371117419354838
1544192234.5,1316,1,66.25,24.385,41.865,0.004432288,0.09670446545454546
1544192682.0,10875,2,67.56,24.365,43.195,0.036627,0.18062630136986302
1544195797.0,43518,4,69.79,23.555,46.235,0.146568624,0.09593582661818183
1544207787.0,1,1,68.36,23.44,44.92,3.368e-06,6.561038961038961e-07
1544217057.5,751,2,65.89,24.13,41.76,0.002529368,0.14927417704918033
1544217168.0,1275,1,65.89,24.17,41.72,0.004294200000000001,0.09661950000000001
1544217553.5,9112,2,67.32,24.305,43.015,0.030689216000000002,0.18082025793780687
1544219310.5,23024,4,69.33,24.785,44.545,0.07754483200000001,0.09616307102996902
1544235391.0,3,1,65.02,25.55,39.47,1.0104e-05,1.2432292022694648e-06
1544250043.5,575,2,60.13,25.935,34.195,0.0019366000000000001,0.1483353191489362
1544250151.0,1348,1,60.26,25.925,34.335,0.004540064,0.09728708571428571
1544250325.5,2694,0,60.905,25.91,34.995,0.009073392000000001,0.1804652552486188
1544251866.5,61288,1,67.37,25.755,41.615,0.206417984,0.25615468541882114
1544253961.5,18919,2,73.43,25.545,47.885,0.06371919200000001,0.17795895360744765
1544256932.5,36836,4,73.76,25.49,48.27,0.12406364800000001,0.09598734854932303
1544264301.5,4,1,70.415,23.495,46.92,1.3472e-05,4.8090431333663855e-06
1544269367.0,609,2,66.73,21.485,45.245,0.0020511120000000003,0.1605218086956522
1544269477.0,1387,1,66.97,21.47,45.5,0.004671416,0.09664998620689655
1544269867.5,9063,2,68.735,21.43,47.305,0.030524184000000003,0.1810330517298188
1544274005.0,60753,4,71.055,20.93,50.125,0.20461610400000002,0.0960638985915493
1544280097.0,1,1,70.475,20.29,50.185,3.368e-06,2.684853852967228e-06
1544282378.0,629,2,68.98,20.12,48.86,0.002118472,0.16579346086956523
1544282489.5,1413,1,68.98,20.12,48.86,0.004758984,0.09679289491525424
1544282955.0,11227,2,70.36,20.12,50.24,0.037812536,0.18053730716180372
1544285592.0,35811,4,73.08,20.35,52.73,0.12061144800000001,0.09606221522123895
1544292740.0,1,1,71.585,20.76,50.825,3.368e-06,1.2402618657937809e-06
1544297659.0,770,2,68.865,20.94,47.925,0.0025933600000000003,0.15058219354838712
1544297771.5,1299,1,68.98,20.945,48.035,0.004375032,0.0966264736196319
1544298206.5,10444,2,70.25,20.97,49.28,0.035175392,0.17911090693069306
1544302039.5,55127,4,72.75,20.96,51.79,0.185667736,0.09604883598218135
1544318625.5,660,2,67.825,18.55,49.275,0.00222288,0.0003052824171212757
1544331810.5,1252,1,61.67,16.18,45.49,0.0042167360000000004,0.09668948789808919
1544331979.0,2690,0,62.05,16.2,45.85,0.00905992,0.1811984
1544332953.5,36428,1,66.4,16.295,50.105,0.122689504,0.24967903583945733
1544334430.0,17519,2,70.83,16.44,54.39,0.059003992000000005,0.17940402972972974
1544339788.0,75471,4,72.08,16.745,55.335,0.254186328,0.09599987209399917
1544348133.0,2,1,70.335,17.37,52.965,6.736e-06,3.3877619446772846e-06
1544351743.0,793,2,67.685,17.745,49.94,0.002670824,0.15508010322580645
1544351857.0,1323,1,67.805,17.735,50.07,0.004455864,0.0966331951807229
1544352232.0,8709,2,69.205,17.7,51.505,0.029331912,0.1808131561643836
1544357079.5,71790,4,71.62,17.755,53.865,0.24178872,0.09553719591702338
1544365496.5,0,1,70.455,15.275,55.18,0.0,0.0
1544369389.0,785,2,68.04,12.665,55.375,0.0026438800000000004,0.15351561290322582
1544369502.0,1316,1,68.04,12.51,55.53,0.004432288,0.0972941268292683
