Stove Type,Laser 56/560,Latitude,64.86302,Longitude,-147.888,,,
Timestamp of each PUMA device reading,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",F,F,F
1544287064.0,63,20,43
1544287136.0,63,20,43
1544287198.0,63,20,43
1544287545.0,72,20,52
1544287845.0,69,20,48
1544288144.0,68,20,48
1544288444.0,67,20,46
1544288642.0,66,20,45
1544288688.0,67,20,46
1544289034.0,70,20,49
1544289334.0,71,20,50
1544289633.0,72,20,51
1544289724.0,72,20,51
1544290070.0,70,20,50
1544290371.0,69,20,48
1544290670.0,67,20,47
1544290970.0,67,20,47
1544291086.0,67,20,47
1544291148.0,67,20,46
1544291509.0,69,20,49
1544291809.0,71,20,50
1544292109.0,72,20,51
1544292188.0,72,20,52
1544292550.0,70,20,50
1544292849.0,69,20,48
1544293150.0,68,20,47
1544293449.0,67,20,47
1544293527.0,67,20,46
1544293589.0,68,20,47
1544293950.0,69,20,49
1544294250.0,71,20,50
1544294550.0,72,20,51
1544294624.0,72,20,51
1544294970.0,70,20,50
1544295269.0,68,20,47
1544295569.0,68,20,47
1544295868.0,67,20,46
1544295931.0,68,20,47
1544295993.0,67,20,46
1544296354.0,70,20,49
1544296654.0,71,20,50
1544296954.0,71,20,50
1544297102.0,72,20,51
1544297465.0,70,20,49
1544297764.0,68,20,48
1544298063.0,68,20,47
1544298362.0,68,20,47
1544298517.0,67,20,46
1544298563.0,67,20,46
1544298925.0,70,21,49
1544299533.0,71,21,50
1544299622.0,72,21,51
1544299984.0,69,21,48
1544300283.0,68,21,47
1544300583.0,68,21,47
1544300882.0,67,21,46
1544300977.0,66,21,45
1544301039.0,67,21,46
1544301384.0,69,21,48
1544301684.0,70,21,49
1544301984.0,70,21,49
1544302283.0,71,21,50
1544302345.0,72,21,51
1544302708.0,70,21,49
1544303007.0,68,21,47
1544303307.0,67,21,46
1544303565.0,66,21,45
1544303627.0,67,21,45
1544303988.0,70,21,49
1544304288.0,70,21,49
1544304563.0,72,21,51
1544304910.0,71,20,50
1544305210.0,68,20,48
1544305509.0,68,20,47
1544305809.0,68,20,47
1544306109.0,67,20,46
1544306161.0,67,20,46
1544306223.0,67,20,46
1544306584.0,70,20,49
1544306883.0,71,20,50
1544307183.0,71,20,51
1544307245.0,74,20,54
1544307591.0,70,20,50
1544307891.0,69,20,49
1544308191.0,67,19,47
1544308490.0,68,19,48
1544308790.0,67,19,47
1544309090.0,66,19,47
1544309390.0,66,19,47
1544309689.0,66,19,47
1544309989.0,65,18,46
1544310289.0,65,18,47
1544310458.0,66,18,47
1544310520.0,65,18,46
1544310866.0,68,18,49
1544311166.0,70,18,51
1544311466.0,70,18,51
1544311613.0,71,18,52
1544311975.0,69,18,51
1544312275.0,68,18,50
1544312574.0,66,18,48
1544312874.0,66,18,48
1544313173.0,65,18,47
1544313473.0,65,18,47
1544313538.0,65,18,47
1544313600.0,66,18,48
1544313962.0,68,18,50
1544314262.0,69,17,51
1544314561.0,70,17,52
1544314745.0,70,17,52
1544315108.0,69,17,52
1544315407.0,67,17,50
1544315706.0,67,17,50
1544316006.0,66,17,48
1544316306.0,65,17,48
1544316369.0,65,17,48
1544316430.0,66,17,49
1544316792.0,68,16,51
1544317092.0,69,16,53
